,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,603080.XSHG,2021-12-01,15.64,15.78,,16.44,17.21,16.15,15.92,0.38%,6.66%,8.10%,3.27%
1,603080.XSHG,2021-11-30,15.47,15.64,,16.1,16.44,15.86,15.81,-0.06%,0,8.10%,3.27%
2,603080.XSHG,2021-11-29,15.23,15.47,,16.25,16.73,15.82,15.71,-1.15%,0,8.10%,3.27%
3,603080.XSHG,2021-11-26,15.09,15.23,,16.05,16.43,15.89,15.37,-1.04%,0,8.10%,3.27%
4,603080.XSHG,2021-10-12,18.15,18.23,,16.01,16.07,14.8,18.31,13.00%,-18.02%,-12.23%,-12.56%
5,603080.XSHG,2021-10-11,17.88,18.15,,17.27,17.67,15.93,18.42,6.57%,-11.89%,-4.07%,-6.24%
6,603080.XSHG,2021-10-08,17.6,17.88,,18.62,18.77,17.21,18.16,-0.94%,0,-4.07%,-6.24%
7,603080.XSHG,2021-09-30,17.37,17.6,,18.85,19.24,18.33,17.83,3.93%,7.23%,7.91%,5.72%
8,603080.XSHG,2021-09-29,16.93,17.37,,17.78,18.53,17.13,17.81,-2.02%,0,7.91%,5.72%
9,603080.XSHG,2021-09-28,16.73,16.93,,18.61,19.26,18.17,17.13,-5.66%,0,7.91%,5.72%
10,603080.XSHG,2021-09-27,16.6,16.73,,18.82,20.25,18.1,16.86,2.49%,19.81%,20.11%,11.63%
11,603080.XSHG,2021-09-24,16.49,16.6,,17.21,18.83,16.44,16.71,-0.66%,0,20.11%,11.63%
12,603080.XSHG,2021-09-23,16.28,16.49,,17.66,18.48,16.82,16.7,-4.13%,0,20.11%,11.63%
13,603080.XSHG,2021-09-14,15.7,15.74,,15.47,16.5,15.27,15.78,0.89%,3.61%,4.56%,-1.96%
14,603080.XSHG,2021-09-13,15.71,15.7,,16.2,16.73,15.64,15.69,1.91%,-0.19%,6.63%,3.25%
15,603080.XSHG,2021-09-10,15.72,15.71,,15.56,16.11,15.39,15.7,-0.51%,0,6.63%,3.25%
16,603080.XSHG,2021-09-02,15.02,15.12,,15.33,16.0,14.92,15.22,4.73%,1.91%,5.12%,0.72%
17,603080.XSHG,2021-09-01,14.77,15.02,,14.5,15.54,14.5,15.27,6.94%,0.92%,1.77%,-5.04%
18,603080.XSHG,2021-08-31,14.54,14.77,,15.37,15.72,14.21,15.0,-0.27%,0,1.77%,-5.04%
19,603080.XSHG,2021-08-30,14.26,14.54,,15.29,15.47,15.04,14.82,-3.64%,0,1.77%,-5.04%
20,603080.XSHG,2021-08-27,13.89,14.26,,16.05,16.22,15.36,14.63,-8.20%,0,1.77%,-5.04%
21,603080.XSHG,2021-08-26,13.62,13.89,,16.78,17.17,15.83,14.16,-7.91%,0,1.77%,-5.04%
22,603080.XSHG,2021-08-25,13.31,13.62,,15.95,16.99,15.28,13.93,-11.70%,0,1.77%,-5.04%
23,603080.XSHG,2021-07-30,12.25,12.36,,12.31,12.6,12.19,12.47,0.24%,0.48%,1.04%,-1.28%
24,603080.XSHG,2021-06-09,13.13,13.18,,13.39,13.43,13.12,13.23,1.36%,-0.83%,1.51%,1.21%
25,603080.XSHG,2021-04-12,14.5,14.9,,14.4,14.46,13.22,15.3,7.58%,-13.27%,-5.49%,-5.88%
26,603080.XSHG,2021-04-09,14.12,14.5,,14.38,14.93,14.14,14.88,4.17%,-1.28%,0.34%,-3.36%
27,603080.XSHG,2021-04-08,13.65,14.12,,14.5,14.9,14.26,14.59,1.44%,0.41%,2.12%,-0.62%
28,603080.XSHG,2021-04-07,13.14,13.65,,15.29,15.82,14.38,14.16,-5.30%,0,2.12%,-0.62%
29,603080.XSHG,2021-04-06,12.43,13.14,,15.2,16.16,14.91,13.85,-14.58%,0,2.12%,-0.62%
30,603080.XSHG,2021-04-02,11.88,12.43,,16.3,17.51,15.87,12.98,-27.04%,0,2.12%,-0.62%
31,603080.XSHG,2021-04-01,11.39,11.88,,16.66,17.63,16.49,12.37,-13.42%,0,2.12%,-0.62%
32,603080.XSHG,2021-03-31,11.04,11.39,,14.09,17.15,14.03,11.74,-24.79%,0,2.12%,-0.62%
33,603080.XSHG,2021-03-30,10.81,11.04,,15.39,15.59,14.65,11.27,-19.52%,0,2.12%,-0.62%
34,603080.XSHG,2020-09-25,17.07,17.27,,14.87,15.31,14.5,17.47,7.73%,-17.00%,-12.36%,-14.88%
35,603080.XSHG,2020-08-27,16.76,16.77,,16.39,16.71,16.2,16.78,5.07%,-1.91%,-0.42%,-2.32%
36,603080.XSHG,2020-08-26,16.62,16.76,,16.37,16.39,15.93,16.9,4.97%,-3.14%,-3.02%,-3.14%
37,603080.XSHG,2020-08-25,16.46,16.62,,16.78,17.09,16.06,16.78,2.86%,-2.44%,1.85%,0.00%
38,603080.XSHG,2020-08-24,16.17,16.46,,17.37,17.52,16.3,16.75,-3.04%,0,1.85%,0.00%
39,603080.XSHG,2020-08-21,15.97,16.17,,17.78,17.89,17.26,16.37,-5.13%,0,1.85%,0.00%
40,603080.XSHG,2020-08-20,15.77,15.97,,17.35,18.84,17.21,16.17,-4.45%,0,1.85%,0.00%
41,603080.XSHG,2020-08-19,15.61,15.77,,17.0,18.0,16.89,15.93,-5.34%,0,1.85%,0.00%
42,603080.XSHG,2020-08-13,14.92,15.19,,15.43,15.46,14.88,15.46,-2.01%,0,1.85%,0.00%
43,603080.XSHG,2020-08-12,14.74,14.92,,16.03,16.48,15.77,15.1,0.33%,6.62%,9.14%,6.16%
44,603080.XSHG,2020-08-11,14.49,14.74,,15.05,16.58,15.05,14.99,-0.07%,0,9.14%,6.16%
45,603080.XSHG,2020-08-10,14.33,14.49,,15.99,16.0,15.0,14.65,-1.43%,0,9.14%,6.16%
46,603080.XSHG,2020-07-16,13.35,13.49,,13.32,13.5,13.1,13.63,3.37%,-1.76%,-0.95%,-2.27%
47,603080.XSHG,2020-07-15,13.17,13.35,,13.73,13.87,13.17,13.53,-1.40%,0,-0.95%,-2.27%
48,603080.XSHG,2020-07-14,12.96,13.17,,14.02,14.16,13.72,13.38,-3.29%,0,-0.95%,-2.27%
49,603080.XSHG,2020-07-13,12.8,12.96,,14.15,14.31,13.82,13.12,-4.65%,0,-0.95%,-2.27%
50,603080.XSHG,2019-10-15,18.8,19.01,,19.8,19.92,18.88,19.22,-2.39%,0,-0.95%,-2.27%
51,603080.XSHG,2019-10-14,18.62,18.8,,19.8,20.57,19.68,18.98,-1.11%,0,-0.95%,-2.27%
52,603080.XSHG,2019-10-11,18.5,18.62,,19.45,20.21,19.19,18.74,-1.07%,0,-0.95%,-2.27%
53,603080.XSHG,2019-10-10,18.38,18.5,,18.99,19.95,18.94,18.62,-1.40%,0,-0.95%,-2.27%
54,603080.XSHG,2019-10-09,18.28,18.38,,19.11,19.66,18.88,18.48,-4.06%,0,-0.95%,-2.27%
55,603080.XSHG,2019-09-24,17.6,17.67,,17.51,18.21,17.35,17.74,1.52%,-0.34%,2.65%,-1.30%
56,603080.XSHG,2019-09-23,17.57,17.6,,17.65,17.93,17.47,17.63,2.67%,-0.06%,1.70%,0.11%
57,603080.XSHG,2019-09-16,16.6,16.73,,17.26,18.88,17.1,16.86,-1.78%,0,1.70%,0.11%
58,603080.XSHG,2019-09-12,16.48,16.6,,17.47,17.81,17.16,16.72,-0.90%,0,1.70%,0.11%
59,603080.XSHG,2019-09-11,16.32,16.48,,17.09,17.18,16.87,16.64,-2.40%,0,1.70%,0.11%
60,603080.XSHG,2019-09-10,16.15,16.32,,17.48,17.6,17.04,16.49,-4.43%,0,1.70%,0.11%
61,603080.XSHG,2019-06-11,18.32,18.45,,19.27,19.52,18.88,18.58,0.86%,2.15%,5.06%,3.71%
62,603080.XSHG,2019-03-27,21.86,21.98,,21.3,21.51,20.77,22.1,4.93%,-5.97%,-2.67%,-3.62%
63,603080.XSHG,2019-03-26,21.65,21.86,,21.68,21.93,21.01,22.07,3.13%,-2.95%,-0.63%,-1.77%
64,603080.XSHG,2019-03-25,21.34,21.65,,22.24,22.88,21.38,21.96,0.46%,-1.28%,4.19%,1.28%
65,603080.XSHG,2019-03-22,21.16,21.34,,21.98,22.49,21.86,21.52,-2.37%,0,4.19%,1.28%
66,603080.XSHG,2019-03-21,20.87,21.16,,22.76,23.33,22.03,21.45,-9.56%,0,4.19%,1.28%
