,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,002933.XSHE,2022-05-18,22.6,23.09,,24.3,24.39,23.61,23.58,1.40%,1.74%,3.44%,3.05%
1,002933.XSHE,2021-11-08,34.08,34.42,,34.52,36.2,34.37,34.76,3.31%,3.11%,4.14%,-0.69%
2,002933.XSHE,2021-11-05,33.65,34.08,,34.7,34.95,33.61,34.51,0.03%,0.55%,1.27%,0.55%
3,002933.XSHE,2021-11-04,33.23,33.65,,35.17,35.7,34.5,34.07,-2.73%,0,1.27%,0.55%
4,002933.XSHE,2021-11-03,32.66,33.23,,35.83,36.66,35.0,33.8,-3.79%,0,1.27%,0.55%
5,002933.XSHE,2021-11-02,32.15,32.66,,35.62,36.44,35.08,33.17,-6.81%,0,1.27%,0.55%
6,002933.XSHE,2021-11-01,31.76,32.15,,35.45,37.06,35.43,32.54,-3.60%,0,1.27%,0.55%
7,002933.XSHE,2021-10-29,31.35,31.76,,33.8,35.68,33.71,32.17,-1.68%,0,1.27%,0.55%
8,002933.XSHE,2021-10-28,30.73,31.35,,33.2,34.44,32.71,31.97,-0.16%,0,1.27%,0.55%
9,002933.XSHE,2021-10-27,30.11,30.73,,33.77,34.46,32.02,31.35,-5.49%,0,1.27%,0.55%
10,002933.XSHE,2021-10-26,29.88,30.11,,34.9,35.78,33.07,30.34,-4.35%,0,1.27%,0.55%
11,002933.XSHE,2021-10-25,29.65,29.88,,31.8,34.34,31.66,30.11,-2.96%,0,1.27%,0.55%
12,002933.XSHE,2021-10-22,29.43,29.65,,31.0,32.0,31.0,29.87,-3.48%,0,1.27%,0.55%
13,002933.XSHE,2021-10-21,29.15,29.43,,30.98,32.18,30.91,29.71,-3.03%,0,1.27%,0.55%
14,002933.XSHE,2021-07-27,29.66,30.0,,28.53,28.75,26.2,30.34,8.37%,-12.49%,-5.24%,-5.97%
15,002933.XSHE,2021-07-26,29.26,29.66,,28.45,29.31,27.8,30.06,6.09%,-4.22%,-2.50%,-5.36%
16,002933.XSHE,2021-07-23,28.74,29.26,,28.72,29.75,28.23,29.78,2.79%,-3.49%,-0.10%,-3.56%
17,002933.XSHE,2021-07-22,28.0,28.74,,30.23,30.25,28.95,29.48,-0.41%,0,-0.10%,-3.56%
18,002933.XSHE,2021-07-21,27.14,28.0,,32.33,32.38,29.6,28.86,-9.15%,0,-0.10%,-3.56%
