,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,601108.XSHG,2021-09-14,10.69,10.8,,10.7,10.86,10.62,10.91,2.47%,-1.65%,-0.46%,-1.92%
1,601108.XSHG,2021-09-13,10.56,10.69,,10.9,10.99,10.64,10.82,-0.92%,0,-0.46%,-1.92%
2,601108.XSHG,2021-09-10,10.45,10.56,,11.02,11.25,10.92,10.67,-4.97%,0,-0.46%,-1.92%
3,601108.XSHG,2021-09-09,10.33,10.45,,11.66,11.93,11.2,10.57,-4.26%,0,-0.46%,-1.92%
4,601108.XSHG,2021-09-08,10.22,10.33,,11.17,11.26,11.02,10.44,-5.65%,0,-0.46%,-1.92%
5,601108.XSHG,2021-06-01,10.33,10.37,,10.46,10.6,10.31,10.41,0.96%,-0.86%,1.83%,0.48%
6,601108.XSHG,2021-05-31,10.28,10.33,,10.49,10.52,10.31,10.38,-0.19%,0,1.83%,0.48%
7,601108.XSHG,2021-05-27,10.06,10.17,,10.56,10.77,10.5,10.28,-1.95%,0,1.83%,0.48%
8,601108.XSHG,2020-08-10,13.87,14.05,,14.03,14.19,13.5,14.23,3.79%,-4.85%,-0.28%,-1.41%
9,601108.XSHG,2020-08-07,13.74,13.87,,13.77,14.34,13.69,14.0,1.86%,0.14%,2.43%,-1.64%
10,601108.XSHG,2020-08-06,13.59,13.74,,14.36,14.57,13.74,13.89,-0.58%,0,2.43%,-1.64%
11,601108.XSHG,2020-08-05,13.37,13.59,,14.27,14.98,13.97,13.81,-2.97%,0,2.43%,-1.64%
12,601108.XSHG,2020-08-04,13.06,13.37,,14.32,14.66,14.22,13.68,-3.44%,0,2.43%,-1.64%
13,601108.XSHG,2020-08-03,12.63,13.06,,14.99,15.32,14.15,13.49,-10.53%,0,2.43%,-1.64%
14,601108.XSHG,2020-07-16,12.12,12.36,,11.94,11.94,11.15,12.6,7.54%,-9.92%,-5.24%,-5.24%
15,601108.XSHG,2020-07-15,11.75,12.12,,12.41,12.73,11.65,12.49,2.16%,-6.08%,1.92%,-0.64%
16,601108.XSHG,2020-07-14,11.39,11.75,,13.54,13.67,12.22,12.11,-4.46%,0,1.92%,-0.64%
17,601108.XSHG,2020-07-13,11.09,11.39,,12.74,13.47,12.65,11.69,-6.67%,0,1.92%,-0.64%
18,601108.XSHG,2020-07-10,10.75,11.09,,12.83,13.33,12.47,11.43,-10.94%,0,1.92%,-0.64%
19,601108.XSHG,2020-07-09,10.44,10.75,,12.95,13.73,12.68,11.06,-13.38%,0,1.92%,-0.64%
20,601108.XSHG,2020-07-08,10.24,10.44,,12.89,13.82,12.54,10.64,-10.24%,0,1.92%,-0.64%
21,601108.XSHG,2020-07-07,9.96,10.24,,11.73,12.9,11.73,10.52,-10.84%,0,1.92%,-0.64%
22,601108.XSHG,2020-07-06,9.76,9.96,,12.22,12.22,11.66,10.16,-13.29%,0,1.92%,-0.64%
23,601108.XSHG,2020-06-09,9.13,9.22,,9.49,9.5,9.32,9.31,-1.07%,0,1.92%,-0.64%
24,601108.XSHG,2020-03-11,11.12,11.08,,10.51,10.73,10.35,11.04,3.08%,-4.35%,-2.81%,-4.80%
25,601108.XSHG,2020-03-02,10.6,10.68,,10.99,11.33,10.84,10.76,4.37%,2.60%,5.30%,2.14%
26,601108.XSHG,2020-02-28,10.42,10.6,,10.46,11.04,10.29,10.78,6.12%,0.28%,2.41%,-2.97%
27,601108.XSHG,2020-02-27,10.27,10.42,,10.69,10.85,10.12,10.57,-4.16%,0,2.41%,-2.97%
28,601108.XSHG,2020-02-26,10.06,10.27,,11.2,11.34,11.01,10.48,-2.86%,0,2.41%,-2.97%
29,601108.XSHG,2020-02-25,9.87,10.06,,11.26,11.66,10.78,10.25,-5.56%,0,2.41%,-2.97%
30,601108.XSHG,2019-12-27,9.78,9.95,,9.86,10.59,9.82,10.12,1.48%,3.16%,4.64%,-2.57%
31,601108.XSHG,2019-12-26,9.66,9.78,,10.46,10.64,9.97,9.9,-1.92%,0,4.64%,-2.57%
32,601108.XSHG,2019-12-25,9.55,9.66,,10.21,10.54,10.09,9.77,-0.51%,0,4.64%,-2.57%
33,601108.XSHG,2019-12-24,9.47,9.55,,9.93,10.33,9.82,9.63,-1.04%,0,4.64%,-2.57%
34,601108.XSHG,2019-12-23,9.36,9.47,,9.95,10.03,9.73,9.58,-2.30%,0,4.64%,-2.57%
35,601108.XSHG,2019-12-20,9.25,9.36,,10.13,10.39,9.8,9.47,-6.34%,0,4.64%,-2.57%
36,601108.XSHG,2019-12-19,9.12,9.25,,10.14,10.51,10.07,9.38,-6.93%,0,4.64%,-2.57%
37,601108.XSHG,2019-09-19,9.85,9.92,,10.13,10.13,9.8,9.99,0.60%,-0.40%,1.40%,1.40%
38,601108.XSHG,2019-09-18,9.75,9.85,,10.07,10.16,9.93,9.95,0.10%,1.51%,2.11%,1.21%
39,601108.XSHG,2019-09-17,9.61,9.75,,10.04,10.13,9.94,9.89,-0.20%,0,2.11%,1.21%
40,601108.XSHG,2019-09-16,9.48,9.61,,10.26,10.37,9.91,9.74,-4.72%,0,2.11%,1.21%
41,601108.XSHG,2019-09-12,9.38,9.48,,10.34,10.38,10.2,9.58,-5.32%,0,2.11%,1.21%
42,601108.XSHG,2019-06-27,10.2,10.24,,10.19,10.19,9.95,10.28,1.56%,-1.65%,-0.88%,-0.88%
43,601108.XSHG,2019-06-26,10.13,10.2,,10.14,10.39,10.12,10.27,2.24%,-0.88%,1.17%,-1.27%
44,601108.XSHG,2019-06-25,10.0,10.13,,10.13,10.26,10.04,10.26,1.95%,-1.75%,0.00%,-1.27%
45,601108.XSHG,2019-06-24,9.87,10.0,,10.37,10.56,10.06,10.13,-2.27%,0,0.00%,-1.27%
46,601108.XSHG,2019-03-18,11.64,11.82,,11.74,11.96,11.57,12.0,8.83%,-3.08%,-0.33%,-2.17%
47,601108.XSHG,2019-03-15,11.39,11.64,,11.4,11.83,10.94,11.89,3.11%,-0.67%,-0.50%,-4.12%
48,601108.XSHG,2019-03-14,11.18,11.39,,12.1,12.32,11.52,11.6,-0.09%,0,-0.50%,-4.12%
49,601108.XSHG,2019-03-13,10.87,11.18,,12.04,12.58,11.61,11.49,-2.18%,0,-0.50%,-4.12%
50,601108.XSHG,2019-03-12,10.6,10.87,,12.58,12.68,11.74,11.14,-12.66%,0,-0.50%,-4.12%
51,601108.XSHG,2019-03-11,10.23,10.6,,12.76,13.67,12.55,10.97,-9.48%,0,-0.50%,-4.12%
52,601108.XSHG,2019-03-08,9.8,10.23,,12.98,13.28,12.01,10.66,-16.60%,0,-0.50%,-4.12%
53,601108.XSHG,2019-03-07,9.49,9.8,,12.68,13.8,12.43,10.11,-24.13%,0,-0.50%,-4.12%
54,601108.XSHG,2019-03-06,9.28,9.49,,12.55,12.55,12.55,9.7,-10.10%,0,-0.50%,-4.12%
55,601108.XSHG,2019-03-05,9.11,9.28,,10.68,11.41,10.68,9.45,-2.22%,0,-0.50%,-4.12%
56,601108.XSHG,2019-03-04,8.9,9.11,,9.75,10.45,9.66,9.32,-2.68%,0,-0.50%,-4.12%
57,601108.XSHG,2019-03-01,8.7,8.9,,9.75,10.6,9.57,9.1,-4.07%,0,-0.50%,-4.12%
58,601108.XSHG,2019-02-28,8.45,8.7,,9.63,9.91,9.47,8.95,-4.13%,0,-0.50%,-4.12%
59,601108.XSHG,2019-02-27,8.18,8.45,,9.73,9.76,9.32,8.72,-8.72%,0,-0.50%,-4.12%
60,601108.XSHG,2019-02-26,7.88,8.18,,9.69,10.15,9.48,8.48,-14.15%,0,-0.50%,-4.12%
61,601108.XSHG,2019-02-25,7.65,7.88,,10.42,10.73,9.68,8.11,-13.56%,0,-0.50%,-4.12%
62,601108.XSHG,2019-02-22,7.48,7.65,,9.48,10.04,9.21,7.82,-5.50%,0,-0.50%,-4.12%
63,601108.XSHG,2019-02-21,7.31,7.48,,8.42,9.13,8.25,7.65,-6.01%,0,-0.50%,-4.12%
64,601108.XSHG,2018-11-23,7.66,7.72,,7.35,7.53,7.24,7.78,5.53%,-5.27%,-3.21%,-5.53%
65,601108.XSHG,2018-11-22,7.61,7.66,,7.82,7.91,7.35,7.71,-0.26%,0,-3.21%,-5.53%
66,601108.XSHG,2018-11-21,7.58,7.61,,7.93,7.94,7.73,7.64,-1.18%,0,-3.21%,-5.53%
67,601108.XSHG,2018-11-20,7.53,7.58,,7.75,8.04,7.73,7.63,-3.41%,0,-3.21%,-5.53%
68,601108.XSHG,2018-11-12,7.27,7.32,,7.25,7.74,7.22,7.37,2.44%,2.04%,5.02%,-1.63%
69,601108.XSHG,2018-11-09,7.25,7.27,,7.24,7.39,7.19,7.29,1.10%,1.23%,1.37%,-0.69%
70,601108.XSHG,2018-11-08,7.2,7.25,,7.27,7.4,7.21,7.3,0.68%,-0.96%,1.37%,-0.41%
71,601108.XSHG,2018-11-07,7.16,7.2,,7.51,7.57,7.25,7.24,-2.21%,0,1.37%,-0.41%
72,601108.XSHG,2018-11-06,7.08,7.16,,7.51,7.66,7.4,7.24,-3.18%,0,1.37%,-0.41%
73,601108.XSHG,2018-01-26,18.54,18.75,,18.59,18.76,17.99,18.96,1.95%,-3.11%,-1.05%,-1.95%
74,601108.XSHG,2018-01-25,18.24,18.54,,18.74,19.27,18.59,18.84,0.00%,0,-1.05%,-1.95%
75,601108.XSHG,2018-01-24,17.94,18.24,,19.42,19.51,18.84,18.54,-2.75%,0,-1.05%,-1.95%
76,601108.XSHG,2018-01-23,17.68,17.94,,19.64,20.02,19.05,18.2,-4.56%,0,-1.05%,-1.95%
77,601108.XSHG,2018-01-22,17.34,17.68,,19.55,19.7,19.03,18.02,-4.94%,0,-1.05%,-1.95%
78,601108.XSHG,2018-01-19,17.06,17.34,,19.28,19.8,18.91,17.62,-7.43%,0,-1.05%,-1.95%
79,601108.XSHG,2018-01-18,16.86,17.06,,19.02,21.27,18.93,17.26,-7.24%,0,-1.05%,-1.95%
80,601108.XSHG,2018-01-03,16.1,16.2,,16.74,16.79,16.48,16.3,-1.84%,0,-1.05%,-1.95%
