,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,600516.XSHG,2021-12-02,11.53,11.68,,11.61,12.79,11.55,11.83,3.80%,8.11%,8.11%,-1.86%
1,600516.XSHG,2021-12-01,11.32,11.53,,11.7,11.82,11.38,11.74,2.13%,-0.94%,0.68%,-0.34%
2,600516.XSHG,2021-11-30,11.12,11.32,,12.01,12.05,11.49,11.52,-3.65%,0,0.68%,-0.34%
3,600516.XSHG,2021-11-29,10.9,11.12,,12.37,12.52,11.94,11.34,-5.03%,0,0.68%,-0.34%
4,600516.XSHG,2021-11-26,10.69,10.9,,12.35,12.41,11.91,11.11,-11.61%,0,0.68%,-0.34%
5,600516.XSHG,2021-11-25,10.47,10.69,,12.59,12.97,12.4,10.91,-12.74%,0,0.68%,-0.34%
6,600516.XSHG,2021-11-02,10.51,10.55,,10.11,10.23,9.89,10.59,6.70%,-4.34%,-3.40%,-4.53%
7,600516.XSHG,2021-11-01,10.43,10.51,,10.63,10.7,9.88,10.59,2.17%,-5.67%,1.04%,0.38%
8,600516.XSHG,2021-09-17,12.25,12.26,,12.05,12.24,11.65,12.27,-0.24%,0,1.04%,0.38%
9,600516.XSHG,2021-09-07,11.96,12.11,,11.7,12.14,11.65,12.26,6.53%,-2.77%,-0.98%,-4.57%
10,600516.XSHG,2021-09-06,11.76,11.96,,11.54,12.06,11.46,12.16,8.31%,-2.55%,-0.82%,-5.10%
11,600516.XSHG,2021-09-03,11.42,11.76,,12.0,12.01,11.15,12.1,1.65%,-4.38%,-0.74%,-0.83%
12,600516.XSHG,2021-09-02,11.18,11.42,,13.0,13.22,11.9,11.66,-2.06%,0,-0.74%,-0.83%
13,600516.XSHG,2021-09-01,10.84,11.18,,11.9,13.22,11.9,11.52,-3.56%,0,-0.74%,-0.83%
14,600516.XSHG,2021-08-31,10.57,10.84,,12.93,13.56,11.93,11.11,-12.69%,0,-0.74%,-0.83%
15,600516.XSHG,2021-08-30,10.35,10.57,,12.8,13.28,12.52,10.79,-8.34%,0,-0.74%,-0.83%
16,600516.XSHG,2021-08-27,10.05,10.35,,12.18,13.36,11.69,10.65,-12.30%,0,-0.74%,-0.83%
17,600516.XSHG,2021-08-26,9.83,10.05,,12.3,12.75,11.96,10.27,-7.11%,0,-0.74%,-0.83%
