,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,002655.XSHE,2022-05-26,11.14,11.41,,12.33,12.68,12.23,11.68,-2.74%,0,0.42%,-1.50%
1,002655.XSHE,2022-05-25,10.83,11.14,,12.58,12.64,12.0,11.45,-6.72%,0,0.42%,-1.50%
2,002655.XSHE,2022-05-24,10.41,10.83,,12.37,12.9,12.22,11.25,-8.89%,0,0.42%,-1.50%
3,002655.XSHE,2022-05-23,10.05,10.41,,13.33,13.33,12.25,10.77,-10.31%,0,0.42%,-1.50%
4,002655.XSHE,2022-05-20,9.81,10.05,,11.88,13.67,11.88,10.29,-13.51%,0,0.42%,-1.50%
5,002655.XSHE,2022-05-19,9.55,9.81,,11.68,12.43,11.68,10.07,-6.26%,0,0.42%,-1.50%
6,002655.XSHE,2022-05-18,9.26,9.55,,10.8,11.46,10.7,9.84,-11.69%,0,0.42%,-1.50%
7,002655.XSHE,2022-05-17,9.07,9.26,,11.19,11.62,10.99,9.45,-4.34%,0,0.42%,-1.50%
8,002655.XSHE,2021-12-28,18.57,18.41,,18.66,19.39,17.9,18.25,-0.38%,0,0.42%,-1.50%
9,002655.XSHE,2021-12-21,17.21,17.45,,18.8,20.48,18.32,17.69,3.84%,12.15%,15.77%,6.27%
10,002655.XSHE,2021-12-20,17.02,17.21,,17.4,19.12,17.01,17.4,1.15%,8.56%,9.89%,0.00%
11,002655.XSHE,2021-12-17,16.82,17.02,,17.81,18.03,17.2,17.22,-1.80%,0,9.89%,0.00%
12,002655.XSHE,2021-12-16,16.53,16.82,,18.8,18.8,17.53,17.11,-5.84%,0,9.89%,0.00%
13,002655.XSHE,2021-11-29,15.7,15.95,,15.61,15.61,15.02,16.2,7.04%,-5.19%,-3.64%,-3.64%
14,002655.XSHE,2021-11-26,15.43,15.7,,15.6,16.05,15.06,15.97,2.19%,-4.45%,0.50%,-2.32%
15,002655.XSHE,2021-11-25,15.11,15.43,,15.7,16.43,15.62,15.75,1.08%,2.03%,4.32%,-0.32%
16,002655.XSHE,2021-11-24,14.7,15.11,,15.96,16.22,15.58,15.52,-2.26%,0,4.32%,-0.32%
17,002655.XSHE,2021-11-23,14.29,14.7,,16.6,16.75,15.87,15.11,-8.21%,0,4.32%,-0.32%
18,002655.XSHE,2021-11-22,13.92,14.29,,16.51,17.23,16.35,14.66,-12.35%,0,4.32%,-0.32%
19,002655.XSHE,2021-11-19,13.72,13.92,,16.73,17.38,16.47,14.12,-8.50%,0,4.32%,-0.32%
20,002655.XSHE,2021-11-18,13.49,13.72,,15.32,16.79,15.32,13.95,-7.53%,0,4.32%,-0.32%
21,002655.XSHE,2021-11-17,13.24,13.49,,15.37,16.19,15.0,13.74,-11.72%,0,4.32%,-0.32%
22,002655.XSHE,2021-11-05,12.68,12.92,,12.6,12.93,12.45,13.16,0.53%,-3.65%,-1.75%,-4.26%
23,002655.XSHE,2021-11-04,12.43,12.68,,13.19,13.78,13.09,12.93,0.23%,1.31%,6.57%,2.01%
24,002655.XSHE,2021-11-03,12.1,12.43,,13.29,13.39,12.9,12.76,-3.13%,0,6.57%,2.01%
25,002655.XSHE,2021-11-02,11.75,12.1,,13.16,14.15,13.16,12.45,-2.01%,0,6.57%,2.01%
26,002655.XSHE,2021-11-01,11.45,11.75,,13.47,13.55,12.7,12.05,-6.31%,0,6.57%,2.01%
27,002655.XSHE,2021-10-29,11.18,11.45,,13.1,13.69,12.81,11.72,-7.51%,0,6.57%,2.01%
28,002655.XSHE,2021-10-28,10.92,11.18,,12.95,13.4,12.6,11.44,-11.98%,0,6.57%,2.01%
29,002655.XSHE,2021-09-17,10.74,10.91,,10.62,10.93,10.52,11.08,3.43%,-1.71%,-1.35%,-4.15%
30,002655.XSHE,2021-09-15,10.56,10.64,,11.16,12.2,10.88,10.72,2.61%,10.91%,13.81%,4.10%
31,002655.XSHE,2021-09-14,10.52,10.56,,10.71,11.21,10.44,10.6,-1.51%,0,13.81%,4.10%
32,002655.XSHE,2021-09-13,10.49,10.52,,11.91,11.91,10.76,10.55,-2.65%,0,13.81%,4.10%
33,002655.XSHE,2021-09-01,9.99,10.12,,10.0,10.43,9.96,10.25,2.63%,-0.20%,1.76%,-2.44%
34,002655.XSHE,2021-08-31,9.88,9.99,,10.34,10.34,9.98,10.1,-0.79%,0,1.76%,-2.44%
35,002655.XSHE,2021-08-30,9.78,9.88,,10.48,10.57,10.18,9.98,-3.61%,0,1.76%,-2.44%
36,002655.XSHE,2021-08-27,9.74,9.78,,10.96,11.1,10.34,9.82,-4.07%,0,1.76%,-2.44%
37,002655.XSHE,2021-08-26,9.57,9.74,,10.75,10.84,10.22,9.91,-7.77%,0,1.76%,-2.44%
38,002655.XSHE,2021-08-19,9.19,9.25,,9.06,9.43,8.96,9.31,3.22%,0.43%,1.29%,-2.69%
39,002655.XSHE,2021-08-18,9.14,9.19,,9.04,9.32,9.01,9.24,4.11%,-1.41%,0.87%,-2.16%
40,002655.XSHE,2021-08-17,9.06,9.14,,8.9,9.16,8.86,9.22,3.80%,-1.08%,-0.65%,-3.47%
41,002655.XSHE,2021-08-16,8.94,9.06,,9.25,9.36,8.87,9.18,-0.76%,0,-0.65%,-3.47%
42,002655.XSHE,2021-08-13,8.73,8.94,,9.79,9.83,9.25,9.15,-4.92%,0,-0.65%,-3.47%
43,002655.XSHE,2021-08-12,8.57,8.73,,10.22,10.22,9.6,8.89,-4.84%,0,-0.65%,-3.47%
44,002655.XSHE,2021-06-29,8.6,8.71,,9.09,9.55,9.03,8.82,0.23%,6.80%,8.28%,3.06%
45,002655.XSHE,2021-06-28,8.53,8.6,,8.92,9.14,8.8,8.67,-1.96%,0,8.28%,3.06%
46,002655.XSHE,2021-06-25,8.46,8.53,,8.86,9.15,8.84,8.6,-0.93%,0,8.28%,3.06%
47,002655.XSHE,2021-06-24,8.36,8.46,,8.8,8.89,8.68,8.56,-1.29%,0,8.28%,3.06%
48,002655.XSHE,2021-06-23,8.27,8.36,,8.95,8.95,8.67,8.45,-4.26%,0,8.28%,3.06%
49,002655.XSHE,2021-06-22,8.13,8.27,,8.94,9.05,8.81,8.41,-5.71%,0,8.28%,3.06%
50,002655.XSHE,2021-05-26,7.81,7.86,,7.91,8.19,7.91,7.91,-0.25%,0,8.28%,3.06%
51,002655.XSHE,2021-04-22,7.22,7.27,,7.24,7.24,7.03,7.32,1.64%,-3.55%,-1.09%,-1.09%
52,002655.XSHE,2021-04-21,7.16,7.22,,7.39,7.42,7.2,7.28,-0.55%,0,-1.09%,-1.09%
53,002655.XSHE,2021-04-20,7.07,7.16,,7.43,7.48,7.32,7.25,-1.66%,0,-1.09%,-1.09%
54,002655.XSHE,2021-04-19,6.99,7.07,,7.57,7.63,7.37,7.15,-2.10%,0,-1.09%,-1.09%
55,002655.XSHE,2021-04-16,6.92,6.99,,7.34,7.73,7.3,7.06,-2.83%,0,-1.09%,-1.09%
56,002655.XSHE,2020-07-15,13.16,13.23,,12.59,13.78,12.46,13.3,5.11%,-0.90%,3.61%,-5.34%
57,002655.XSHE,2020-07-14,13.0,13.16,,13.4,13.45,12.62,13.32,2.63%,-5.26%,0.98%,0.60%
58,002655.XSHE,2020-07-13,12.89,13.0,,13.65,13.92,12.97,13.11,-0.46%,0,0.98%,0.60%
59,002655.XSHE,2020-07-10,12.74,12.89,,13.17,13.84,13.17,13.04,-1.76%,0,0.98%,0.60%
60,002655.XSHE,2020-07-09,12.65,12.74,,13.51,13.9,13.27,12.83,-2.57%,0,0.98%,0.60%
61,002655.XSHE,2020-07-08,12.52,12.65,,13.3,13.76,13.16,12.78,-1.88%,0,0.98%,0.60%
62,002655.XSHE,2020-07-03,12.06,12.19,,12.41,13.25,12.31,12.32,0.00%,0,0.98%,0.60%
63,002655.XSHE,2020-06-08,11.78,11.92,,11.8,11.94,11.61,12.06,2.74%,-2.57%,-1.00%,-2.16%
64,002655.XSHE,2020-06-05,11.68,11.78,,12.25,12.43,11.73,11.88,-1.01%,0,-1.00%,-2.16%
65,002655.XSHE,2020-06-04,11.62,11.68,,12.2,12.48,12.0,11.74,-2.98%,0,-1.00%,-2.16%
66,002655.XSHE,2020-06-03,11.51,11.62,,12.3,12.44,12.09,11.73,-0.60%,0,-1.00%,-2.16%
67,002655.XSHE,2020-06-02,11.28,11.51,,12.57,12.69,11.8,11.74,-6.05%,0,-1.00%,-2.16%
68,002655.XSHE,2020-05-27,10.81,10.93,,11.46,11.99,11.1,11.05,-1.45%,0,-1.00%,-2.16%
69,002655.XSHE,2020-05-26,10.75,10.81,,11.32,11.66,11.21,10.87,2.85%,4.69%,7.27%,4.14%
70,002655.XSHE,2020-05-25,10.63,10.75,,10.56,11.69,10.56,10.87,4.05%,4.97%,7.54%,-2.85%
71,002655.XSHE,2020-05-22,10.44,10.63,,10.71,11.06,10.43,10.82,2.96%,-1.76%,2.22%,-1.02%
72,002655.XSHE,2020-05-21,10.19,10.44,,11.0,11.16,10.5,10.69,-3.84%,0,2.22%,-1.02%
73,002655.XSHE,2020-05-20,9.96,10.19,,11.55,11.91,11.1,10.42,-6.33%,0,2.22%,-1.02%
74,002655.XSHE,2020-05-19,9.78,9.96,,11.5,12.45,11.08,10.14,-3.35%,0,2.22%,-1.02%
75,002655.XSHE,2020-05-18,9.48,9.78,,10.59,11.43,10.48,10.08,-2.18%,0,2.22%,-1.02%
76,002655.XSHE,2020-02-27,12.77,12.85,,12.0,12.14,11.36,12.93,4.10%,-12.14%,-6.11%,-7.19%
77,002655.XSHE,2020-02-26,12.62,12.77,,12.89,13.08,12.4,12.92,1.55%,-2.32%,1.24%,-0.23%
78,002655.XSHE,2020-02-25,12.4,12.62,,13.18,13.35,12.72,12.84,2.57%,-0.62%,3.97%,2.65%
79,002655.XSHE,2019-12-26,15.38,15.28,,15.06,15.4,14.45,15.18,3.43%,-4.68%,1.45%,-0.79%
80,002655.XSHE,2019-12-25,15.58,15.38,,15.1,15.5,14.66,15.18,1.19%,-1.52%,2.11%,-0.53%
81,002655.XSHE,2019-12-17,15.2,15.24,,14.47,15.24,14.4,15.28,10.54%,-0.26%,-0.26%,-5.30%
82,002655.XSHE,2019-12-16,14.98,15.2,,13.87,14.22,13.67,15.42,14.33%,-10.18%,-7.78%,-10.05%
83,002655.XSHE,2019-12-13,14.66,14.98,,13.21,14.96,13.21,15.3,4.31%,-7.32%,-2.22%,-13.66%
84,002655.XSHE,2019-12-12,14.31,14.66,,14.64,14.64,14.64,15.01,-8.39%,0,-2.22%,-13.66%
85,002655.XSHE,2019-12-11,13.79,14.31,,16.27,16.27,16.27,14.83,-8.56%,0,-2.22%,-13.66%
86,002655.XSHE,2019-11-21,13.87,13.97,,13.11,13.19,12.17,14.07,7.75%,-10.87%,-6.25%,-6.82%
87,002655.XSHE,2019-11-20,13.79,13.87,,13.55,13.55,12.98,13.95,0.57%,-6.09%,-2.87%,-2.87%
88,002655.XSHE,2019-11-19,13.76,13.79,,14.52,14.86,13.87,13.82,-0.43%,0,-2.87%,-2.87%
89,002655.XSHE,2019-11-18,13.68,13.76,,14.24,14.74,13.88,13.84,0.43%,5.49%,6.50%,2.89%
90,002655.XSHE,2019-11-08,13.12,13.13,,12.8,14.21,12.62,13.14,3.35%,6.24%,8.14%,-2.59%
91,002655.XSHE,2019-11-07,13.08,13.12,,12.85,13.47,12.7,13.16,3.72%,-1.82%,2.36%,-2.36%
92,002655.XSHE,2019-11-06,13.0,13.08,,12.89,13.09,12.67,13.16,3.34%,-2.13%,-0.53%,-2.05%
93,002655.XSHE,2019-11-05,12.79,13.0,,13.73,13.74,12.72,13.21,-2.73%,0,-0.53%,-2.05%
94,002655.XSHE,2019-11-04,12.52,12.79,,13.87,14.19,13.57,13.06,-3.37%,0,-0.53%,-2.05%
95,002655.XSHE,2019-11-01,12.28,12.52,,13.76,14.43,13.5,12.76,0.63%,9.87%,13.09%,7.84%
96,002655.XSHE,2019-10-31,12.02,12.28,,13.0,13.87,12.68,12.54,-2.15%,0,13.09%,7.84%
97,002655.XSHE,2019-10-30,11.89,12.02,,13.1,13.65,12.81,12.15,-1.40%,0,13.09%,7.84%
98,002655.XSHE,2019-10-29,11.62,11.89,,12.55,13.48,12.32,12.16,-0.66%,0,13.09%,7.84%
99,002655.XSHE,2019-10-28,11.39,11.62,,12.53,13.39,12.24,11.85,0.42%,4.56%,13.00%,5.74%
100,002655.XSHE,2019-10-25,11.11,11.39,,11.83,13.2,11.8,11.67,-0.26%,0,13.00%,5.74%
101,002655.XSHE,2019-10-24,10.82,11.11,,12.35,12.44,11.7,11.4,-7.54%,0,13.00%,5.74%
102,002655.XSHE,2019-10-23,10.48,10.82,,12.85,13.17,12.26,11.16,-8.78%,0,13.00%,5.74%
103,002655.XSHE,2019-09-30,10.26,10.34,,10.31,10.35,9.51,10.42,5.95%,-6.72%,-0.67%,-1.06%
104,002655.XSHE,2019-09-27,10.27,10.26,,10.69,10.88,9.8,10.25,5.37%,-0.88%,6.15%,4.29%
105,002655.XSHE,2019-09-26,10.2,10.27,,9.73,10.59,9.7,10.34,7.64%,2.42%,2.42%,-5.90%
106,002655.XSHE,2019-09-25,10.13,10.2,,10.6,10.62,9.55,10.27,-1.66%,0,2.42%,-5.90%
107,002655.XSHE,2019-09-24,9.96,10.13,,10.94,11.07,10.44,10.3,-4.85%,0,2.42%,-5.90%
108,002655.XSHE,2019-08-21,9.04,9.19,,9.36,9.65,9.36,9.34,0.96%,1.61%,3.32%,0.21%
109,002655.XSHE,2019-08-20,8.93,9.04,,9.4,9.56,9.25,9.15,-2.40%,0,3.32%,0.21%
110,002655.XSHE,2019-08-19,8.85,8.93,,9.76,9.79,9.37,9.01,-4.99%,0,3.32%,0.21%
111,002655.XSHE,2019-08-02,8.46,8.53,,8.55,8.79,8.48,8.6,0.23%,-0.93%,2.21%,-0.58%
112,002655.XSHE,2019-08-01,8.43,8.46,,8.72,8.84,8.58,8.49,0.12%,1.65%,4.12%,2.71%
113,002655.XSHE,2019-04-12,9.83,9.99,,9.6,10.0,9.38,10.15,7.29%,-6.50%,-1.48%,-5.42%
114,002655.XSHE,2019-04-11,9.63,9.83,,10.04,10.19,9.41,10.03,4.89%,-5.38%,1.60%,0.10%
115,002655.XSHE,2019-04-10,9.47,9.63,,10.17,10.44,9.54,9.79,-0.72%,0,1.60%,0.10%
116,002655.XSHE,2019-04-09,9.33,9.47,,10.1,10.56,9.86,9.61,-1.56%,0,1.60%,0.10%
117,002655.XSHE,2019-04-08,9.09,9.33,,10.19,10.34,9.76,9.57,-5.54%,0,1.60%,0.10%
118,002655.XSHE,2019-04-04,8.89,9.09,,11.0,11.08,10.1,9.29,-7.86%,0,1.60%,0.10%
119,002655.XSHE,2019-04-03,8.7,8.89,,10.17,11.1,10.02,9.08,-7.93%,0,1.60%,0.10%
120,002655.XSHE,2019-04-02,8.53,8.7,,9.98,10.58,9.8,8.87,-8.46%,0,1.60%,0.10%
121,002655.XSHE,2019-04-01,8.35,8.53,,9.67,10.3,9.62,8.71,-8.50%,0,1.60%,0.10%
122,002655.XSHE,2019-03-27,8.28,8.22,,8.35,9.28,8.15,8.16,1.96%,10.54%,13.73%,2.33%
123,002655.XSHE,2019-03-18,8.03,8.09,,8.13,8.26,8.03,8.15,5.52%,-0.61%,1.35%,-0.25%
124,002655.XSHE,2019-03-15,7.97,8.03,,7.82,8.2,7.7,8.09,5.07%,-0.12%,1.36%,-3.34%
125,002655.XSHE,2019-03-14,7.86,7.97,,7.88,8.0,7.68,8.08,6.44%,-3.09%,-0.99%,-2.48%
126,002655.XSHE,2019-03-13,7.72,7.86,,8.17,8.34,7.56,8.0,-2.12%,0,-0.99%,-2.48%
127,002655.XSHE,2019-03-12,7.58,7.72,,8.74,8.78,8.17,7.86,-7.63%,0,-0.99%,-2.48%
128,002655.XSHE,2019-03-11,7.47,7.58,,8.79,8.95,8.46,7.69,-7.41%,0,-0.99%,-2.48%
129,002655.XSHE,2019-03-08,7.38,7.47,,8.26,9.05,8.26,7.56,-2.25%,0,-0.99%,-2.48%
130,002655.XSHE,2019-02-26,6.94,7.06,,7.38,7.42,7.17,7.18,-0.84%,0,-0.99%,-2.48%
131,002655.XSHE,2019-02-25,6.83,6.94,,7.58,7.65,7.24,7.05,-2.41%,0,-0.99%,-2.48%
132,002655.XSHE,2019-02-22,6.71,6.83,,7.3,7.58,7.22,6.95,-1.58%,0,-0.99%,-2.48%
133,002655.XSHE,2018-11-26,7.33,7.43,,7.08,7.29,6.93,7.53,8.23%,-5.31%,-3.19%,-5.98%
