,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,600778.XSHG,2022-05-25,6.01,6.06,,6.15,6.75,6.15,6.11,2.13%,10.47%,10.47%,0.65%
1,600778.XSHG,2022-05-24,5.93,6.01,,5.99,6.35,5.98,6.09,1.48%,0.82%,4.27%,-1.64%
2,600778.XSHG,2022-05-23,5.82,5.93,,6.3,6.43,6.0,6.04,-3.15%,0,4.27%,-1.64%
3,600778.XSHG,2022-05-20,5.74,5.82,,6.58,6.65,6.23,5.9,-1.19%,0,4.27%,-1.64%
4,600778.XSHG,2022-05-19,5.6,5.74,,6.11,6.74,5.97,5.88,-0.51%,0,4.27%,-1.64%
5,600778.XSHG,2022-05-18,5.44,5.6,,6.08,6.35,5.91,5.76,3.65%,7.64%,10.24%,5.56%
6,600778.XSHG,2022-05-17,5.3,5.44,,5.55,6.3,5.55,5.58,-4.84%,0,10.24%,5.56%
7,600778.XSHG,2022-03-25,4.92,4.94,,5.03,5.03,4.86,4.96,0.40%,0.81%,1.41%,1.41%
8,600778.XSHG,2022-03-24,4.88,4.92,,4.99,5.06,4.94,4.96,1.21%,0.81%,2.02%,0.60%
9,600778.XSHG,2022-03-23,4.84,4.88,,5.0,5.0,4.9,4.92,-0.20%,0,2.02%,0.60%
10,600778.XSHG,2022-03-22,4.8,4.84,,5.1,5.1,4.93,4.88,-2.25%,0,2.02%,0.60%
11,600778.XSHG,2021-12-29,4.51,4.55,,4.53,4.57,4.48,4.59,1.53%,-2.40%,-0.44%,-1.31%
12,600778.XSHG,2021-12-28,4.46,4.51,,4.61,4.65,4.52,4.56,1.75%,-0.88%,1.97%,1.10%
13,600778.XSHG,2021-12-27,4.39,4.46,,4.58,4.7,4.48,4.53,-0.88%,0,1.97%,1.10%
14,600778.XSHG,2021-12-24,4.37,4.39,,4.8,4.88,4.57,4.41,2.27%,8.84%,10.66%,8.84%
15,600778.XSHG,2021-09-17,4.78,4.8,,4.56,4.66,4.5,4.82,5.60%,-3.94%,-3.32%,-5.39%
16,600778.XSHG,2021-09-16,4.74,4.78,,4.67,4.71,4.55,4.82,4.98%,-4.15%,-2.28%,-3.11%
17,600778.XSHG,2021-09-15,4.7,4.74,,4.73,4.77,4.58,4.78,1.88%,-2.93%,-0.21%,-1.05%
18,600778.XSHG,2021-09-14,4.62,4.7,,4.76,4.79,4.69,4.78,0.84%,-1.26%,0.21%,-0.42%
19,600778.XSHG,2021-09-13,4.51,4.62,,4.99,5.02,4.74,4.73,-4.86%,0,0.21%,-0.42%
20,600778.XSHG,2021-09-10,4.45,4.51,,5.49,5.49,4.96,4.57,-7.00%,0,0.21%,-0.42%
21,600778.XSHG,2021-09-09,4.38,4.45,,4.93,5.37,4.89,4.52,-6.42%,0,0.21%,-0.42%
22,600778.XSHG,2021-09-08,4.34,4.38,,4.88,4.94,4.81,4.42,-4.98%,0,0.21%,-0.42%
23,600778.XSHG,2021-09-07,4.3,4.34,,4.69,4.94,4.64,4.38,-1.60%,0,0.21%,-0.42%
24,600778.XSHG,2021-07-13,4.36,4.4,,4.51,4.56,4.38,4.44,2.93%,-0.90%,2.70%,1.58%
25,600778.XSHG,2021-07-12,4.32,4.36,,4.4,4.53,4.31,4.4,0.91%,2.50%,2.95%,0.00%
