,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,002354.XSHE,2022-04-11,5.18,5.23,,5.2,5.38,4.97,5.28,6.25%,-2.27%,1.89%,-1.52%
1,002354.XSHE,2022-04-08,5.12,5.18,,5.11,5.23,4.95,5.24,1.91%,-4.77%,-0.19%,-2.48%
2,002354.XSHE,2022-03-14,5.14,5.14,,4.88,4.94,4.53,5.14,5.06%,-11.67%,-3.89%,-5.06%
3,002354.XSHE,2022-03-11,5.15,5.14,,5.04,5.14,4.88,5.13,3.70%,-4.87%,0.19%,-1.75%
4,002354.XSHE,2022-03-10,5.1,5.15,,5.04,5.17,4.94,5.2,0.96%,-2.12%,-0.58%,-3.08%
5,002354.XSHE,2022-03-08,4.89,5.0,,5.25,5.32,4.83,5.11,-2.94%,0,-0.58%,-3.08%
6,002354.XSHE,2022-03-07,4.8,4.89,,5.37,5.69,5.26,4.98,-1.61%,0,-0.58%,-3.08%
7,002354.XSHE,2022-03-04,4.74,4.8,,5.1,5.75,5.06,4.86,2.06%,13.17%,18.31%,4.94%
8,002354.XSHE,2022-03-03,4.69,4.74,,4.94,5.47,4.76,4.79,-2.30%,0,18.31%,4.94%
9,002354.XSHE,2022-01-13,5.78,5.96,,5.73,6.0,5.73,6.14,4.56%,-6.35%,-2.28%,-6.68%
10,002354.XSHE,2022-01-12,5.64,5.78,,6.1,6.22,5.86,5.92,3.38%,-0.84%,5.07%,3.04%
11,002354.XSHE,2022-01-11,5.48,5.64,,5.83,6.4,5.72,5.8,0.17%,6.55%,10.34%,0.52%
12,002354.XSHE,2022-01-10,5.36,5.48,,5.99,6.14,5.79,5.6,-4.82%,0,10.34%,0.52%
13,002354.XSHE,2022-01-07,5.23,5.36,,5.88,6.32,5.87,5.49,-9.11%,0,10.34%,0.52%
14,002354.XSHE,2022-01-06,5.07,5.23,,6.41,6.56,5.99,5.39,-15.58%,0,10.34%,0.52%
15,002354.XSHE,2022-01-05,4.97,5.07,,7.0,7.17,6.23,5.17,-15.67%,0,10.34%,0.52%
16,002354.XSHE,2021-12-24,4.76,4.88,,4.54,4.61,4.41,5.0,10.60%,-11.20%,-7.80%,-9.20%
17,002354.XSHE,2021-12-23,4.62,4.76,,4.92,4.92,4.47,4.9,3.47%,-8.37%,0.41%,0.41%
18,002354.XSHE,2021-12-22,4.43,4.62,,4.86,5.02,4.73,4.81,-1.04%,0,0.41%,0.41%
19,002354.XSHE,2021-12-21,4.24,4.43,,5.13,5.2,4.86,4.62,-7.79%,0,0.41%,0.41%
20,002354.XSHE,2021-12-20,4.11,4.24,,5.25,5.79,4.98,4.37,-8.70%,0,0.41%,0.41%
21,002354.XSHE,2021-12-17,3.95,4.11,,4.75,5.28,4.75,4.27,-8.20%,0,0.41%,0.41%
22,002354.XSHE,2021-12-16,3.79,3.95,,4.98,5.0,4.62,4.11,-18.73%,0,0.41%,0.41%
23,002354.XSHE,2021-12-15,3.67,3.79,,5.23,5.45,4.88,3.91,-16.88%,0,0.41%,0.41%
24,002354.XSHE,2021-12-14,3.55,3.67,,4.78,5.23,4.57,3.79,-18.73%,0,0.41%,0.41%
25,002354.XSHE,2021-11-18,3.46,3.55,,3.53,3.62,3.49,3.64,4.67%,-4.12%,-0.55%,-3.02%
26,002354.XSHE,2021-11-17,3.38,3.46,,3.64,3.69,3.47,3.54,-0.56%,0,-0.55%,-3.02%
27,002354.XSHE,2021-11-16,3.3,3.38,,3.58,3.71,3.56,3.46,-4.62%,0,-0.55%,-3.02%
28,002354.XSHE,2021-11-15,3.21,3.3,,3.69,3.79,3.62,3.39,-7.37%,0,-0.55%,-3.02%
29,002354.XSHE,2021-11-12,3.11,3.21,,3.8,3.81,3.64,3.31,-9.06%,0,-0.55%,-3.02%
30,002354.XSHE,2021-11-11,3.02,3.11,,3.64,3.95,3.61,3.2,-10.00%,0,-0.55%,-3.02%
31,002354.XSHE,2021-09-15,3.28,3.3,,3.28,3.43,3.25,3.32,1.81%,-1.51%,3.31%,-1.20%
32,002354.XSHE,2021-09-14,3.25,3.28,,3.31,3.37,3.26,3.31,0.30%,-0.91%,1.81%,0.00%
33,002354.XSHE,2021-09-13,3.23,3.25,,3.44,3.47,3.3,3.27,-1.53%,0,1.81%,0.00%
34,002354.XSHE,2021-07-16,3.74,3.76,,3.69,3.86,3.66,3.78,2.65%,0.00%,2.12%,-2.38%
35,002354.XSHE,2021-07-15,3.7,3.74,,3.7,3.78,3.68,3.78,2.65%,-2.38%,0.00%,-2.12%
36,002354.XSHE,2021-06-04,3.86,3.89,,3.85,4.08,3.85,3.92,4.59%,1.02%,4.08%,-1.79%
37,002354.XSHE,2021-06-03,3.83,3.86,,3.87,3.92,3.74,3.89,1.80%,-1.29%,0.77%,-0.51%
38,002354.XSHE,2021-06-02,3.78,3.83,,3.88,4.14,3.82,3.88,4.12%,-1.03%,6.70%,0.00%
39,002354.XSHE,2021-06-01,3.69,3.78,,4.01,4.03,3.72,3.87,-3.88%,0,6.70%,0.00%
40,002354.XSHE,2021-05-31,3.61,3.69,,4.18,4.18,4.02,3.77,-8.75%,0,6.70%,0.00%
41,002354.XSHE,2021-05-28,3.53,3.61,,4.22,4.4,4.1,3.69,-8.94%,0,6.70%,0.00%
42,002354.XSHE,2021-05-27,3.48,3.53,,4.17,4.39,4.02,3.58,-3.07%,0,6.70%,0.00%
43,002354.XSHE,2021-05-26,3.42,3.48,,3.75,4.1,3.69,3.54,-2.82%,0,6.70%,0.00%
44,002354.XSHE,2021-05-25,3.37,3.42,,3.73,3.83,3.64,3.47,-6.05%,0,6.70%,0.00%
45,002354.XSHE,2021-05-24,3.33,3.37,,3.91,3.95,3.68,3.41,-6.16%,0,6.70%,0.00%
46,002354.XSHE,2021-05-21,3.3,3.33,,3.62,3.62,3.62,3.36,-3.27%,0,6.70%,0.00%
47,002354.XSHE,2021-05-20,3.26,3.3,,3.47,3.65,3.47,3.34,-0.30%,0,6.70%,0.00%
48,002354.XSHE,2021-05-19,3.23,3.26,,3.51,3.58,3.35,3.29,-4.56%,0,6.70%,0.00%
49,002354.XSHE,2021-04-13,3.06,3.09,,3.14,3.16,2.98,3.12,0.64%,-2.24%,1.28%,0.64%
50,002354.XSHE,2021-04-12,3.03,3.06,,3.24,3.24,3.1,3.09,-1.94%,0,1.28%,0.64%
51,002354.XSHE,2021-04-09,2.98,3.03,,3.17,3.26,3.15,3.08,-2.27%,0,1.28%,0.64%
52,002354.XSHE,2021-04-08,2.94,2.98,,3.17,3.24,3.15,3.02,-3.64%,0,1.28%,0.64%
53,002354.XSHE,2021-04-07,2.9,2.94,,3.13,3.28,3.13,2.98,-5.03%,0,1.28%,0.64%
54,002354.XSHE,2021-04-06,2.87,2.9,,3.17,3.31,3.13,2.93,-0.68%,0,1.28%,0.64%
55,002354.XSHE,2021-04-02,2.84,2.87,,2.99,3.15,2.95,2.9,-1.03%,0,1.28%,0.64%
56,002354.XSHE,2021-04-01,2.79,2.84,,3.03,3.11,2.93,2.89,-4.50%,0,1.28%,0.64%
57,002354.XSHE,2021-03-31,2.74,2.79,,3.1,3.16,3.02,2.84,-6.34%,0,1.28%,0.64%
58,002354.XSHE,2021-03-30,2.71,2.74,,3.06,3.17,3.02,2.77,-2.89%,0,1.28%,0.64%
59,002354.XSHE,2021-03-29,2.66,2.71,,2.87,3.02,2.85,2.76,-4.35%,0,1.28%,0.64%
60,002354.XSHE,2020-11-02,3.6,3.65,,3.49,3.68,3.46,3.7,5.41%,-0.54%,-0.54%,-5.68%
61,002354.XSHE,2020-10-30,3.54,3.6,,3.66,3.75,3.5,3.66,0.27%,-4.37%,2.46%,0.00%
62,002354.XSHE,2020-10-29,3.49,3.54,,3.7,3.83,3.65,3.59,-1.11%,0,2.46%,0.00%
63,002354.XSHE,2020-08-14,3.98,4.04,,4.05,4.17,4.05,4.1,1.22%,0.00%,1.71%,-1.22%
64,002354.XSHE,2020-08-13,3.91,3.98,,4.08,4.19,4.05,4.05,-0.25%,0,1.71%,-1.22%
65,002354.XSHE,2020-08-12,3.81,3.91,,4.13,4.14,4.06,4.01,-1.25%,0,1.71%,-1.22%
66,002354.XSHE,2020-08-11,3.71,3.81,,4.11,4.22,4.06,3.91,-6.14%,0,1.71%,-1.22%
67,002354.XSHE,2020-08-10,3.61,3.71,,4.19,4.34,4.15,3.81,-3.41%,0,1.71%,-1.22%
68,002354.XSHE,2020-08-07,3.5,3.61,,4.13,4.34,3.94,3.72,-10.48%,0,1.71%,-1.22%
69,002354.XSHE,2020-08-06,3.42,3.5,,4.27,4.34,4.11,3.58,-14.25%,0,1.71%,-1.22%
70,002354.XSHE,2020-08-05,3.35,3.42,,4.11,4.25,4.09,3.49,-10.60%,0,1.71%,-1.22%
71,002354.XSHE,2020-08-04,3.29,3.35,,3.86,4.05,3.86,3.41,-9.97%,0,1.71%,-1.22%
72,002354.XSHE,2020-06-11,3.16,3.14,,2.92,3.14,2.89,3.12,5.13%,-2.24%,0.64%,-6.41%
73,002354.XSHE,2020-06-10,3.15,3.16,,3.02,3.08,2.96,3.17,6.31%,-5.68%,-2.84%,-4.73%
74,002354.XSHE,2020-06-09,3.12,3.15,,3.09,3.18,2.97,3.18,2.20%,-3.77%,0.00%,-2.83%
75,002354.XSHE,2020-06-08,3.07,3.12,,3.22,3.26,3.11,3.17,2.52%,-1.58%,2.84%,1.58%
76,002354.XSHE,2020-06-05,2.99,3.07,,3.23,3.37,3.09,3.15,-2.54%,0,2.84%,1.58%
77,002354.XSHE,2020-06-04,2.92,2.99,,3.42,3.42,3.23,3.06,-5.56%,0,2.84%,1.58%
78,002354.XSHE,2020-06-03,2.84,2.92,,3.24,3.42,3.23,3.0,-1.67%,0,2.84%,1.58%
79,002354.XSHE,2020-06-02,2.78,2.84,,3.34,3.34,3.05,2.9,-9.66%,0,2.84%,1.58%
80,002354.XSHE,2020-06-01,2.71,2.78,,3.18,3.18,3.18,2.85,-4.21%,0,2.84%,1.58%
81,002354.XSHE,2020-05-29,2.62,2.71,,2.97,3.03,2.97,2.8,-3.21%,0,2.84%,1.58%
82,002354.XSHE,2020-05-28,2.52,2.62,,2.89,3.02,2.89,2.72,-11.76%,0,2.84%,1.58%
83,002354.XSHE,2020-05-27,2.42,2.52,,3.36,3.36,3.04,2.62,-22.14%,0,2.84%,1.58%
84,002354.XSHE,2020-05-26,2.34,2.42,,3.2,3.2,3.2,2.5,-18.00%,0,2.84%,1.58%
85,002354.XSHE,2020-05-25,2.27,2.34,,3.0,3.05,2.95,2.41,-12.86%,0,2.84%,1.58%
86,002354.XSHE,2020-05-22,2.2,2.27,,2.73,2.9,2.72,2.34,-11.97%,0,2.84%,1.58%
87,002354.XSHE,2020-05-21,2.14,2.2,,2.66,2.76,2.62,2.26,-9.29%,0,2.84%,1.58%
88,002354.XSHE,2020-05-20,2.07,2.14,,2.47,2.63,2.47,2.21,-5.88%,0,2.84%,1.58%
89,002354.XSHE,2020-05-19,2.01,2.07,,2.5,2.57,2.34,2.13,-7.98%,0,2.84%,1.58%
