,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,603028.XSHG,2022-05-26,8.75,8.83,,8.61,8.77,8.47,8.91,4.04%,-3.70%,-1.57%,-3.37%
1,603028.XSHG,2022-05-25,8.67,8.75,,8.8,8.82,8.55,8.83,1.70%,-2.27%,-0.11%,-0.34%
2,603028.XSHG,2022-05-24,8.56,8.67,,8.74,8.91,8.68,8.78,0.46%,-0.34%,1.48%,-0.46%
3,603028.XSHG,2022-05-23,8.43,8.56,,9.13,9.21,8.74,8.69,-3.57%,0,1.48%,-0.46%
4,603028.XSHG,2021-12-23,14.51,14.79,,14.59,14.74,13.9,15.07,6.17%,-7.10%,-2.19%,-3.19%
5,603028.XSHG,2021-12-22,14.28,14.51,,15.7,15.7,14.14,14.74,-0.81%,0,-2.19%,-3.19%
6,603028.XSHG,2021-12-06,13.75,13.73,,13.52,13.52,12.46,13.71,4.01%,-7.22%,-1.39%,-1.39%
7,603028.XSHG,2021-12-03,13.65,13.75,,13.5,14.1,13.16,13.85,4.12%,-2.45%,1.81%,-2.53%
8,603028.XSHG,2021-12-02,13.55,13.65,,13.96,14.12,13.28,13.75,4.15%,-2.91%,2.69%,1.53%
9,603028.XSHG,2021-11-29,12.75,12.98,,15.0,15.29,14.24,13.21,-2.65%,0,2.69%,1.53%
10,603028.XSHG,2021-11-26,12.54,12.75,,13.56,14.92,13.56,12.96,-1.00%,0,2.69%,1.53%
11,603028.XSHG,2021-11-25,12.39,12.54,,13.42,13.68,13.09,12.69,3.07%,6.86%,7.80%,5.75%
12,603028.XSHG,2021-11-24,12.2,12.39,,12.87,13.6,12.3,12.58,-1.43%,0,7.80%,5.75%
13,603028.XSHG,2021-11-23,11.95,12.2,,13.37,13.53,12.76,12.45,-5.22%,0,7.80%,5.75%
14,603028.XSHG,2021-11-22,11.66,11.95,,13.47,13.68,13.1,12.24,-9.97%,0,7.80%,5.75%
15,603028.XSHG,2021-11-19,11.4,11.66,,13.52,13.99,13.46,11.92,-9.48%,0,7.80%,5.75%
16,603028.XSHG,2021-11-18,11.17,11.4,,13.18,13.71,13.05,11.63,-10.49%,0,7.80%,5.75%
17,603028.XSHG,2021-11-04,10.77,10.83,,10.27,10.57,9.95,10.89,5.88%,-2.94%,-2.94%,-5.69%
18,603028.XSHG,2021-11-03,10.67,10.77,,11.89,11.89,10.25,10.87,3.59%,-4.14%,9.38%,9.38%
19,603028.XSHG,2021-11-02,10.55,10.67,,11.28,11.28,10.48,10.79,-0.19%,0,9.38%,9.38%
20,603028.XSHG,2021-11-01,10.44,10.55,,11.18,11.45,10.81,10.66,-2.25%,0,9.38%,9.38%
21,603028.XSHG,2021-10-29,10.32,10.44,,11.06,11.25,10.9,10.56,-2.65%,0,9.38%,9.38%
22,603028.XSHG,2021-10-28,10.17,10.32,,11.11,11.32,10.84,10.47,-3.82%,0,9.38%,9.38%
23,603028.XSHG,2021-10-27,10.06,10.17,,11.07,11.77,10.87,10.28,-6.03%,0,9.38%,9.38%
24,603028.XSHG,2021-10-22,9.68,9.85,,9.87,10.86,9.78,10.02,2.30%,8.38%,8.38%,-1.50%
25,603028.XSHG,2021-10-21,9.46,9.68,,10.05,10.12,9.79,9.9,0.00%,0,8.38%,-1.50%
26,603028.XSHG,2021-10-20,9.26,9.46,,10.15,10.32,9.9,9.66,-3.93%,0,8.38%,-1.50%
27,603028.XSHG,2021-10-19,9.08,9.26,,10.19,10.38,10.04,9.44,-4.87%,0,8.38%,-1.50%
28,603028.XSHG,2021-10-18,8.92,9.08,,9.9,10.65,9.9,9.24,-6.06%,0,8.38%,-1.50%
29,603028.XSHG,2021-10-15,8.76,8.92,,9.9,10.1,9.8,9.08,-6.83%,0,8.38%,-1.50%
30,603028.XSHG,2021-10-14,8.62,8.76,,9.85,10.13,9.7,8.9,-7.98%,0,8.38%,-1.50%
31,603028.XSHG,2021-03-18,9.33,9.43,,9.7,9.73,9.56,9.53,-0.42%,0,8.38%,-1.50%
32,603028.XSHG,2021-03-17,9.23,9.33,,9.62,9.79,9.57,9.43,-1.27%,0,8.38%,-1.50%
33,603028.XSHG,2021-03-16,9.13,9.23,,9.64,9.8,9.55,9.33,-0.54%,0,8.38%,-1.50%
34,603028.XSHG,2021-03-15,9.01,9.13,,9.53,9.74,9.38,9.25,-1.73%,0,8.38%,-1.50%
35,603028.XSHG,2021-03-12,8.89,9.01,,9.86,9.86,9.41,9.13,-5.59%,0,8.38%,-1.50%
36,603028.XSHG,2021-02-26,8.56,8.6,,8.64,8.65,8.47,8.64,2.43%,-0.93%,0.12%,0.00%
37,603028.XSHG,2021-02-25,8.53,8.56,,8.53,8.7,8.43,8.59,0.23%,-0.23%,1.28%,-0.70%
38,603028.XSHG,2021-02-24,8.48,8.53,,8.66,8.76,8.57,8.58,0.47%,1.28%,2.10%,0.93%
39,603028.XSHG,2020-10-27,10.6,10.67,,10.79,10.93,10.38,10.74,0.28%,-3.17%,1.77%,0.47%
40,603028.XSHG,2020-10-26,10.53,10.6,,10.77,11.07,10.71,10.67,3.19%,1.31%,3.75%,0.94%
41,603028.XSHG,2020-10-23,10.33,10.53,,10.59,10.97,10.33,10.73,1.03%,1.12%,2.24%,-1.30%
42,603028.XSHG,2020-10-22,10.23,10.33,,11.18,11.31,10.62,10.43,-2.97%,0,2.24%,-1.30%
43,603028.XSHG,2020-10-21,10.13,10.23,,10.86,11.36,10.74,10.33,-3.19%,0,2.24%,-1.30%
44,603028.XSHG,2020-10-20,10.04,10.13,,10.75,11.04,10.66,10.22,-4.01%,0,2.24%,-1.30%
45,603028.XSHG,2020-10-19,9.95,10.04,,10.84,11.08,10.63,10.13,0.20%,8.29%,9.38%,7.01%
46,603028.XSHG,2020-10-16,9.9,9.95,,10.18,11.13,10.11,10.0,-1.20%,0,9.38%,7.01%
47,603028.XSHG,2020-09-23,9.41,9.46,,9.76,9.77,9.25,9.51,0.53%,-2.63%,2.73%,2.63%
48,603028.XSHG,2020-04-02,8.89,8.99,,8.97,9.01,8.33,9.09,5.50%,-7.15%,-0.88%,-1.32%
49,603028.XSHG,2020-04-01,8.77,8.89,,9.22,9.22,8.59,9.01,0.22%,-1.00%,2.33%,2.33%
50,603028.XSHG,2020-03-31,8.68,8.77,,9.09,9.31,8.99,8.86,-0.79%,0,2.33%,2.33%
51,603028.XSHG,2020-03-30,8.52,8.68,,8.99,9.31,8.93,8.84,-0.90%,0,2.33%,2.33%
52,603028.XSHG,2020-03-27,8.39,8.52,,9.47,9.54,8.92,8.65,-5.90%,0,2.33%,2.33%
53,603028.XSHG,2020-01-17,9.7,9.77,,9.57,9.73,9.48,9.84,3.05%,-2.64%,-1.12%,-2.74%
54,603028.XSHG,2020-01-16,9.6,9.7,,9.7,9.86,9.54,9.8,0.00%,0,-1.12%,-2.74%
55,603028.XSHG,2020-01-15,9.52,9.6,,9.98,10.09,9.8,9.68,-1.14%,0,-1.12%,-2.74%
56,603028.XSHG,2020-01-14,9.42,9.52,,9.89,10.15,9.79,9.62,-2.60%,0,-1.12%,-2.74%
57,603028.XSHG,2019-12-20,8.76,8.88,,8.78,8.99,8.7,9.0,3.00%,-2.67%,-0.11%,-2.44%
58,603028.XSHG,2019-12-19,8.62,8.76,,9.07,9.15,8.73,8.9,-0.45%,0,-0.11%,-2.44%
59,603028.XSHG,2019-12-18,8.49,8.62,,9.31,9.31,8.94,8.75,-3.89%,0,-0.11%,-2.44%
60,603028.XSHG,2019-09-17,8.08,8.19,,8.46,8.63,8.28,8.3,-1.57%,0,-0.11%,-2.44%
61,603028.XSHG,2019-09-16,8.01,8.08,,8.71,8.77,8.43,8.15,-1.23%,0,-0.11%,-2.44%
62,603028.XSHG,2019-09-12,7.96,8.01,,8.34,9.01,8.25,8.06,-1.49%,0,-0.11%,-2.44%
63,603028.XSHG,2019-09-11,7.91,7.96,,8.22,8.36,8.18,8.01,-1.62%,0,-0.11%,-2.44%
64,603028.XSHG,2019-09-10,7.83,7.91,,8.3,8.38,8.14,7.99,-3.50%,0,-0.11%,-2.44%
65,603028.XSHG,2019-09-03,7.45,7.54,,7.96,8.21,7.84,7.63,-2.10%,0,-0.11%,-2.44%
66,603028.XSHG,2019-09-02,7.34,7.45,,7.92,7.96,7.79,7.56,-1.32%,0,-0.11%,-2.44%
67,603028.XSHG,2019-08-30,7.24,7.34,,7.66,7.9,7.66,7.44,-2.02%,0,-0.11%,-2.44%
68,603028.XSHG,2019-08-29,7.14,7.24,,7.76,7.81,7.59,7.34,-3.00%,0,-0.11%,-2.44%
69,603028.XSHG,2019-08-28,7.01,7.14,,7.73,7.75,7.56,7.27,-5.09%,0,-0.11%,-2.44%
70,603028.XSHG,2019-08-27,6.89,7.01,,7.83,7.9,7.64,7.13,-7.15%,0,-0.11%,-2.44%
71,603028.XSHG,2019-05-30,8.69,8.67,,7.86,7.94,7.62,8.65,11.79%,-10.64%,-8.21%,-9.13%
72,603028.XSHG,2019-05-28,8.52,8.6,,8.68,8.74,8.32,8.68,7.60%,-2.42%,0.69%,0.00%
73,603028.XSHG,2019-05-27,8.29,8.52,,8.14,9.1,8.02,8.75,1.14%,1.03%,4.00%,-6.97%
74,603028.XSHG,2019-05-24,8.13,8.29,,8.65,8.76,8.65,8.45,-5.44%,0,4.00%,-6.97%
75,603028.XSHG,2019-05-23,8.03,8.13,,8.91,9.72,8.91,8.23,-0.24%,0,4.00%,-6.97%
76,603028.XSHG,2019-05-22,7.89,8.03,,8.27,9.03,8.25,8.17,-1.71%,0,4.00%,-6.97%
77,603028.XSHG,2019-05-21,7.76,7.89,,8.37,8.53,8.31,8.02,-4.61%,0,4.00%,-6.97%
78,603028.XSHG,2019-04-29,7.47,7.53,,7.16,7.76,7.06,7.59,7.64%,2.24%,2.24%,-5.67%
79,603028.XSHG,2019-04-26,7.42,7.47,,7.7,7.77,7.01,7.52,-0.27%,0,2.24%,-5.67%
80,603028.XSHG,2019-04-25,7.35,7.42,,7.61,7.84,7.54,7.49,-1.74%,0,2.24%,-5.67%
81,603028.XSHG,2019-04-24,7.32,7.35,,7.96,7.99,7.62,7.38,-1.22%,0,2.24%,-5.67%
82,603028.XSHG,2019-04-23,7.32,7.32,,7.7,8.0,7.47,7.32,-4.10%,0,2.24%,-5.67%
83,603028.XSHG,2019-04-15,6.99,7.06,,6.99,7.39,6.95,7.13,1.96%,2.95%,3.65%,-1.96%
84,603028.XSHG,2019-04-12,6.93,6.99,,7.14,7.22,6.99,7.05,1.13%,-0.85%,2.41%,1.28%
