,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,002410.XSHE,2021-11-05,70.29,70.43,,67.99,68.15,64.68,70.57,4.39%,-7.69%,-3.43%,-3.66%
1,002410.XSHE,2021-11-04,69.79,70.29,,67.83,69.13,67.47,70.79,5.41%,-3.72%,-2.34%,-4.18%
2,002410.XSHE,2021-11-03,69.16,69.79,,70.85,71.44,66.96,70.42,0.26%,-3.37%,1.45%,0.61%
3,002410.XSHE,2021-10-20,66.53,66.73,,66.45,68.06,65.64,66.93,0.91%,-0.39%,1.69%,-0.72%
4,002410.XSHE,2021-10-12,63.42,63.93,,65.22,67.85,64.66,64.44,0.14%,4.45%,5.29%,1.21%
5,002410.XSHE,2021-07-21,70.21,70.82,,69.48,72.03,68.85,71.43,2.97%,0.18%,0.84%,-2.73%
6,002410.XSHE,2021-07-20,69.37,70.21,,70.19,70.49,69.31,71.05,2.55%,-2.21%,-0.79%,-1.21%
7,002410.XSHE,2021-06-01,72.45,72.72,,72.5,72.92,69.93,72.99,2.67%,-3.34%,-0.10%,-0.67%
8,002410.XSHE,2021-05-31,71.69,72.45,,71.58,73.73,71.04,73.21,2.43%,-0.78%,0.71%,-2.23%
9,002410.XSHE,2021-04-12,66.16,66.96,,66.91,69.55,66.37,67.76,2.54%,0.94%,2.64%,-1.25%
10,002410.XSHE,2021-04-09,65.39,66.16,,67.92,67.93,66.04,66.93,1.14%,-0.49%,1.49%,1.48%
11,002410.XSHE,2021-04-08,64.61,65.39,,67.41,68.3,66.17,66.17,-1.74%,0,1.49%,1.48%
12,002410.XSHE,2021-04-07,63.66,64.61,,67.59,68.18,67.32,65.56,-2.35%,0,1.49%,1.48%
13,002410.XSHE,2021-04-06,62.97,63.66,,70.8,70.8,67.1,64.35,-4.30%,0,1.49%,1.48%
14,002410.XSHE,2021-04-02,62.37,62.97,,67.66,71.25,67.12,63.57,-5.27%,0,1.49%,1.48%
15,002410.XSHE,2021-01-27,84.96,85.38,,81.18,82.94,79.19,85.8,5.40%,-6.95%,-3.33%,-5.38%
16,002410.XSHE,2021-01-26,83.91,84.96,,83.87,85.03,81.17,86.01,3.12%,-3.31%,-1.14%,-2.49%
17,002410.XSHE,2021-01-25,82.66,83.91,,85.15,87.11,83.33,85.16,-1.71%,0,-1.14%,-2.49%
18,002410.XSHE,2021-01-22,81.5,82.66,,89.8,90.4,86.62,83.82,-4.64%,0,-1.14%,-2.49%
19,002410.XSHE,2021-01-21,80.33,81.5,,89.44,91.05,87.71,82.67,-6.18%,0,-1.14%,-2.49%
20,002410.XSHE,2021-01-20,79.74,80.33,,89.5,91.57,87.78,80.92,-5.50%,0,-1.14%,-2.49%
21,002410.XSHE,2021-01-11,75.59,76.08,,78.45,81.17,78.22,76.57,-1.23%,0,-1.14%,-2.49%
22,002410.XSHE,2021-01-08,75.1,75.59,,79.19,79.37,77.51,76.08,-1.60%,0,-1.14%,-2.49%
23,002410.XSHE,2021-01-07,74.45,75.1,,78.1,79.45,77.3,75.75,-0.62%,0,-1.14%,-2.49%
24,002410.XSHE,2021-01-06,73.74,74.45,,76.75,78.7,76.22,75.16,-0.76%,0,-1.14%,-2.49%
25,002410.XSHE,2021-01-05,72.89,73.74,,78.8,78.85,75.73,74.59,-4.18%,0,-1.14%,-2.49%
26,002410.XSHE,2020-12-25,69.75,70.34,,71.98,72.46,69.79,70.93,-0.47%,0,-1.14%,-2.49%
