,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,600099.XSHG,2022-05-26,7.63,7.74,,8.6,9.48,8.52,7.85,-5.22%,0,6.40%,-0.71%
1,600099.XSHG,2022-05-25,7.55,7.63,,8.52,9.0,8.26,7.71,-2.46%,0,6.40%,-0.71%
2,600099.XSHG,2022-02-24,8.78,8.88,,9.0,9.24,8.89,8.98,2.56%,0.67%,2.90%,0.22%
3,600099.XSHG,2022-02-23,8.7,8.78,,9.09,9.36,8.75,8.86,-2.14%,0,2.90%,0.22%
4,600099.XSHG,2022-02-22,8.6,8.7,,9.4,9.78,9.05,8.8,-1.02%,0,2.90%,0.22%
5,600099.XSHG,2022-02-21,8.5,8.6,,9.14,9.18,8.89,8.7,-1.49%,0,2.90%,0.22%
6,600099.XSHG,2022-02-18,8.35,8.5,,9.0,9.14,8.83,8.65,-1.85%,0,2.90%,0.22%
7,600099.XSHG,2021-12-23,8.24,8.32,,8.25,8.5,8.12,8.4,2.26%,0.71%,1.19%,-1.79%
8,600099.XSHG,2021-12-22,8.09,8.24,,8.41,8.41,8.21,8.39,0.36%,-1.55%,0.24%,0.24%
9,600099.XSHG,2021-12-21,7.92,8.09,,8.65,8.74,8.36,8.26,-3.03%,0,0.24%,0.24%
10,600099.XSHG,2021-12-20,7.82,7.92,,8.71,8.73,8.51,8.02,-2.74%,0,0.24%,0.24%
11,600099.XSHG,2021-12-17,7.72,7.82,,8.36,9.17,8.24,7.92,-3.41%,0,0.24%,0.24%
12,600099.XSHG,2021-11-19,7.4,7.46,,7.61,7.67,7.46,7.52,-1.06%,0,0.24%,0.24%
13,600099.XSHG,2021-03-01,5.77,5.83,,6.07,6.12,5.98,5.89,-2.38%,0,0.24%,0.24%
14,600099.XSHG,2020-12-02,7.37,7.41,,6.79,6.91,6.72,7.45,9.40%,-8.05%,-7.25%,-8.86%
15,600099.XSHG,2020-12-01,7.26,7.37,,7.2,7.22,6.75,7.48,1.60%,-8.16%,-3.48%,-3.74%
16,600099.XSHG,2020-07-27,7.02,7.04,,6.81,7.08,6.81,7.06,4.53%,-1.70%,0.28%,-3.54%
17,600099.XSHG,2020-07-24,6.98,7.02,,6.9,6.96,6.74,7.06,2.55%,-3.68%,-1.42%,-2.27%
18,600099.XSHG,2020-07-15,6.67,6.73,,6.84,6.95,6.67,6.79,-0.59%,0,-1.42%,-2.27%
19,600099.XSHG,2020-03-16,6.28,6.35,,6.12,6.2,5.82,6.42,5.45%,-6.39%,-3.43%,-4.67%
20,600099.XSHG,2019-04-22,8.39,8.48,,8.22,8.23,8.03,8.57,4.78%,-5.72%,-3.97%,-4.08%
21,600099.XSHG,2019-04-19,8.28,8.39,,8.42,8.54,8.16,8.5,1.29%,-3.29%,0.47%,-0.94%
22,600099.XSHG,2019-04-18,8.11,8.28,,8.65,8.8,8.39,8.45,-1.78%,0,0.47%,-0.94%
23,600099.XSHG,2019-04-17,7.96,8.11,,9.02,9.14,8.6,8.26,-2.42%,0,0.47%,-0.94%
24,600099.XSHG,2019-04-16,7.79,7.96,,8.55,9.59,8.46,8.13,-1.48%,0,0.47%,-0.94%
25,600099.XSHG,2019-04-15,7.55,7.79,,8.65,9.06,8.25,8.03,-9.96%,0,0.47%,-0.94%
26,600099.XSHG,2019-04-12,7.42,7.55,,9.17,10.2,8.83,7.68,-16.41%,0,0.47%,-0.94%
27,600099.XSHG,2019-03-26,7.12,7.18,,7.14,7.26,6.96,7.24,1.38%,-1.93%,0.28%,-1.38%
28,600099.XSHG,2019-03-14,6.74,6.8,,6.86,7.11,6.86,6.86,2.77%,2.62%,3.64%,0.00%
29,600099.XSHG,2019-03-13,6.68,6.74,,7.03,7.08,6.67,6.8,-2.65%,0,3.64%,0.00%
30,600099.XSHG,2019-03-12,6.62,6.68,,7.03,7.19,6.98,6.74,-3.26%,0,3.64%,0.00%
31,600099.XSHG,2019-03-11,6.57,6.62,,6.99,7.21,6.96,6.67,0.00%,0,3.64%,0.00%
32,600099.XSHG,2019-03-08,6.48,6.57,,6.67,7.01,6.67,6.66,0.90%,4.65%,5.26%,0.15%
33,600099.XSHG,2019-03-07,6.4,6.48,,6.92,6.98,6.6,6.56,-3.96%,0,5.26%,0.15%
34,600099.XSHG,2019-03-06,6.33,6.4,,6.88,7.02,6.82,6.47,-3.25%,0,5.26%,0.15%
35,600099.XSHG,2019-03-05,6.27,6.33,,6.72,6.89,6.68,6.39,-1.88%,0,5.26%,0.15%
36,600099.XSHG,2019-03-04,6.2,6.27,,6.6,6.78,6.51,6.34,-2.37%,0,5.26%,0.15%
37,600099.XSHG,2019-03-01,6.14,6.2,,6.53,6.73,6.49,6.26,-2.08%,0,5.26%,0.15%
38,600099.XSHG,2019-02-28,6.08,6.14,,6.54,6.57,6.39,6.2,-3.55%,0,5.26%,0.15%
39,600099.XSHG,2019-02-27,6.01,6.08,,6.45,6.66,6.42,6.15,-3.58%,0,5.26%,0.15%
40,600099.XSHG,2018-11-23,6.5,6.56,,6.39,6.58,6.31,6.62,4.98%,-4.23%,-0.60%,-3.47%
41,600099.XSHG,2018-11-22,6.44,6.5,,6.68,6.75,6.29,6.56,-1.37%,0,-0.60%,-3.47%
