,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,002541.XSHE,2021-12-20,53.29,53.82,,55.08,56.17,54.01,54.35,0.09%,1.32%,3.35%,1.34%
1,002541.XSHE,2021-12-17,52.69,53.29,,55.14,58.17,54.3,53.89,0.71%,2.19%,7.94%,2.32%
2,002541.XSHE,2021-12-16,52.13,52.69,,54.23,55.88,53.51,53.25,0.34%,4.38%,4.94%,1.84%
3,002541.XSHE,2021-12-15,51.76,52.13,,54.79,55.54,53.07,52.5,-1.52%,0,4.94%,1.84%
4,002541.XSHE,2021-12-14,51.12,51.76,,54.29,55.23,53.3,52.4,-0.86%,0,4.94%,1.84%
5,002541.XSHE,2021-12-13,50.55,51.12,,55.41,55.41,52.85,51.69,-2.73%,0,4.94%,1.84%
6,002541.XSHE,2021-11-22,47.33,47.77,,48.59,48.74,47.3,48.21,-0.46%,0,4.94%,1.84%
7,002541.XSHE,2021-11-19,47.01,47.33,,48.73,49.6,48.43,47.65,-0.73%,0,4.94%,1.84%
8,002541.XSHE,2021-11-18,46.76,47.01,,48.22,49.5,48.0,47.26,-1.57%,0,4.94%,1.84%
9,002541.XSHE,2021-11-17,46.18,46.76,,49.3,49.65,48.0,47.34,-3.46%,0,4.94%,1.84%
10,002541.XSHE,2021-08-13,56.75,57.32,,57.0,57.55,56.0,57.89,3.18%,-2.68%,-0.59%,-1.54%
11,002541.XSHE,2021-08-12,55.84,56.75,,57.16,57.33,56.05,57.66,1.35%,-2.32%,-0.57%,-0.87%
12,002541.XSHE,2021-07-08,60.1,60.05,,56.73,56.76,53.86,60.0,6.63%,-7.17%,-5.40%,-5.45%
13,002541.XSHE,2021-07-02,57.25,58.24,,60.92,62.48,58.9,59.23,-0.88%,0,-5.40%,-5.45%
14,002541.XSHE,2021-07-01,56.7,57.25,,62.52,62.52,59.75,57.8,-5.55%,0,-5.40%,-5.45%
15,002541.XSHE,2021-06-30,56.46,56.7,,61.32,64.19,61.01,56.94,1.12%,12.73%,12.73%,7.69%
16,002541.XSHE,2021-06-29,56.15,56.46,,58.0,58.46,56.3,56.77,-1.04%,0,12.73%,7.69%
17,002541.XSHE,2021-06-28,55.56,56.15,,57.65,58.6,57.36,56.74,-1.52%,0,12.73%,7.69%
18,002541.XSHE,2021-03-25,50.55,50.66,,48.79,51.16,48.79,50.77,7.74%,-0.91%,0.77%,-3.90%
19,002541.XSHE,2021-03-24,49.96,50.55,,47.79,49.45,46.84,51.14,9.35%,-4.60%,-3.30%,-6.55%
20,002541.XSHE,2021-02-24,52.5,52.46,,47.48,49.73,46.84,52.42,11.47%,-9.08%,-5.13%,-9.42%
21,002541.XSHE,2021-02-23,51.91,52.5,,50.94,51.78,46.41,53.09,7.16%,-10.91%,-2.47%,-4.05%
22,002541.XSHE,2021-02-22,50.95,51.91,,52.9,53.67,49.29,52.87,-1.51%,0,-2.47%,-4.05%
23,002541.XSHE,2021-02-19,50.01,50.95,,56.06,60.24,53.67,51.89,-4.59%,0,-2.47%,-4.05%
24,002541.XSHE,2021-02-18,49.26,50.01,,54.76,59.64,54.27,50.76,-5.95%,0,-2.47%,-4.05%
25,002541.XSHE,2021-02-03,46.78,47.28,,49.37,50.28,46.0,47.78,-3.26%,0,-2.47%,-4.05%
26,002541.XSHE,2021-01-21,44.96,45.95,,45.96,46.28,44.51,46.94,4.11%,-3.56%,-1.41%,-2.09%
27,002541.XSHE,2021-01-20,43.74,44.96,,46.8,47.47,45.01,46.18,1.91%,-0.43%,2.79%,1.34%
28,002541.XSHE,2021-01-19,42.3,43.74,,47.39,48.38,45.3,45.18,-2.39%,0,2.79%,1.34%
29,002541.XSHE,2021-01-18,41.04,42.3,,49.21,51.56,46.26,43.56,-10.40%,0,2.79%,1.34%
30,002541.XSHE,2021-01-15,39.46,41.04,,49.5,51.78,48.09,42.62,-9.81%,0,2.79%,1.34%
31,002541.XSHE,2021-01-14,37.77,39.46,,48.79,49.71,46.8,41.15,-16.14%,0,2.79%,1.34%
32,002541.XSHE,2020-12-16,37.1,37.46,,38.36,38.91,37.34,37.82,0.85%,1.93%,2.88%,1.43%
33,002541.XSHE,2020-08-25,48.85,49.27,,47.99,48.59,44.36,49.69,4.77%,-9.18%,-2.21%,-3.42%
34,002541.XSHE,2020-08-24,48.95,48.85,,49.73,51.28,47.32,48.75,1.97%,-1.78%,5.19%,2.01%
35,002541.XSHE,2020-08-21,49.22,48.95,,49.68,50.28,47.79,48.68,-1.01%,0,5.19%,2.01%
36,002541.XSHE,2020-08-20,48.96,49.22,,50.58,51.45,49.17,49.48,-0.02%,0,5.19%,2.01%
37,002541.XSHE,2020-08-12,46.15,46.81,,46.2,47.3,42.92,47.47,11.90%,-4.04%,-0.36%,-2.68%
38,002541.XSHE,2020-08-11,45.23,46.15,,45.1,47.68,41.82,47.07,3.97%,-0.66%,1.30%,-4.19%
39,002541.XSHE,2020-08-10,43.7,45.23,,45.4,48.17,45.2,46.76,2.48%,-3.34%,3.02%,-2.91%
40,002541.XSHE,2020-08-07,42.39,43.7,,49.73,50.56,45.6,45.01,-4.75%,0,3.02%,-2.91%
