,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,002063.XSHE,2022-05-24,6.22,6.3,,6.22,6.48,6.21,6.38,2.35%,1.25%,1.57%,-2.51%
1,002063.XSHE,2022-05-23,6.15,6.22,,6.5,6.6,6.23,6.29,-3.50%,0,1.57%,-2.51%
2,002063.XSHE,2021-12-27,9.62,9.78,,10.38,10.82,10.13,9.94,0.60%,7.65%,8.85%,4.43%
3,002063.XSHE,2021-12-24,9.42,9.62,,10.09,10.58,9.88,9.82,-1.73%,0,8.85%,4.43%
4,002063.XSHE,2021-12-23,9.29,9.42,,10.51,10.67,9.99,9.55,-2.72%,0,8.85%,4.43%
5,002063.XSHE,2021-12-22,9.12,9.29,,10.14,10.75,9.81,9.46,-2.54%,0,8.85%,4.43%
6,002063.XSHE,2021-12-21,8.93,9.12,,9.8,10.26,9.7,9.31,-3.76%,0,8.85%,4.43%
7,002063.XSHE,2021-12-20,8.79,8.93,,10.09,10.15,9.66,9.07,-9.92%,0,8.85%,4.43%
8,002063.XSHE,2021-12-17,8.64,8.79,,10.01,10.54,9.97,8.94,-8.50%,0,8.85%,4.43%
9,002063.XSHE,2021-12-16,8.51,8.64,,9.81,10.28,9.7,8.77,-9.69%,0,8.85%,4.43%
10,002063.XSHE,2021-12-07,8.23,8.28,,8.23,8.9,8.16,8.33,3.96%,4.32%,6.84%,-1.20%
11,002063.XSHE,2021-12-06,8.14,8.23,,8.36,8.39,8.0,8.32,1.44%,-1.68%,0.84%,0.48%
12,002063.XSHE,2021-12-03,8.06,8.14,,8.48,8.58,8.2,8.22,-0.61%,0,0.84%,0.48%
13,002063.XSHE,2021-12-02,7.96,8.06,,8.49,8.71,8.27,8.16,-1.72%,0,0.84%,0.48%
14,002063.XSHE,2021-12-01,7.84,7.96,,8.59,8.6,8.3,8.08,-4.08%,0,0.84%,0.48%
15,002063.XSHE,2021-11-30,7.74,7.84,,8.5,8.84,8.41,7.94,-3.65%,0,0.84%,0.48%
16,002063.XSHE,2021-11-29,7.64,7.74,,8.26,8.64,8.23,7.84,0.89%,8.42%,10.20%,5.36%
17,002063.XSHE,2021-11-26,7.49,7.64,,7.97,8.34,7.77,7.79,-3.47%,0,10.20%,5.36%
18,002063.XSHE,2021-11-25,7.42,7.49,,8.6,8.85,8.06,7.56,-3.57%,0,10.20%,5.36%
19,002063.XSHE,2021-11-24,7.33,7.42,,7.85,8.55,7.83,7.51,-2.66%,0,10.20%,5.36%
20,002063.XSHE,2021-11-23,7.25,7.33,,7.85,7.94,7.71,7.41,-4.18%,0,10.20%,5.36%
21,002063.XSHE,2021-11-22,7.18,7.25,,7.78,7.91,7.72,7.32,-4.23%,0,10.20%,5.36%
22,002063.XSHE,2021-09-15,7.25,7.32,,7.5,7.67,7.42,7.39,-0.41%,0,10.20%,5.36%
23,002063.XSHE,2021-03-24,7.27,7.36,,7.45,7.76,7.17,7.45,-0.13%,0,10.20%,5.36%
24,002063.XSHE,2021-03-23,7.2,7.27,,7.47,7.83,7.46,7.34,-1.91%,0,10.20%,5.36%
25,002063.XSHE,2021-03-22,7.16,7.2,,7.64,7.69,7.48,7.24,-1.93%,0,10.20%,5.36%
26,002063.XSHE,2021-03-19,7.11,7.16,,7.44,7.79,7.38,7.21,-2.50%,0,10.20%,5.36%
27,002063.XSHE,2021-03-18,7.08,7.11,,7.48,7.68,7.39,7.14,-0.70%,0,10.20%,5.36%
28,002063.XSHE,2021-03-11,6.73,6.75,,7.08,7.48,7.01,6.77,1.77%,8.42%,10.49%,4.58%
29,002063.XSHE,2021-03-10,6.7,6.73,,6.69,7.19,6.65,6.76,1.63%,4.73%,6.36%,-1.04%
