,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,603299.XSHG,2022-05-13,11.33,11.4,,11.32,12.08,11.24,11.47,4.18%,4.62%,5.32%,-1.31%
1,603299.XSHG,2022-05-12,11.25,11.33,,11.15,11.65,10.99,11.41,4.03%,0.35%,2.10%,-2.28%
2,603299.XSHG,2022-05-11,11.01,11.25,,11.45,11.59,10.95,11.49,2.52%,-3.13%,0.87%,-0.35%
3,603299.XSHG,2022-05-10,10.89,11.01,,12.03,13.23,11.2,11.13,-3.59%,0,0.87%,-0.35%
4,603299.XSHG,2022-05-09,10.61,10.89,,11.68,12.24,11.53,11.17,-6.62%,0,0.87%,-0.35%
5,603299.XSHG,2022-05-06,10.48,10.61,,12.6,12.64,11.91,10.74,-7.26%,0,0.87%,-0.35%
6,603299.XSHG,2022-04-29,10.21,10.38,,10.39,11.51,10.31,10.55,5.97%,9.10%,9.10%,-1.52%
7,603299.XSHG,2022-04-28,9.91,10.21,,10.04,10.66,9.92,10.51,2.76%,-0.48%,1.43%,-4.47%
8,603299.XSHG,2022-04-27,9.66,9.91,,10.89,11.86,10.22,10.16,4.53%,0.69%,16.73%,7.19%
9,603299.XSHG,2022-04-26,9.43,9.66,,10.45,11.86,9.7,9.89,-1.52%,0,16.73%,7.19%
10,603299.XSHG,2022-04-25,9.2,9.43,,10.48,11.4,10.04,9.66,-2.48%,0,16.73%,7.19%
11,603299.XSHG,2022-04-22,9.05,9.2,,10.25,10.88,9.9,9.35,-2.03%,0,16.73%,7.19%
12,603299.XSHG,2022-04-21,8.82,9.05,,9.54,10.76,9.54,9.28,-5.39%,0,16.73%,7.19%
13,603299.XSHG,2022-04-20,8.67,8.82,,10.7,10.96,9.78,8.97,-8.70%,0,16.73%,7.19%
14,603299.XSHG,2022-04-19,8.5,8.67,,9.88,10.87,9.75,8.84,-5.66%,0,16.73%,7.19%
15,603299.XSHG,2021-12-09,9.74,9.78,,9.68,9.79,9.53,9.82,2.65%,-2.75%,-0.31%,-1.43%
16,603299.XSHG,2021-12-08,9.7,9.74,,9.72,9.81,9.56,9.78,1.74%,-0.51%,0.31%,-0.61%
17,603299.XSHG,2021-12-07,9.61,9.7,,9.84,9.95,9.61,9.79,1.02%,0.00%,1.63%,0.51%
18,603299.XSHG,2021-12-06,9.51,9.61,,10.12,10.21,9.69,9.71,-3.30%,0,1.63%,0.51%
19,603299.XSHG,2021-12-03,9.42,9.51,,10.11,10.4,10.03,9.6,-3.85%,0,1.63%,0.51%
20,603299.XSHG,2021-11-22,8.89,8.94,,9.25,9.5,9.19,8.99,-1.89%,0,1.63%,0.51%
21,603299.XSHG,2021-11-19,8.87,8.89,,9.16,9.51,9.16,8.91,-1.12%,0,1.63%,0.51%
22,603299.XSHG,2021-11-18,8.84,8.87,,9.01,9.28,9.01,8.9,-0.67%,0,1.63%,0.51%
23,603299.XSHG,2021-11-17,8.74,8.84,,9.04,9.28,8.96,8.94,0.34%,1.45%,3.80%,1.12%
24,603299.XSHG,2021-09-24,10.54,10.68,,10.17,10.29,9.38,10.82,7.95%,-12.11%,-4.90%,-6.01%
25,603299.XSHG,2021-09-23,10.31,10.54,,10.51,10.7,9.96,10.77,4.27%,-7.06%,-0.65%,-2.41%
26,603299.XSHG,2021-09-22,10.1,10.31,,10.95,11.12,10.31,10.52,0.19%,0.00%,5.70%,4.09%
27,603299.XSHG,2021-09-17,9.89,10.1,,10.71,11.1,10.5,10.31,-0.78%,0,5.70%,4.09%
28,603299.XSHG,2021-09-16,9.61,9.89,,11.06,11.45,10.39,10.17,-8.26%,0,5.70%,4.09%
29,603299.XSHG,2021-09-15,9.36,9.61,,11.74,12.0,11.01,9.86,-14.40%,0,5.70%,4.09%
30,603299.XSHG,2021-09-14,9.17,9.36,,11.36,12.25,11.28,9.55,-12.57%,0,5.70%,4.09%
31,603299.XSHG,2021-09-13,9.1,9.17,,10.96,11.65,10.75,9.24,-4.44%,0,5.70%,4.09%
32,603299.XSHG,2021-09-10,8.98,9.1,,9.7,10.59,9.65,9.22,-4.45%,0,5.70%,4.09%
33,603299.XSHG,2021-09-02,8.6,8.64,,9.25,9.25,8.71,8.68,0.92%,1.04%,6.57%,6.57%
34,603299.XSHG,2021-09-01,8.54,8.6,,8.61,9.34,8.6,8.66,0.35%,5.54%,7.85%,-0.58%
35,603299.XSHG,2021-08-31,8.51,8.54,,8.85,9.19,8.63,8.57,-1.75%,0,7.85%,-0.58%
36,603299.XSHG,2021-08-30,8.46,8.51,,8.77,9.08,8.72,8.56,-1.75%,0,7.85%,-0.58%
37,603299.XSHG,2021-08-19,8.04,8.11,,8.1,8.24,8.05,8.18,1.96%,0.24%,0.73%,-0.98%
38,603299.XSHG,2021-07-22,7.9,7.95,,8.16,8.38,8.11,8.0,-1.00%,0,0.73%,-0.98%
39,603299.XSHG,2021-07-21,7.82,7.9,,8.12,8.23,8.08,7.98,-1.50%,0,0.73%,-0.98%
40,603299.XSHG,2021-07-20,7.75,7.82,,8.19,8.29,8.1,7.89,0.89%,2.79%,5.07%,3.80%
41,603299.XSHG,2021-06-10,7.93,7.96,,7.81,7.88,7.64,7.99,2.50%,-4.38%,-1.38%,-2.25%
42,603299.XSHG,2021-06-09,7.88,7.93,,7.94,7.98,7.79,7.98,0.25%,-2.01%,0.00%,-0.50%
43,603299.XSHG,2021-06-08,7.8,7.88,,7.98,8.17,7.96,7.96,-0.75%,0,0.00%,-0.50%
44,603299.XSHG,2021-04-21,7.84,7.88,,8.23,8.24,7.99,7.92,0.38%,2.40%,4.04%,3.91%
45,603299.XSHG,2021-03-04,8.66,8.77,,8.24,8.51,8.22,8.88,5.63%,-5.52%,-4.17%,-7.21%
46,603299.XSHG,2021-03-03,8.57,8.66,,8.72,8.73,8.38,8.75,2.06%,-4.23%,-0.23%,-0.34%
47,603299.XSHG,2021-03-02,8.42,8.57,,8.72,8.97,8.57,8.72,-0.46%,0,-0.23%,-0.34%
48,603299.XSHG,2021-03-01,8.23,8.42,,9.13,9.22,8.76,8.61,-4.30%,0,-0.23%,-0.34%
49,603299.XSHG,2021-02-26,8.13,8.23,,9.3,9.38,8.98,8.33,-1.44%,0,-0.23%,-0.34%
50,603299.XSHG,2021-02-25,8.04,8.13,,8.56,9.52,8.45,8.22,-0.97%,0,-0.23%,-0.34%
51,603299.XSHG,2021-02-24,7.95,8.04,,8.72,8.85,8.3,8.13,-4.18%,0,-0.23%,-0.34%
52,603299.XSHG,2021-02-23,7.92,7.95,,8.92,8.92,8.47,7.98,-4.64%,0,-0.23%,-0.34%
53,603299.XSHG,2020-12-23,7.34,7.39,,7.37,7.37,6.81,7.44,0.67%,-8.33%,-0.94%,-0.94%
54,603299.XSHG,2020-12-22,7.29,7.34,,7.52,7.82,7.39,7.39,2.71%,1.08%,5.82%,1.76%
55,603299.XSHG,2020-12-21,7.24,7.29,,7.34,7.82,7.19,7.34,1.23%,3.54%,6.54%,0.00%
56,603299.XSHG,2020-12-18,7.17,7.24,,7.34,7.51,7.25,7.31,0.14%,1.09%,2.74%,0.41%
57,603299.XSHG,2020-12-17,7.07,7.17,,7.4,7.66,7.3,7.27,-1.93%,0,2.74%,0.41%
58,603299.XSHG,2020-12-16,7.0,7.07,,7.59,7.65,7.41,7.14,-3.50%,0,2.74%,0.41%
59,603299.XSHG,2020-12-15,6.94,7.0,,7.43,7.95,7.39,7.06,-1.84%,0,2.74%,0.41%
60,603299.XSHG,2020-12-01,6.67,6.71,,6.77,6.87,6.7,6.75,-0.15%,0,2.74%,0.41%
61,603299.XSHG,2020-11-30,6.62,6.67,,6.81,6.91,6.76,6.72,0.30%,1.79%,2.83%,1.34%
62,603299.XSHG,2020-11-27,6.59,6.62,,6.81,6.94,6.7,6.65,-0.60%,0,2.83%,1.34%
63,603299.XSHG,2020-11-26,6.54,6.59,,6.76,6.82,6.69,6.64,-1.36%,0,2.83%,1.34%
64,603299.XSHG,2020-07-27,7.41,7.49,,7.19,7.3,7.05,7.57,6.61%,-3.83%,-3.57%,-5.02%
65,603299.XSHG,2020-07-24,7.27,7.41,,7.34,7.38,7.07,7.55,4.77%,-5.43%,-2.25%,-2.78%
66,603299.XSHG,2020-07-23,7.16,7.27,,7.84,7.93,7.19,7.38,-0.14%,0,-2.25%,-2.78%
67,603299.XSHG,2020-07-22,7.01,7.16,,7.49,8.17,7.39,7.31,-3.15%,0,-2.25%,-2.78%
68,603299.XSHG,2020-07-21,6.88,7.01,,7.74,8.02,7.54,7.14,-5.18%,0,-2.25%,-2.78%
69,603299.XSHG,2020-07-20,6.78,6.88,,7.6,8.11,7.51,6.98,-0.86%,0,-2.25%,-2.78%
70,603299.XSHG,2020-07-17,6.64,6.78,,7.31,7.82,7.04,6.92,-3.32%,0,-2.25%,-2.78%
71,603299.XSHG,2020-07-16,6.5,6.64,,7.59,7.79,7.15,6.78,-4.13%,0,-2.25%,-2.78%
72,603299.XSHG,2020-07-15,6.36,6.5,,7.19,7.84,7.06,6.64,-11.75%,0,-2.25%,-2.78%
73,603299.XSHG,2020-07-14,6.29,6.36,,7.46,8.15,7.42,6.43,-3.73%,0,-2.25%,-2.78%
74,603299.XSHG,2020-07-13,6.24,6.29,,6.71,7.4,6.67,6.34,-1.74%,0,-2.25%,-2.78%
75,603299.XSHG,2020-07-10,6.17,6.24,,6.47,6.75,6.45,6.31,-2.54%,0,-2.25%,-2.78%
76,603299.XSHG,2020-04-14,6.1,6.14,,6.23,6.24,6.13,6.18,0.81%,-0.81%,0.97%,0.81%
77,603299.XSHG,2020-04-13,6.07,6.1,,6.18,6.23,6.13,6.13,0.33%,1.63%,1.63%,0.82%
78,603299.XSHG,2020-04-10,6.01,6.07,,6.12,6.24,6.11,6.13,0.33%,0.65%,1.79%,-0.16%
79,603299.XSHG,2020-04-09,5.93,6.01,,6.39,6.39,6.11,6.09,-3.12%,0,1.79%,-0.16%
80,603299.XSHG,2019-08-28,7.71,7.78,,7.82,7.85,7.72,7.85,0.25%,-1.27%,0.00%,-0.38%
81,603299.XSHG,2019-07-18,7.94,8.0,,7.88,7.96,7.72,8.06,5.33%,-3.47%,-1.24%,-2.23%
82,603299.XSHG,2019-07-17,7.83,7.94,,8.07,8.19,7.63,8.05,0.00%,0,-1.24%,-2.23%
83,603299.XSHG,2019-07-16,7.71,7.83,,8.28,8.48,8.05,7.95,-4.15%,0,-1.24%,-2.23%
84,603299.XSHG,2019-07-15,7.56,7.71,,8.38,8.52,8.28,7.86,-1.53%,0,-1.24%,-2.23%
85,603299.XSHG,2019-07-12,7.44,7.56,,7.98,8.77,7.98,7.68,-2.21%,0,-1.24%,-2.23%
86,603299.XSHG,2019-07-11,7.32,7.44,,7.92,8.19,7.85,7.56,-3.44%,0,-1.24%,-2.23%
87,603299.XSHG,2019-07-10,7.17,7.32,,8.0,8.26,7.82,7.47,-5.22%,0,-1.24%,-2.23%
88,603299.XSHG,2019-07-09,7.11,7.17,,8.03,8.37,7.86,7.23,-1.66%,0,-1.24%,-2.23%
89,603299.XSHG,2019-07-08,7.07,7.11,,7.55,8.35,7.35,7.15,-1.96%,0,-1.24%,-2.23%
90,603299.XSHG,2019-07-05,7.0,7.07,,7.47,7.97,7.29,7.14,-3.64%,0,-1.24%,-2.23%
91,603299.XSHG,2019-06-21,6.65,6.72,,7.01,7.05,6.9,6.79,-2.21%,0,-1.24%,-2.23%
92,603299.XSHG,2019-05-16,6.78,6.91,,7.36,7.72,7.27,7.04,-1.85%,0,-1.24%,-2.23%
93,603299.XSHG,2019-05-15,6.71,6.78,,7.27,7.82,7.17,6.85,1.17%,9.20%,14.16%,6.13%
94,603299.XSHG,2019-03-14,6.33,6.35,,6.15,6.27,6.12,6.37,5.49%,-2.83%,-1.57%,-3.45%
95,603299.XSHG,2019-03-13,6.27,6.33,,6.32,6.39,6.02,6.39,1.10%,-4.54%,0.00%,-1.10%
96,603299.XSHG,2019-03-12,6.22,6.27,,6.54,6.59,6.32,6.32,-2.85%,0,0.00%,-1.10%
97,603299.XSHG,2019-03-08,6.07,6.16,,6.46,6.62,6.36,6.25,-1.44%,0,0.00%,-1.10%
98,603299.XSHG,2019-03-05,5.95,5.98,,6.2,6.39,6.16,6.01,-0.83%,0,0.00%,-1.10%
99,603299.XSHG,2019-03-04,5.9,5.95,,6.09,6.19,6.06,6.0,-2.00%,0,0.00%,-1.10%
100,603299.XSHG,2019-03-01,5.85,5.9,,6.15,6.29,6.12,5.95,-1.01%,0,0.00%,-1.10%
101,603299.XSHG,2019-02-22,5.6,5.66,,5.78,6.08,5.74,5.72,1.40%,5.77%,6.29%,1.05%
102,603299.XSHG,2019-02-21,5.52,5.6,,5.75,5.78,5.64,5.68,-1.23%,0,6.29%,1.05%
103,603299.XSHG,2019-02-20,5.45,5.52,,5.88,6.1,5.75,5.59,-0.54%,0,6.29%,1.05%
104,603299.XSHG,2019-01-28,5.28,5.29,,5.18,5.18,4.94,5.3,3.21%,-4.34%,-2.26%,-2.26%
105,603299.XSHG,2019-01-25,5.25,5.28,,5.27,5.33,5.13,5.31,1.13%,-2.64%,0.38%,-0.75%
106,603299.XSHG,2019-01-24,5.2,5.25,,5.36,5.39,5.25,5.3,-0.19%,0,0.38%,-0.75%
107,603299.XSHG,2019-01-23,5.15,5.2,,5.51,5.51,5.31,5.25,-2.48%,0,0.38%,-0.75%
108,603299.XSHG,2018-11-21,5.5,5.52,,5.73,5.79,5.64,5.54,2.89%,1.99%,4.51%,3.43%
109,603299.XSHG,2018-11-20,5.46,5.5,,5.48,5.66,5.38,5.54,0.36%,1.81%,2.17%,-1.08%
110,603299.XSHG,2018-11-19,5.41,5.46,,5.74,5.74,5.52,5.51,-2.72%,0,2.17%,-1.08%
111,603299.XSHG,2018-11-16,5.36,5.41,,5.67,5.85,5.66,5.46,-3.30%,0,2.17%,-1.08%
112,603299.XSHG,2018-11-09,5.16,5.19,,5.33,5.45,5.29,5.22,-0.96%,0,2.17%,-1.08%
113,603299.XSHG,2018-05-25,9.93,9.99,,9.8,9.8,9.49,10.05,2.69%,-4.48%,-2.49%,-2.49%
114,603299.XSHG,2018-05-24,9.88,9.93,,10.24,10.24,9.78,9.98,-0.90%,0,-2.49%,-2.49%
115,603299.XSHG,2018-01-24,10.38,10.46,,10.45,10.64,10.41,10.54,1.42%,-0.19%,0.95%,-0.85%
116,603299.XSHG,2018-01-23,10.29,10.38,,10.43,10.62,10.39,10.47,-0.57%,0,0.95%,-0.85%
117,603299.XSHG,2018-01-22,10.24,10.29,,10.67,10.85,10.53,10.34,-0.48%,0,0.95%,-0.85%
118,603299.XSHG,2018-01-19,10.08,10.24,,10.53,10.88,10.39,10.4,-2.21%,0,0.95%,-0.85%
119,603299.XSHG,2018-01-18,9.94,10.08,,10.89,11.13,10.63,10.22,-3.13%,0,0.95%,-0.85%
120,603299.XSHG,2018-01-17,9.76,9.94,,10.63,11.17,10.54,10.12,-4.05%,0,0.95%,-0.85%
121,603299.XSHG,2017-11-27,10.84,10.99,,11.41,11.7,11.3,11.14,-0.72%,0,0.95%,-0.85%
122,603299.XSHG,2017-11-24,10.72,10.84,,11.34,11.62,11.22,10.96,-1.09%,0,0.95%,-0.85%
123,603299.XSHG,2017-11-23,10.54,10.72,,11.08,11.68,11.08,10.9,-2.75%,0,0.95%,-0.85%
124,603299.XSHG,2017-11-22,10.48,10.54,,11.98,12.12,11.2,10.6,-3.49%,0,0.95%,-0.85%
125,603299.XSHG,2017-11-21,10.4,10.48,,10.97,11.73,10.97,10.56,0.95%,11.08%,11.08%,3.88%
126,603299.XSHG,2017-03-23,14.25,14.35,,14.47,14.51,14.14,14.45,1.45%,-1.25%,0.42%,0.14%
127,603299.XSHG,2017-03-22,14.15,14.25,,14.89,14.9,14.24,14.35,-1.46%,0,0.42%,0.14%
