,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,600657.XSHG,2022-05-17,6.5,6.64,,6.52,6.8,6.33,6.78,7.37%,-0.15%,0.29%,-3.83%
1,600657.XSHG,2022-04-12,7.11,7.18,,5.79,6.44,5.56,7.25,19.31%,-16.28%,-11.17%,-20.14%
2,600657.XSHG,2022-04-11,6.91,7.11,,6.22,6.45,5.85,7.31,11.08%,-19.97%,-11.76%,-14.91%
3,600657.XSHG,2022-04-08,6.67,6.91,,6.7,6.8,6.5,7.15,5.17%,-9.09%,-4.90%,-6.29%
4,600657.XSHG,2022-04-07,6.3,6.67,,7.08,7.62,6.78,7.04,-2.27%,0,-4.90%,-6.29%
5,600657.XSHG,2022-04-06,5.88,6.3,,7.2,7.57,7.2,6.72,-18.30%,0,-4.90%,-6.29%
6,600657.XSHG,2022-04-01,5.52,5.88,,9.0,9.23,7.95,6.24,-16.19%,0,-4.90%,-6.29%
7,600657.XSHG,2022-03-31,5.17,5.52,,7.9,8.43,7.25,5.87,-19.93%,0,-4.90%,-6.29%
8,600657.XSHG,2022-03-30,4.89,5.17,,8.1,8.1,7.04,5.45,-31.19%,0,-4.90%,-6.29%
9,600657.XSHG,2022-03-29,4.64,4.89,,7.3,7.36,7.15,5.14,-22.57%,0,-4.90%,-6.29%
10,600657.XSHG,2022-03-28,4.44,4.64,,7.02,7.36,6.3,4.84,-25.62%,0,-4.90%,-6.29%
11,600657.XSHG,2022-03-25,4.26,4.44,,6.08,6.69,6.08,4.62,-20.13%,0,-4.90%,-6.29%
12,600657.XSHG,2022-03-24,4.13,4.26,,6.34,6.34,5.55,4.39,-25.06%,0,-4.90%,-6.29%
13,600657.XSHG,2022-01-17,3.88,3.91,,3.88,3.95,3.82,3.94,2.79%,-1.27%,0.25%,-1.52%
14,600657.XSHG,2022-01-14,3.84,3.88,,3.84,3.97,3.83,3.92,1.79%,-1.53%,1.28%,-2.04%
15,600657.XSHG,2022-01-13,3.8,3.84,,4.03,4.03,3.85,3.88,-2.06%,0,1.28%,-2.04%
16,600657.XSHG,2022-01-12,3.77,3.8,,3.99,4.16,3.96,3.83,-3.13%,0,1.28%,-2.04%
17,600657.XSHG,2022-01-11,3.73,3.77,,4.03,4.06,3.95,3.81,-5.25%,0,1.28%,-2.04%
18,600657.XSHG,2021-12-28,3.54,3.58,,3.62,3.67,3.59,3.62,0.00%,0,1.28%,-2.04%
19,600657.XSHG,2021-12-27,3.51,3.54,,3.7,3.74,3.62,3.57,-1.40%,0,1.28%,-2.04%
20,600657.XSHG,2021-12-24,3.48,3.51,,3.66,3.77,3.62,3.54,-0.85%,0,1.28%,-2.04%
21,600657.XSHG,2021-12-23,3.43,3.48,,3.62,3.66,3.57,3.53,-2.55%,0,1.28%,-2.04%
