,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,600232.XSHG,2022-03-02,5.81,5.88,,5.78,5.89,5.68,5.95,5.38%,-1.01%,-1.01%,-2.86%
1,600232.XSHG,2022-03-01,5.75,5.81,,5.67,5.79,5.63,5.87,5.45%,-2.21%,-1.36%,-3.41%
2,600232.XSHG,2022-02-28,5.68,5.75,,5.6,5.79,5.55,5.82,5.84%,-0.69%,-0.52%,-3.78%
3,600232.XSHG,2022-02-25,5.57,5.68,,5.7,5.74,5.48,5.79,2.42%,-2.07%,-0.86%,-1.55%
4,600232.XSHG,2022-02-24,5.39,5.57,,5.72,5.98,5.65,5.75,-9.04%,0,-0.86%,-1.55%
5,600232.XSHG,2022-02-23,5.27,5.39,,6.34,6.61,6.27,5.51,-17.06%,0,-0.86%,-1.55%
6,600232.XSHG,2022-02-22,5.2,5.27,,6.55,6.97,6.45,5.34,-5.81%,0,-0.86%,-1.55%
7,600232.XSHG,2020-07-16,5.82,5.86,,5.74,5.83,5.68,5.9,2.88%,-2.71%,-1.19%,-2.71%
8,600232.XSHG,2020-02-28,6.53,6.59,,6.59,6.89,6.46,6.65,5.86%,2.86%,3.61%,-0.90%
9,600232.XSHG,2020-02-04,6.47,6.48,,5.79,6.08,5.73,6.49,13.25%,-6.78%,-6.32%,-10.79%
10,600232.XSHG,2020-02-03,6.4,6.47,,5.63,5.9,5.63,6.54,7.19%,-10.40%,-9.79%,-13.91%
11,600232.XSHG,2020-01-23,6.28,6.4,,6.44,6.44,6.07,6.52,1.07%,-6.90%,-1.23%,-1.23%
12,600232.XSHG,2020-01-22,6.13,6.28,,6.8,6.98,6.45,6.43,-3.89%,0,-1.23%,-1.23%
13,600232.XSHG,2020-01-21,6.01,6.13,,7.75,7.75,6.68,6.25,-10.56%,0,-1.23%,-1.23%
14,600232.XSHG,2020-01-20,5.96,6.01,,7.25,7.43,6.91,6.06,-7.43%,0,-1.23%,-1.23%
15,600232.XSHG,2020-01-17,5.93,5.96,,6.78,6.98,6.51,5.99,0.00%,0,-1.23%,-1.23%
16,600232.XSHG,2020-01-16,5.88,5.93,,6.08,6.42,5.99,5.98,0.33%,6.02%,7.36%,1.67%
17,600232.XSHG,2020-01-15,5.84,5.88,,6.23,6.25,5.96,5.92,-3.72%,0,7.36%,1.67%
18,600232.XSHG,2019-10-21,5.47,5.48,,5.27,5.32,5.23,5.49,6.38%,-3.46%,-3.10%,-4.01%
19,600232.XSHG,2019-10-18,5.44,5.47,,5.43,5.43,5.14,5.5,1.82%,-3.64%,-1.27%,-1.27%
20,600232.XSHG,2019-10-17,5.38,5.44,,5.57,5.62,5.4,5.5,-0.36%,0,-1.27%,-1.27%
21,600232.XSHG,2019-04-02,6.8,6.97,,6.72,6.78,6.61,7.14,5.60%,-5.32%,-5.04%,-5.88%
22,600232.XSHG,2019-04-01,6.67,6.8,,6.87,7.08,6.74,6.93,8.51%,-1.59%,2.16%,-0.87%
23,600232.XSHG,2019-03-29,6.43,6.67,,6.66,7.19,6.34,6.91,4.63%,1.16%,4.05%,-3.62%
24,600232.XSHG,2019-03-28,6.14,6.43,,6.6,7.1,6.59,6.72,-8.93%,0,4.05%,-3.62%
25,600232.XSHG,2019-03-27,5.92,6.14,,7.59,7.7,7.32,6.36,-6.45%,0,4.05%,-3.62%
26,600232.XSHG,2019-03-26,5.64,5.92,,6.78,8.13,6.77,6.2,-18.71%,0,4.05%,-3.62%
27,600232.XSHG,2019-03-25,5.42,5.64,,7.83,8.45,7.36,5.86,-20.31%,0,4.05%,-3.62%
28,600232.XSHG,2019-03-22,5.29,5.42,,7.22,7.94,7.05,5.55,-30.09%,0,4.05%,-3.62%
29,600232.XSHG,2019-03-21,5.22,5.29,,7.22,7.22,7.22,5.36,-22.39%,0,4.05%,-3.62%
30,600232.XSHG,2019-03-08,4.95,5.02,,5.02,5.19,4.98,5.09,2.95%,1.96%,1.96%,-1.38%
31,600232.XSHG,2019-03-07,4.9,4.95,,5.26,5.26,4.94,5.0,-2.20%,0,1.96%,-1.38%
32,600232.XSHG,2019-03-06,4.85,4.9,,5.12,5.37,5.11,4.95,-2.42%,0,1.96%,-1.38%
33,600232.XSHG,2019-03-05,4.81,4.85,,5.12,5.25,5.07,4.89,-1.64%,0,1.96%,-1.38%
34,600232.XSHG,2019-03-04,4.76,4.81,,5.02,5.11,4.97,4.86,-2.88%,0,1.96%,-1.38%
35,600232.XSHG,2019-03-01,4.71,4.76,,5.05,5.13,5.0,4.81,-3.33%,0,1.96%,-1.38%
36,600232.XSHG,2019-02-28,4.66,4.71,,5.05,5.16,4.97,4.76,-2.73%,0,1.96%,-1.38%
37,600232.XSHG,2019-02-27,4.62,4.66,,4.89,5.07,4.89,4.7,-2.55%,0,1.96%,-1.38%
38,600232.XSHG,2018-11-20,4.92,5.03,,4.74,4.94,4.68,5.14,6.61%,-4.86%,-3.89%,-7.78%
39,600232.XSHG,2018-11-19,4.81,4.92,,5.18,5.19,4.8,5.03,-2.19%,0,-3.89%,-7.78%
40,600232.XSHG,2018-11-16,4.69,4.81,,5.15,5.59,5.14,4.93,-2.84%,0,-3.89%,-7.78%
41,600232.XSHG,2018-11-15,4.58,4.69,,5.12,5.24,5.07,4.8,-3.54%,0,-3.89%,-7.78%
42,600232.XSHG,2018-11-14,4.46,4.58,,5.08,5.18,4.97,4.7,-5.53%,0,-3.89%,-7.78%
43,600232.XSHG,2018-11-13,4.33,4.46,,5.02,5.19,4.96,4.59,-6.97%,0,-3.89%,-7.78%
44,600232.XSHG,2018-11-12,4.17,4.33,,5.04,5.21,4.91,4.49,-11.80%,0,-3.89%,-7.78%
45,600232.XSHG,2018-11-09,4.05,4.17,,5.32,5.32,5.02,4.29,-17.95%,0,-3.89%,-7.78%
46,600232.XSHG,2018-11-08,3.96,4.05,,5.29,5.55,5.06,4.14,-14.73%,0,-3.89%,-7.78%
47,600232.XSHG,2018-11-07,3.92,3.96,,4.84,5.07,4.75,4.0,-4.00%,0,-3.89%,-7.78%
48,600232.XSHG,2018-11-06,3.88,3.92,,4.16,4.61,4.16,3.96,-1.77%,0,-3.89%,-7.78%
49,600232.XSHG,2018-03-19,5.51,5.53,,5.52,5.68,5.5,5.55,0.00%,0,-3.89%,-7.78%
50,600232.XSHG,2018-03-16,5.5,5.51,,5.62,5.69,5.55,5.52,0.00%,0,-3.89%,-7.78%
51,600232.XSHG,2017-09-22,8.56,8.67,,8.5,8.51,8.17,8.78,5.13%,-6.04%,-3.08%,-3.19%
52,600232.XSHG,2017-09-21,8.41,8.56,,8.56,8.59,8.33,8.71,2.53%,-2.41%,-1.38%,-1.72%
53,600232.XSHG,2017-09-20,8.24,8.41,,8.83,9.05,8.49,8.58,-1.63%,0,-1.38%,-1.72%
54,600232.XSHG,2017-09-19,8.08,8.24,,9.01,9.05,8.72,8.4,-4.52%,0,-1.38%,-1.72%
55,600232.XSHG,2017-09-18,7.91,8.08,,8.85,9.12,8.78,8.25,-6.06%,0,-1.38%,-1.72%
56,600232.XSHG,2017-09-15,7.7,7.91,,9.02,9.03,8.75,8.12,-9.61%,0,-1.38%,-1.72%
57,600232.XSHG,2017-09-14,7.5,7.7,,9.12,9.22,8.9,7.9,-18.23%,0,-1.38%,-1.72%
58,600232.XSHG,2017-09-13,7.38,7.5,,9.85,9.85,9.34,7.62,-7.22%,0,-1.38%,-1.72%
59,600232.XSHG,2017-08-02,7.31,7.4,,7.59,7.67,7.49,7.49,0.13%,1.34%,2.40%,1.34%
60,600232.XSHG,2017-06-23,6.92,6.93,,6.94,7.0,6.85,6.94,3.17%,0.58%,0.86%,0.00%
61,600232.XSHG,2017-06-22,6.88,6.92,,6.89,7.05,6.72,6.96,1.01%,-0.14%,1.29%,-1.01%
62,600232.XSHG,2017-06-21,6.82,6.88,,7.17,7.17,6.89,6.94,-1.15%,0,1.29%,-1.01%
