,ts_code,trade_date,two_day_MA10,one_day_MA10,today_close,tomorrow_open,tomorrow_high,tomorrow_low,target_price,diff_value,get_close,get_high,get_open
0,603223.XSHG,2021-09-03,36.72,36.88,,36.39,37.76,35.88,37.04,2.89%,-0.49%,1.94%,-1.75%
1,603223.XSHG,2021-09-02,36.55,36.72,,36.96,37.17,35.97,36.89,-0.05%,0,1.94%,-1.75%
2,603223.XSHG,2021-09-01,36.14,36.55,,37.59,38.1,36.91,36.96,-0.19%,0,1.94%,-1.75%
3,603223.XSHG,2021-08-18,34.75,35.06,,35.11,36.49,34.5,35.37,3.90%,-0.20%,3.17%,-0.74%
4,603223.XSHG,2021-08-17,34.46,34.75,,34.2,35.7,33.99,35.04,3.54%,1.60%,1.88%,-2.40%
5,603223.XSHG,2021-08-16,33.96,34.46,,35.01,35.11,33.8,34.96,2.32%,-2.06%,0.43%,0.14%
6,603223.XSHG,2021-08-13,33.49,33.96,,36.89,36.89,34.15,34.43,-5.14%,0,0.43%,0.14%
7,603223.XSHG,2021-07-21,32.08,32.29,,32.15,33.83,31.81,32.5,1.54%,2.71%,4.09%,-1.08%
8,603223.XSHG,2021-07-20,31.76,32.08,,32.45,33.02,32.0,32.4,1.85%,-0.90%,1.91%,0.15%
9,603223.XSHG,2021-07-19,31.36,31.76,,33.24,33.24,31.8,32.16,-2.05%,0,1.91%,0.15%
10,603223.XSHG,2021-07-16,30.96,31.36,,33.68,34.52,32.82,31.76,-3.18%,0,1.91%,0.15%
11,603223.XSHG,2021-06-25,29.58,29.72,,30.26,30.8,29.85,29.86,0.60%,0.57%,3.15%,1.34%
12,603223.XSHG,2021-06-16,27.22,27.92,,29.42,30.14,29.01,28.62,-2.62%,0,3.15%,1.34%
13,603223.XSHG,2021-06-15,26.65,27.22,,29.87,30.42,29.37,27.79,-3.38%,0,3.15%,1.34%
14,603223.XSHG,2021-06-11,26.14,26.65,,28.75,30.14,28.73,27.16,-3.76%,0,3.15%,1.34%
15,603223.XSHG,2021-06-10,25.57,26.14,,28.72,29.32,28.18,26.71,-1.91%,0,3.15%,1.34%
16,603223.XSHG,2021-06-09,24.88,25.57,,28.58,29.2,27.22,26.26,-3.96%,0,3.15%,1.34%
17,603223.XSHG,2021-06-08,24.35,24.88,,30.32,30.37,27.3,25.41,-12.36%,0,3.15%,1.34%
18,603223.XSHG,2021-03-25,22.68,22.97,,22.88,22.88,21.99,23.26,3.57%,-3.74%,-1.63%,-1.63%
19,603223.XSHG,2021-03-24,22.3,22.68,,23.23,23.37,22.43,23.06,-0.22%,0,-1.63%,-1.63%
20,603223.XSHG,2021-03-23,21.92,22.3,,23.88,23.88,23.11,22.68,-4.23%,0,-1.63%,-1.63%
21,603223.XSHG,2021-03-22,21.58,21.92,,23.88,24.25,23.64,22.26,-5.26%,0,-1.63%,-1.63%
22,603223.XSHG,2021-03-19,21.26,21.58,,23.48,24.22,23.43,21.9,-4.70%,0,-1.63%,-1.63%
23,603223.XSHG,2021-03-18,20.96,21.26,,22.93,23.74,22.93,21.56,-4.78%,0,-1.63%,-1.63%
24,603223.XSHG,2021-03-01,19.64,19.86,,20.15,20.15,19.85,20.08,1.54%,-0.40%,0.35%,0.35%
25,603223.XSHG,2021-02-26,19.47,19.64,,20.2,20.29,19.77,19.81,1.21%,1.87%,2.42%,1.97%
26,603223.XSHG,2021-02-25,19.31,19.47,,19.84,20.64,19.57,19.63,-0.92%,0,2.42%,1.97%
27,603223.XSHG,2021-02-24,19.01,19.31,,20.83,20.83,19.81,19.61,-4.08%,0,2.42%,1.97%
28,603223.XSHG,2020-11-30,22.13,22.41,,22.47,22.7,21.57,22.69,1.63%,-4.50%,0.04%,-0.97%
29,603223.XSHG,2020-11-27,21.82,22.13,,23.07,23.18,22.32,22.44,-0.67%,0,0.04%,-0.97%
30,603223.XSHG,2020-11-26,21.45,21.82,,22.97,23.17,22.59,22.19,-3.11%,0,0.04%,-0.97%
31,603223.XSHG,2020-11-25,21.07,21.45,,22.96,23.86,22.88,21.83,-3.02%,0,0.04%,-0.97%
32,603223.XSHG,2020-11-24,20.68,21.07,,22.57,23.79,22.49,21.46,-1.54%,0,0.04%,-0.97%
33,603223.XSHG,2020-11-23,20.22,20.68,,22.83,22.91,21.79,21.14,-2.60%,0,0.04%,-0.97%
34,603223.XSHG,2020-11-20,19.9,20.22,,23.76,24.03,21.69,20.54,-8.03%,0,0.04%,-0.97%
35,603223.XSHG,2020-11-19,19.62,19.9,,22.38,23.88,22.19,20.18,-6.54%,0,0.04%,-0.97%
36,603223.XSHG,2020-11-18,19.37,19.62,,21.89,22.64,21.5,19.87,-3.12%,0,0.04%,-0.97%
37,603223.XSHG,2020-11-17,19.03,19.37,,20.69,21.81,20.49,19.71,-3.09%,0,0.04%,-0.97%
38,603223.XSHG,2020-11-16,18.75,19.03,,21.19,21.96,20.32,19.31,-3.73%,0,0.04%,-0.97%
39,603223.XSHG,2020-11-13,18.48,18.75,,20.03,21.01,20.03,19.02,-2.58%,0,0.04%,-0.97%
40,603223.XSHG,2020-11-12,18.28,18.48,,19.8,20.2,19.51,18.68,-3.32%,0,0.04%,-0.97%
41,603223.XSHG,2020-11-11,18.11,18.28,,19.45,20.22,19.3,18.45,-2.98%,0,0.04%,-0.97%
42,603223.XSHG,2020-11-10,17.87,18.11,,19.11,19.65,19.0,18.35,-1.42%,0,0.04%,-0.97%
43,603223.XSHG,2020-11-09,17.63,17.87,,18.93,19.32,18.61,18.11,-3.92%,0,0.04%,-0.97%
44,603223.XSHG,2020-11-06,17.34,17.63,,19.05,19.56,18.82,17.92,-3.57%,0,0.04%,-0.97%
45,603223.XSHG,2020-11-05,17.06,17.34,,19.3,19.34,18.56,17.62,-5.16%,0,0.04%,-0.97%
46,603223.XSHG,2020-11-04,16.9,17.06,,18.88,19.39,18.53,17.22,-5.87%,0,0.04%,-0.97%
47,603223.XSHG,2020-11-03,16.82,16.9,,18.26,18.89,18.23,16.98,-2.94%,0,0.04%,-0.97%
48,603223.XSHG,2020-11-02,16.82,16.82,,17.66,18.34,17.48,16.82,-0.71%,0,0.04%,-0.97%
49,603223.XSHG,2020-10-22,16.31,16.35,,16.25,17.0,16.03,16.39,5.19%,1.53%,3.72%,-0.85%
50,603223.XSHG,2020-10-21,16.18,16.31,,16.06,16.39,15.54,16.44,3.16%,-1.09%,-0.30%,-2.31%
51,603223.XSHG,2020-10-20,15.98,16.18,,16.71,16.86,15.92,16.38,-0.24%,0,-0.30%,-2.31%
52,603223.XSHG,2020-10-19,15.67,15.98,,16.88,17.11,16.42,16.29,3.38%,1.96%,5.03%,3.62%
53,603223.XSHG,2020-10-16,15.38,15.67,,17.88,17.88,15.74,15.96,-7.39%,0,5.03%,3.62%
54,603223.XSHG,2020-10-15,15.02,15.38,,17.14,17.14,17.14,15.74,-8.89%,0,5.03%,3.62%
55,603223.XSHG,2020-10-14,14.76,15.02,,17.14,17.14,17.14,15.28,-7.13%,0,5.03%,3.62%
56,603223.XSHG,2020-10-13,14.54,14.76,,16.61,17.38,16.37,14.98,-5.74%,0,5.03%,3.62%
57,603223.XSHG,2020-10-12,14.43,14.54,,16.1,16.47,15.84,14.65,-2.53%,0,5.03%,3.62%
58,603223.XSHG,2020-10-09,14.26,14.43,,15.09,16.16,15.02,14.6,-0.21%,0,5.03%,3.62%
