,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,268.0,268.0,000729.SZ,20220301.0,7.65,8.36,7.63,8.36,7.6,0.76,10.0,679442.05,557304.527,,,,,,,,,,,,,,,,,,,,,,,,
2,339.0,339.0,000838.SZ,20220301.0,7.48,8.14,7.48,8.14,7.4,0.74,10.0,436956.2,350415.644,,,,,,,,,,,,,,,,,,,,,,,,
3,355.0,355.0,000876.SZ,20220301.0,15.58,16.91,15.47,16.91,15.37,1.54,10.0195,1219922.04,1985633.127,,,,,,,,,,,,,,,,,,,,,,,,
4,412.0,412.0,000953.SZ,20220301.0,5.76,6.26,5.7,6.26,5.69,0.57,10.0176,95602.1,58676.949,,,,,,,,,,,,,,,,,,,,,,,,
5,468.0,468.0,001266.SZ,20220301.0,61.16,61.16,61.16,61.16,55.6,5.56,10.0,1118.85,6842.886,,,,,,,,,,,,,,,,,,,,,,,,
6,624.0,624.0,002148.SZ,20220301.0,5.55,6.07,5.51,6.07,5.52,0.55,9.9638,353849.54,206928.753,,,,,,,,,,,,,,,,,,,,,,,,
9,838.0,838.0,002366.SZ,20220301.0,4.38,4.82,4.38,4.82,4.38,0.44,10.0457,690996.9,328452.725,,,,,,,,,,,,,,,,,,,,,,,,
11,1014.0,1014.0,002546.SZ,20220301.0,4.49,4.84,4.46,4.84,4.4,0.44,10.0,307315.63,144965.482,,,,,,,,,,,,,,,,,,,,,,,,
12,1016.0,1016.0,002548.SZ,20220301.0,6.58,7.1,6.48,7.1,6.45,0.65,10.0775,490342.17,334141.096,,,,,,,,,,,,,,,,,,,,,,,,
13,1020.0,1020.0,002552.SZ,20220301.0,15.52,17.02,15.47,17.02,15.47,1.55,10.0194,45465.03,75656.182,,,,,,,,,,,,,,,,,,,,,,,,
14,1087.0,1087.0,002620.SZ,20220301.0,5.87,6.44,5.82,6.44,5.85,0.59,10.0855,113662.92,71696.131,,,,,,,,,,,,,,,,,,,,,,,,
15,1097.0,1097.0,002630.SZ,20220301.0,2.25,2.45,2.24,2.45,2.23,0.22,9.8655,500513.7,121320.617,,,,,,,,,,,,,,,,,,,,,,,,
16,1230.0,1230.0,002771.SZ,20220301.0,12.84,13.86,12.21,13.86,12.6,1.26,10.0,250104.59,337260.323,,,,,,,,,,,,,,,,,,,,,,,,
17,1240.0,1240.0,002781.SZ,20220301.0,7.09,7.88,7.07,7.88,7.16,0.72,10.0559,96821.0,74537.271,,,,,,,,,,,,,,,,,,,,,,,,
19,1336.0,1336.0,002885.SZ,20220301.0,19.6,21.58,19.55,21.58,19.62,1.96,9.9898,79083.75,165186.108,,,,,,,,,,,,,,,,,,,,,,,,
20,1381.0,1381.0,002935.SZ,20220301.0,36.17,39.92,36.1,39.92,36.29,3.63,10.0028,111885.05,439828.384,,,,,,,,,,,,,,,,,,,,,,,,
21,1939.0,1939.0,300468.SZ,20220301.0,24.67,28.55,24.67,26.55,24.16,2.39,9.8924,836840.26,2199933.194,,,,,,,,,,,,,,,,,,,,,,,,
22,2583.0,2583.0,301201.SZ,20220301.0,102.07,121.87,102.06,116.12,105.54,10.58,10.0246,133444.35,1483158.141,,,,,,,,,,,,,,,,,,,,,,,,
23,2655.0,2655.0,600077.SH,20220301.0,2.69,2.97,2.67,2.97,2.7,0.27,10.0,471343.06,135225.258,,,,,,,,,,,,,,,,,,,,,,,,
24,2752.0,2752.0,600190.SH,20220301.0,3.83,3.83,3.83,3.83,3.48,0.35,10.0575,570328.97,218435.996,,,,,,,,,,,,,,,,,,,,,,,,
