,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,14.0,14.0,000019.SZ,20220407.0,8.21,9.08,8.15,9.08,8.25,0.83,10.0606,887116.02,782277.54,,,,,,,,,,,,,,,,,,,,,,,,
1,86.0,86.0,000421.SZ,20220407.0,5.26,5.71,5.17,5.71,5.19,0.52,10.0193,257280.85,142687.229,,,,,,,,,,,,,,,,,,,,,,,,
2,159.0,159.0,000582.SZ,20220407.0,7.74,8.59,7.62,8.59,7.81,0.78,9.9872,128180.87,102042.026,,,,,,,,,,,,,,,,,,,,,,,,
3,168.0,168.0,000595.SZ,20220407.0,3.27,3.6,3.24,3.6,3.27,0.33,10.0917,196260.5,69425.296,,,,,,,,,,,,,,,,,,,,,,,,
6,440.0,440.0,000995.SZ,20220407.0,13.2,14.53,13.18,14.53,13.21,1.32,9.9924,99550.95,142438.549,,,,,,,,,,,,,,,,,,,,,,,,
8,556.0,556.0,002082.SZ,20220407.0,11.43,11.98,11.32,11.98,10.89,1.09,10.0092,122630.22,145391.347,,,,,,,,,,,,,,,,,,,,,,,,
10,735.0,735.0,002265.SZ,20220407.0,15.94,17.04,15.91,17.04,15.49,1.55,10.0065,398814.11,674926.577,,,,,,,,,,,,,,,,,,,,,,,,
13,1010.0,1010.0,002545.SZ,20220407.0,11.2,12.51,11.15,12.51,11.37,1.14,10.0264,415919.62,500404.852,,,,,,,,,,,,,,,,,,,,,,,,
16,1381.0,1381.0,002941.SZ,20220407.0,15.02,16.6,14.85,16.6,15.09,1.51,10.0066,661301.16,1070140.575,,,,,,,,,,,,,,,,,,,,,,,,
18,1469.0,1469.0,003037.SZ,20220407.0,10.64,11.73,10.55,11.73,10.66,1.07,10.0375,98830.99,113404.864,,,,,,,,,,,,,,,,,,,,,,,,
19,2562.0,2562.0,301167.SZ,20220407.0,35.13,42.14,35.13,38.6,35.12,3.48,9.9089,105332.78,416575.08,,,,,,,,,,,,,,,,,,,,,,,,
20,2923.0,2923.0,600381.SH,20220407.0,16.05,17.79,16.05,17.79,16.17,1.62,10.0186,420866.65,726903.357,,,,,,,,,,,,,,,,,,,,,,,,
21,2977.0,2977.0,600466.SH,20220407.0,2.23,2.55,2.21,2.55,2.32,0.23,9.9138,3671849.16,898604.248,,,,,,,,,,,,,,,,,,,,,,,,
23,3194.0,3194.0,600724.SH,20220407.0,4.78,5.25,4.71,5.25,4.77,0.48,10.0629,209948.18,108572.448,,,,,,,,,,,,,,,,,,,,,,,,
24,3337.0,3337.0,600883.SH,20220407.0,8.85,9.72,8.57,9.72,8.84,0.88,9.9548,131025.11,123684.347,,,,,,,,,,,,,,,,,,,,,,,,
25,3342.0,3342.0,600888.SH,20220407.0,7.34,7.94,7.3,7.94,7.22,0.72,9.9723,809121.93,634527.06,,,,,,,,,,,,,,,,,,,,,,,,
26,3406.0,3406.0,600996.SH,20220407.0,8.16,9.04,8.07,9.04,8.22,0.82,9.9757,780789.34,691914.978,,,,,,,,,,,,,,,,,,,,,,,,
28,3741.0,3741.0,603176.SH,20220407.0,11.03,12.03,10.6,12.03,10.94,1.09,9.9634,421194.57,481780.731,,,,,,,,,,,,,,,,,,,,,,,,
