,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,18.0,18.0,000025.SZ,20220525.0,12.1,13.46,12.1,13.46,12.24,1.22,9.9673,66426.47,87804.715,,,,,,,,,,,,,,,,,,,,,,,,
2,74.0,74.0,000404.SZ,20220525.0,4.38,4.83,4.36,4.83,4.39,0.44,10.0228,262572.9,123385.673,,,,,,,,,,,,,,,,,,,,,,,,
3,155.0,155.0,000582.SZ,20220525.0,7.75,8.38,7.71,8.38,7.62,0.76,9.9738,991656.43,816152.218,,,,,,,,,,,,,,,,,,,,,,,,
4,221.0,221.0,000681.SZ,20220525.0,11.82,13.04,11.77,13.04,11.85,1.19,10.0422,285066.07,356660.726,,,,,,,,,,,,,,,,,,,,,,,,
5,238.0,238.0,000707.SZ,20220525.0,13.04,14.18,12.88,14.18,12.89,1.29,10.0078,362680.48,496695.607,,,,,,,,,,,,,,,,,,,,,,,,
6,273.0,273.0,000757.SZ,20220525.0,4.32,4.73,4.32,4.73,4.3,0.43,10.0,150600.84,69679.933,,,,,,,,,,,,,,,,,,,,,,,,
7,292.0,292.0,000791.SZ,20220525.0,5.35,5.87,5.31,5.87,5.34,0.53,9.9251,394755.13,224404.312,,,,,,,,,,,,,,,,,,,,,,,,
9,312.0,312.0,000816.SZ,20220525.0,3.76,4.18,3.73,4.18,3.8,0.38,10.0,1754494.32,704342.843,,,,,,,,,,,,,,,,,,,,,,,,
10,339.0,339.0,000862.SZ,20220525.0,6.5,7.17,6.49,7.17,6.52,0.65,9.9693,670258.3,468565.944,,,,,,,,,,,,,,,,,,,,,,,,
11,370.0,370.0,000909.SZ,20220525.0,11.9,11.97,11.86,11.97,10.88,1.09,10.0184,529442.77,633525.744,,,,,,,,,,,,,,,,,,,,,,,,
12,372.0,372.0,000911.SZ,20220525.0,10.8,10.88,10.8,10.88,9.89,0.99,10.0101,94768.73,103053.219,,,,,,,,,,,,,,,,,,,,,,,,
13,389.0,389.0,000931.SZ,20220525.0,6.25,6.51,6.13,6.51,5.92,0.59,9.9662,293235.16,190213.512,,,,,,,,,,,,,,,,,,,,,,,,
15,441.0,441.0,001205.SZ,20220525.0,18.5,20.38,18.31,20.38,18.53,1.85,9.9838,59458.52,118698.359,,,,,,,,,,,,,,,,,,,,,,,,
16,448.0,448.0,001212.SZ,20220525.0,37.5,37.5,37.5,37.5,34.09,3.41,10.0029,28920.52,108451.95,,,,,,,,,,,,,,,,,,,,,,,,
18,525.0,525.0,002053.SZ,20220525.0,12.73,13.94,12.51,13.94,12.67,1.27,10.0237,487980.99,644718.631,,,,,,,,,,,,,,,,,,,,,,,,
19,586.0,586.0,002116.SZ,20220525.0,10.13,11.48,9.91,11.48,10.44,1.04,9.9617,444958.58,498061.455,,,,,,,,,,,,,,,,,,,,,,,,
22,693.0,693.0,002227.SZ,20220525.0,12.33,13.54,12.25,13.54,12.31,1.23,9.9919,48093.1,62109.817,,,,,,,,,,,,,,,,,,,,,,,,
23,726.0,726.0,002261.SZ,20220525.0,5.67,6.24,5.67,6.24,5.67,0.57,10.0529,185801.84,114636.098,,,,,,,,,,,,,,,,,,,,,,,,
25,799.0,799.0,002334.SZ,20220525.0,5.2,5.68,5.2,5.68,5.16,0.52,10.0775,418810.29,233963.599,,,,,,,,,,,,,,,,,,,,,,,,
28,882.0,882.0,002420.SZ,20220525.0,5.8,6.44,5.8,6.44,5.85,0.59,10.0855,84061.01,51804.423,,,,,,,,,,,,,,,,,,,,,,,,
29,895.0,895.0,002434.SZ,20220525.0,7.11,7.84,7.0,7.84,7.13,0.71,9.9579,469156.25,346990.353,,,,,,,,,,,,,,,,,,,,,,,,
32,1043.0,1043.0,002589.SZ,20220525.0,3.82,4.21,3.79,4.21,3.83,0.38,9.9217,714757.92,288526.765,,,,,,,,,,,,,,,,,,,,,,,,
33,1058.0,1058.0,002605.SZ,20220525.0,14.45,15.93,14.4,15.93,14.48,1.45,10.0138,98298.41,152622.262,,,,,,,,,,,,,,,,,,,,,,,,
34,1059.0,1059.0,002606.SZ,20220525.0,7.75,8.54,7.72,8.54,7.76,0.78,10.0515,199968.44,163030.32,,,,,,,,,,,,,,,,,,,,,,,,
35,1081.0,1081.0,002630.SZ,20220525.0,2.21,2.21,2.21,2.21,2.01,0.2,9.9502,212194.8,46895.051,,,,,,,,,,,,,,,,,,,,,,,,
36,1111.0,1111.0,002660.SZ,20220525.0,6.71,7.41,6.71,7.41,6.74,0.67,9.9407,120315.0,87138.16,,,,,,,,,,,,,,,,,,,,,,,,
37,1222.0,1222.0,002782.SZ,20220525.0,11.79,13.11,11.79,13.11,11.92,1.19,9.9832,158981.66,199133.143,,,,,,,,,,,,,,,,,,,,,,,,
38,1229.0,1229.0,002790.SZ,20220525.0,6.34,6.97,6.34,6.97,6.34,0.63,9.9369,55782.76,38598.275,,,,,,,,,,,,,,,,,,,,,,,,
39,1258.0,1258.0,002822.SZ,20220525.0,5.17,5.68,5.14,5.68,5.16,0.52,10.0775,266514.44,148615.716,,,,,,,,,,,,,,,,,,,,,,,,
40,1261.0,1261.0,002825.SZ,20220525.0,14.02,15.2,13.85,15.2,13.82,1.38,9.9855,46242.57,67145.309,,,,,,,,,,,,,,,,,,,,,,,,
41,1272.0,1272.0,002837.SZ,20220525.0,25.6,27.89,25.57,27.89,25.35,2.54,10.0197,179984.28,491102.622,,,,,,,,,,,,,,,,,,,,,,,,
43,1310.0,1310.0,002878.SZ,20220525.0,16.98,18.87,16.9,18.87,17.15,1.72,10.0292,88306.18,160035.216,,,,,,,,,,,,,,,,,,,,,,,,
44,1317.0,1317.0,002885.SZ,20220525.0,20.45,22.46,20.0,22.46,20.42,2.04,9.9902,261444.55,569318.608,,,,,,,,,,,,,,,,,,,,,,,,
45,1335.0,1335.0,002905.SZ,20220525.0,6.6,7.13,6.47,7.13,6.48,0.65,10.0309,62769.2,43503.034,,,,,,,,,,,,,,,,,,,,,,,,
46,1361.0,1361.0,002933.SZ,20220525.0,23.02,25.5,23.0,25.5,23.18,2.32,10.0086,17283.75,42196.163,,,,,,,,,,,,,,,,,,,,,,,,
48,1410.0,1410.0,002987.SZ,20220525.0,18.7,20.67,18.51,20.67,18.79,1.88,10.0053,159048.52,320402.703,,,,,,,,,,,,,,,,,,,,,,,,
49,1417.0,1417.0,002995.SZ,20220525.0,18.3,20.13,18.29,20.13,18.3,1.83,10.0,39457.68,76717.52,,,,,,,,,,,,,,,,,,,,,,,,
50,1423.0,1423.0,003001.SZ,20220525.0,19.52,21.42,19.5,21.42,19.47,1.95,10.0154,98695.59,209298.546,,,,,,,,,,,,,,,,,,,,,,,,
51,2414.0,2414.0,300996.SZ,20220525.0,22.21,25.38,22.15,24.4,22.21,2.19,9.8604,67724.41,164230.971,,,,,,,,,,,,,,,,,,,,,,,,
52,2614.0,2614.0,600017.SH,20220525.0,2.84,3.11,2.83,3.11,2.83,0.28,9.894,1189445.21,364560.383,,,,,,,,,,,,,,,,,,,,,,,,
53,2659.0,2659.0,600077.SH,20220525.0,4.45,4.88,4.45,4.88,4.44,0.44,9.9099,862454.97,409182.629,,,,,,,,,,,,,,,,,,,,,,,,
54,2663.0,2663.0,600081.SH,20220525.0,10.75,11.78,10.7,11.78,10.71,1.07,9.9907,76007.67,87286.874,,,,,,,,,,,,,,,,,,,,,,,,
56,2678.0,2678.0,600101.SH,20220525.0,8.54,9.52,8.46,9.52,8.65,0.87,10.0578,584730.39,538410.602,,,,,,,,,,,,,,,,,,,,,,,,
57,2753.0,2753.0,600190.SH,20220525.0,3.2,3.53,3.2,3.53,3.21,0.32,9.9688,279773.22,96267.591,,,,,,,,,,,,,,,,,,,,,,,,
58,2825.0,2825.0,600277.SH,20220525.0,4.78,5.27,4.75,5.27,4.79,0.48,10.0209,1754830.88,889148.282,,,,,,,,,,,,,,,,,,,,,,,,
60,2840.0,2840.0,600293.SH,20220525.0,3.24,3.54,3.21,3.54,3.22,0.32,9.9379,539623.41,187603.105,,,,,,,,,,,,,,,,,,,,,,,,
61,2842.0,2842.0,600297.SH,20220525.0,2.86,2.86,2.86,2.86,2.6,0.26,10.0,698929.72,199893.9,,,,,,,,,,,,,,,,,,,,,,,,
62,2907.0,2907.0,600375.SH,20220525.0,7.44,7.98,7.24,7.98,7.25,0.73,10.069,151268.07,115033.286,,,,,,,,,,,,,,,,,,,,,,,,
63,2911.0,2911.0,600379.SH,20220525.0,9.53,10.47,9.37,10.47,9.52,0.95,9.979,109401.14,109408.656,,,,,,,,,,,,,,,,,,,,,,,,
64,2937.0,2937.0,600416.SH,20220525.0,15.53,17.04,15.41,17.04,15.49,1.55,10.0065,444630.71,726319.085,,,,,,,,,,,,,,,,,,,,,,,,
65,2994.0,2994.0,600502.SH,20220525.0,6.67,7.37,6.67,7.37,6.7,0.67,10.0,3140365.9,2258049.868,,,,,,,,,,,,,,,,,,,,,,,,
66,3029.0,3029.0,600545.SH,20220525.0,3.38,3.74,3.38,3.74,3.4,0.34,10.0,187880.7,68944.568,,,,,,,,,,,,,,,,,,,,,,,,
67,3105.0,3105.0,600633.SH,20220525.0,6.4,7.21,6.31,7.2,6.55,0.65,9.9237,815697.82,560004.21,,,,,,,,,,,,,,,,,,,,,,,,
