,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
1,180.0,180.0,000612.SZ,20220520.0,5.6,6.0,5.58,6.0,5.45,0.55,10.0917,267676.42,154362.625,,,,,,,,,,,,,,,,,,,,,,,,
2,307.0,307.0,000807.SZ,20220520.0,10.66,11.35,10.62,11.35,10.32,1.03,9.9806,1519635.6,1659473.056,,,,,,,,,,,,,,,,,,,,,,,,
3,314.0,314.0,000816.SZ,20220520.0,3.32,3.66,3.31,3.66,3.33,0.33,9.9099,644364.39,227764.848,,,,,,,,,,,,,,,,,,,,,,,,
4,340.0,340.0,000860.SZ,20220520.0,20.19,22.14,20.13,22.14,20.13,2.01,9.9851,310760.52,670801.631,,,,,,,,,,,,,,,,,,,,,,,,
5,344.0,344.0,000868.SZ,20220520.0,4.1,4.55,4.0,4.55,4.14,0.41,9.9034,540770.73,230855.057,,,,,,,,,,,,,,,,,,,,,,,,
7,383.0,383.0,000921.SZ,20220520.0,11.59,12.73,11.54,12.73,11.57,1.16,10.0259,205076.88,250530.921,,,,,,,,,,,,,,,,,,,,,,,,
8,394.0,394.0,000933.SZ,20220520.0,12.43,13.5,12.4,13.5,12.27,1.23,10.0244,1451035.27,1896803.766,,,,,,,,,,,,,,,,,,,,,,,,
10,451.0,451.0,001212.SZ,20220520.0,26.2,29.88,25.82,29.88,27.16,2.72,10.0147,65419.84,182912.28,,,,,,,,,,,,,,,,,,,,,,,,
11,453.0,453.0,001215.SZ,20220520.0,45.1,49.28,45.1,49.28,44.8,4.48,10.0,26670.35,129819.894,,,,,,,,,,,,,,,,,,,,,,,,
13,487.0,487.0,002011.SZ,20220520.0,7.9,8.6,7.9,8.6,7.82,0.78,9.9744,219401.68,183090.586,,,,,,,,,,,,,,,,,,,,,,,,
17,609.0,609.0,002139.SZ,20220520.0,9.78,10.46,9.71,10.46,9.51,0.95,9.9895,553308.27,561005.547,,,,,,,,,,,,,,,,,,,,,,,,
18,688.0,688.0,002221.SZ,20220520.0,7.78,8.49,7.73,8.49,7.72,0.77,9.9741,375447.59,309684.459,,,,,,,,,,,,,,,,,,,,,,,,
19,758.0,758.0,002292.SZ,20220520.0,5.38,5.59,5.13,5.59,5.08,0.51,10.0394,1888415.06,1032168.336,,,,,,,,,,,,,,,,,,,,,,,,
21,790.0,790.0,002324.SZ,20220520.0,10.71,11.67,10.71,11.67,10.61,1.06,9.9906,256976.54,293018.169,,,,,,,,,,,,,,,,,,,,,,,,
23,807.0,807.0,002341.SZ,20220520.0,3.34,3.66,3.34,3.66,3.33,0.33,9.9099,151084.32,54363.445,,,,,,,,,,,,,,,,,,,,,,,,
24,821.0,821.0,002355.SZ,20220520.0,4.14,4.55,4.13,4.55,4.14,0.41,9.9034,69324.4,30575.511,,,,,,,,,,,,,,,,,,,,,,,,
25,911.0,911.0,002449.SZ,20220520.0,7.7,7.7,7.7,7.7,7.0,0.7,10.0,21439.13,16508.13,,,,,,,,,,,,,,,,,,,,,,,,
26,944.0,944.0,002486.SZ,20220520.0,2.9,3.22,2.87,3.22,2.93,0.29,9.8976,838688.52,258285.619,,,,,,,,,,,,,,,,,,,,,,,,
28,988.0,988.0,002532.SZ,20220520.0,6.9,7.36,6.81,7.36,6.69,0.67,10.0149,867469.07,613597.769,,,,,,,,,,,,,,,,,,,,,,,,
29,1034.0,1034.0,002578.SZ,20220520.0,4.1,4.48,4.1,4.48,4.07,0.41,10.0737,192938.0,84178.05,,,,,,,,,,,,,,,,,,,,,,,,
30,1065.0,1065.0,002610.SZ,20220520.0,3.42,3.76,3.37,3.76,3.42,0.34,9.9415,2745293.46,975778.963,,,,,,,,,,,,,,,,,,,,,,,,
31,1108.0,1108.0,002655.SZ,20220520.0,11.68,12.43,11.68,12.43,11.3,1.13,10.0,294452.92,358350.056,,,,,,,,,,,,,,,,,,,,,,,,
32,1172.0,1172.0,002725.SZ,20220520.0,10.81,12.08,10.65,12.08,10.98,1.1,10.0182,578514.05,659338.581,,,,,,,,,,,,,,,,,,,,,,,,
34,1240.0,1240.0,002800.SZ,20220520.0,15.68,17.24,15.6,17.24,15.67,1.57,10.0191,102157.45,169794.375,,,,,,,,,,,,,,,,,,,,,,,,
36,1262.0,1262.0,002824.SZ,20220520.0,34.49,37.57,34.36,37.57,34.15,3.42,10.0146,65085.07,235283.056,,,,,,,,,,,,,,,,,,,,,,,,
37,1317.0,1317.0,002883.SZ,20220520.0,17.17,18.89,16.3,18.89,17.17,1.72,10.0175,440346.03,778770.402,,,,,,,,,,,,,,,,,,,,,,,,
39,1354.0,1354.0,002923.SZ,20220520.0,18.97,20.79,18.97,20.79,18.9,1.89,10.0,30837.9,62076.877,,,,,,,,,,,,,,,,,,,,,,,,
40,1391.0,1391.0,002965.SZ,20220520.0,21.61,24.01,21.61,24.01,21.83,2.18,9.9863,52469.87,124726.491,,,,,,,,,,,,,,,,,,,,,,,,
41,1425.0,1425.0,003001.SZ,20220520.0,18.16,19.8,17.99,19.8,18.0,1.8,10.0,23292.0,45050.744,,,,,,,,,,,,,,,,,,,,,,,,
42,1460.0,1460.0,003039.SZ,20220520.0,18.22,19.92,18.22,19.92,18.11,1.81,9.9945,76934.54,149787.219,,,,,,,,,,,,,,,,,,,,,,,,
43,2646.0,2646.0,600059.SH,20220520.0,9.61,10.53,9.61,10.53,9.57,0.96,10.0313,184575.81,190175.622,,,,,,,,,,,,,,,,,,,,,,,,
44,2816.0,2816.0,600267.SH,20220520.0,15.55,15.55,15.55,15.55,14.14,1.41,9.9717,66748.23,103793.498,,,,,,,,,,,,,,,,,,,,,,,,
45,2855.0,2855.0,600313.SH,20220520.0,11.0,12.44,10.82,12.44,11.31,1.13,9.9912,3073226.44,3625264.644,,,,,,,,,,,,,,,,,,,,,,,,
46,2928.0,2928.0,600403.SH,20220520.0,4.7,5.1,4.65,5.1,4.64,0.46,9.9138,337307.0,165696.59,,,,,,,,,,,,,,,,,,,,,,,,
