,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
0,8.0,8.0,000010.SZ,20220516.0,3.52,3.83,3.35,3.83,3.48,0.35,10.0575,655203.96,236917.441,,,,,,,,,,,,,,,,,,,,,,,,
1,14.0,14.0,000019.SZ,20220516.0,7.97,8.45,7.88,8.45,7.68,0.77,10.026,168689.49,139091.857,,,,,,,,,,,,,,,,,,,,,,,,
3,99.0,99.0,000507.SZ,20220516.0,5.49,6.08,5.49,6.08,5.53,0.55,9.9458,603008.41,361638.433,,,,,,,,,,,,,,,,,,,,,,,,
5,115.0,115.0,000529.SZ,20220516.0,6.0,6.57,5.94,6.57,5.97,0.6,10.0503,125069.62,78705.185,,,,,,,,,,,,,,,,,,,,,,,,
6,118.0,118.0,000532.SZ,20220516.0,10.4,11.44,10.39,11.44,10.4,1.04,10.0,174610.21,195249.473,,,,,,,,,,,,,,,,,,,,,,,,
8,136.0,136.0,000553.SZ,20220516.0,10.8,11.75,10.7,11.75,10.68,1.07,10.0187,212391.74,241204.787,,,,,,,,,,,,,,,,,,,,,,,,
9,181.0,181.0,000615.SZ,20220516.0,7.71,8.4,7.66,8.4,7.64,0.76,9.9476,619063.47,501050.544,,,,,,,,,,,,,,,,,,,,,,,,
11,211.0,211.0,000665.SZ,20220516.0,8.39,9.17,8.33,9.17,8.34,0.83,9.952,2408953.73,2146365.327,,,,,,,,,,,,,,,,,,,,,,,,
12,240.0,240.0,000707.SZ,20220516.0,12.03,12.86,12.03,12.86,11.69,1.17,10.0086,160622.9,203896.314,,,,,,,,,,,,,,,,,,,,,,,,
13,246.0,246.0,000713.SZ,20220516.0,9.25,9.74,9.06,9.74,8.85,0.89,10.0565,550502.87,520570.779,,,,,,,,,,,,,,,,,,,,,,,,
14,250.0,250.0,000718.SZ,20220516.0,3.6,3.87,3.54,3.87,3.52,0.35,9.9432,535568.1,198116.714,,,,,,,,,,,,,,,,,,,,,,,,
15,254.0,254.0,000722.SZ,20220516.0,23.54,25.54,23.41,25.54,23.22,2.32,9.9914,996452.96,2507747.394,,,,,,,,,,,,,,,,,,,,,,,,
16,272.0,272.0,000753.SZ,20220516.0,3.55,3.85,3.49,3.85,3.5,0.35,10.0,295542.82,109593.567,,,,,,,,,,,,,,,,,,,,,,,,
17,293.0,293.0,000790.SZ,20220516.0,4.7,5.08,4.69,5.08,4.62,0.46,9.9567,537055.8,267382.349,,,,,,,,,,,,,,,,,,,,,,,,
21,435.0,435.0,000993.SZ,20220516.0,13.53,14.72,13.3,14.72,13.38,1.34,10.0149,534945.55,741285.615,,,,,,,,,,,,,,,,,,,,,,,,
22,467.0,467.0,001313.SZ,20220516.0,12.49,13.61,12.41,13.61,12.37,1.24,10.0243,165087.03,219452.498,,,,,,,,,,,,,,,,,,,,,,,,
25,514.0,514.0,002041.SZ,20220516.0,22.4,23.62,22.18,23.62,21.47,2.15,10.014,462621.18,1075480.608,,,,,,,,,,,,,,,,,,,,,,,,
27,631.0,631.0,002163.SZ,20220516.0,12.74,13.73,12.35,13.73,12.48,1.25,10.016,590870.68,777825.928,,,,,,,,,,,,,,,,,,,,,,,,
29,758.0,758.0,002292.SZ,20220516.0,4.49,4.55,4.03,4.55,4.14,0.41,9.9034,1049244.61,458059.746,,,,,,,,,,,,,,,,,,,,,,,,
30,812.0,812.0,002346.SZ,20220516.0,12.07,13.33,12.07,13.33,12.12,1.21,9.9835,99750.36,128253.47,,,,,,,,,,,,,,,,,,,,,,,,
31,842.0,842.0,002377.SZ,20220516.0,3.34,3.34,3.18,3.34,3.04,0.3,9.8684,1040367.01,345334.619,,,,,,,,,,,,,,,,,,,,,,,,
32,884.0,884.0,002420.SZ,20220516.0,5.35,5.76,5.32,5.76,5.24,0.52,9.9237,47363.0,26554.831,,,,,,,,,,,,,,,,,,,,,,,,
33,950.0,950.0,002492.SZ,20220516.0,5.46,5.95,5.46,5.95,5.41,0.54,9.9815,474922.07,275852.582,,,,,,,,,,,,,,,,,,,,,,,,
35,1016.0,1016.0,002560.SZ,20220516.0,5.55,5.56,5.55,5.56,5.05,0.51,10.099,118352.18,65785.644,,,,,,,,,,,,,,,,,,,,,,,,
36,1017.0,1017.0,002561.SZ,20220516.0,13.29,15.44,12.93,15.44,14.04,1.4,9.9715,1071453.16,1517660.231,,,,,,,,,,,,,,,,,,,,,,,,
37,1067.0,1067.0,002612.SZ,20220516.0,24.55,26.73,24.55,26.73,24.3,2.43,10.0,268820.47,695763.066,,,,,,,,,,,,,,,,,,,,,,,,
