,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
1,178.0,178.0,000605.SZ,20220310.0,6.26,6.81,6.12,6.81,6.19,0.62,10.0162,219655.96,144868.049,,,,,,,,,,,,,,,,,,,,,,,,
2,187.0,187.0,000615.SZ,20220310.0,7.15,7.76,7.09,7.76,7.05,0.71,10.0709,335363.1,250813.414,,,,,,,,,,,,,,,,,,,,,,,,
3,215.0,215.0,000661.SZ,20220310.0,164.94,176.39,163.6,176.39,160.35,16.04,10.0031,128046.08,2180901.506,,,,,,,,,,,,,,,,,,,,,,,,
4,276.0,276.0,000739.SZ,20220310.0,31.0,32.15,30.32,32.15,29.23,2.92,9.9897,350421.83,1104601.238,,,,,,,,,,,,,,,,,,,,,,,,
5,293.0,293.0,000778.SZ,20220310.0,4.79,5.15,4.76,5.14,4.68,0.46,9.8291,2760877.66,1398352.855,,,,,,,,,,,,,,,,,,,,,,,,
7,412.0,412.0,000953.SZ,20220310.0,10.24,10.52,9.66,10.52,9.56,0.96,10.0418,925607.63,950933.723,,,,,,,,,,,,,,,,,,,,,,,,
8,501.0,501.0,002022.SZ,20220310.0,12.77,13.77,12.73,13.77,12.52,1.25,9.984,237805.6,315864.529,,,,,,,,,,,,,,,,,,,,,,,,
10,602.0,602.0,002126.SZ,20220310.0,9.5,10.02,9.49,10.02,9.11,0.91,9.989,104627.82,103324.679,,,,,,,,,,,,,,,,,,,,,,,,
11,681.0,681.0,002206.SZ,20220310.0,6.5,6.82,6.45,6.82,6.2,0.62,10.0,224234.0,149072.645,,,,,,,,,,,,,,,,,,,,,,,,
13,878.0,878.0,002407.SZ,20220310.0,39.17,40.02,38.38,40.02,36.38,3.64,10.0055,437740.35,1725157.154,,,,,,,,,,,,,,,,,,,,,,,,
14,882.0,882.0,002412.SZ,20220310.0,6.06,6.52,6.06,6.52,5.93,0.59,9.9494,131474.98,83577.017,,,,,,,,,,,,,,,,,,,,,,,,
16,931.0,931.0,002462.SZ,20220310.0,13.94,14.98,13.84,14.98,13.62,1.36,9.9853,116786.04,170791.42,,,,,,,,,,,,,,,,,,,,,,,,
17,941.0,941.0,002472.SZ,20220310.0,21.56,23.01,21.56,23.01,20.92,2.09,9.9904,231509.77,523470.484,,,,,,,,,,,,,,,,,,,,,,,,
18,961.0,961.0,002493.SZ,20220310.0,14.3,14.84,14.3,14.84,13.49,1.35,10.0074,1048721.34,1546837.056,,,,,,,,,,,,,,,,,,,,,,,,
19,1003.0,1003.0,002537.SZ,20220310.0,9.15,9.68,8.99,9.68,8.8,0.88,10.0,1109125.58,1039924.35,,,,,,,,,,,,,,,,,,,,,,,,
20,1050.0,1050.0,002584.SZ,20220310.0,9.6,10.3,9.37,10.3,9.36,0.94,10.0427,757332.3,749987.631,,,,,,,,,,,,,,,,,,,,,,,,
22,1146.0,1146.0,002682.SZ,20220310.0,4.5,4.91,4.47,4.91,4.46,0.45,10.0897,340288.15,161154.097,,,,,,,,,,,,,,,,,,,,,,,,
23,1172.0,1172.0,002709.SZ,20220310.0,95.48,96.31,92.81,96.31,87.55,8.76,10.0057,138620.0,1319342.486,,,,,,,,,,,,,,,,,,,,,,,,
24,1244.0,1244.0,002788.SZ,20220310.0,7.98,8.43,7.85,8.43,7.66,0.77,10.0522,92318.91,76478.655,,,,,,,,,,,,,,,,,,,,,,,,
25,1299.0,1299.0,002848.SZ,20220310.0,9.33,10.18,9.28,10.18,9.25,0.93,10.0541,77903.0,78221.759,,,,,,,,,,,,,,,,,,,,,,,,
26,1314.0,1314.0,002864.SZ,20220310.0,26.2,28.33,26.2,28.33,25.75,2.58,10.0194,34159.0,94579.944,,,,,,,,,,,,,,,,,,,,,,,,
27,1315.0,1315.0,002865.SZ,20220310.0,82.1,87.98,82.1,87.98,79.98,8.0,10.0025,45331.79,387972.034,,,,,,,,,,,,,,,,,,,,,,,,
29,1354.0,1354.0,002907.SZ,20220310.0,12.66,13.74,12.62,13.74,12.49,1.25,10.008,48946.0,65058.714,,,,,,,,,,,,,,,,,,,,,,,,
30,1377.0,1377.0,002932.SZ,20220310.0,79.51,86.57,79.51,86.57,78.7,7.87,10.0,50775.84,423308.932,,,,,,,,,,,,,,,,,,,,,,,,
32,1474.0,1474.0,003038.SZ,20220310.0,66.27,71.27,65.62,71.27,64.79,6.48,10.0015,16717.0,115578.533,,,,,,,,,,,,,,,,,,,,,,,,
33,1835.0,1835.0,300364.SZ,20220310.0,9.66,11.33,9.58,10.39,9.46,0.93,9.8309,900921.03,933674.438,,,,,,,,,,,,,,,,,,,,,,,,
34,1970.0,1970.0,300501.SZ,20220310.0,19.69,21.51,19.18,21.02,19.12,1.9,9.9372,95726.46,195988.458,,,,,,,,,,,,,,,,,,,,,,,,
