,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
2,258.0,258.0,000718.SZ,20220317.0,3.95,3.95,3.95,3.95,3.59,0.36,10.0279,187163.53,73929.594,,,,,,,,,,,,,,,,,,,,,,,,
3,281.0,281.0,000755.SZ,20220317.0,4.02,4.38,3.99,4.38,3.98,0.4,10.0503,184233.0,77553.864,,,,,,,,,,,,,,,,,,,,,,,,
4,288.0,288.0,000766.SZ,20220317.0,4.79,5.25,4.72,5.25,4.77,0.48,10.0629,379130.01,196210.833,,,,,,,,,,,,,,,,,,,,,,,,
5,339.0,339.0,000838.SZ,20220317.0,9.27,9.96,9.2,9.96,9.05,0.91,10.0552,408624.51,392544.022,,,,,,,,,,,,,,,,,,,,,,,,
6,388.0,388.0,000918.SZ,20220317.0,2.41,2.52,2.41,2.52,2.29,0.23,10.0437,300721.38,75570.615,,,,,,,,,,,,,,,,,,,,,,,,
7,478.0,478.0,001914.SZ,20220317.0,14.3,15.06,14.28,15.06,13.69,1.37,10.0073,118473.98,174713.098,,,,,,,,,,,,,,,,,,,,,,,,
8,495.0,495.0,002015.SZ,20220317.0,14.45,15.57,14.44,15.57,14.15,1.42,10.0353,220646.36,340456.897,,,,,,,,,,,,,,,,,,,,,,,,
9,496.0,496.0,002016.SZ,20220317.0,5.42,5.72,5.33,5.72,5.2,0.52,10.0,102404.0,57639.15,,,,,,,,,,,,,,,,,,,,,,,,
10,580.0,580.0,002104.SZ,20220317.0,11.68,13.22,11.51,13.22,12.02,1.2,9.9834,2498208.96,3123094.362,,,,,,,,,,,,,,,,,,,,,,,,
11,609.0,609.0,002133.SZ,20220317.0,3.67,3.86,3.67,3.86,3.51,0.35,9.9715,786581.23,300006.108,,,,,,,,,,,,,,,,,,,,,,,,
12,652.0,652.0,002177.SZ,20220317.0,5.12,5.63,5.11,5.63,5.12,0.51,9.9609,1149050.35,634695.23,,,,,,,,,,,,,,,,,,,,,,,,
14,833.0,833.0,002362.SZ,20220317.0,14.67,16.01,14.67,16.01,14.55,1.46,10.0344,59715.01,92607.156,,,,,,,,,,,,,,,,,,,,,,,,
15,855.0,855.0,002384.SZ,20220317.0,18.61,20.21,18.56,20.21,18.37,1.84,10.0163,468604.45,916797.958,,,,,,,,,,,,,,,,,,,,,,,,
16,893.0,893.0,002422.SZ,20220317.0,16.51,17.62,16.4,17.61,16.02,1.59,9.9251,493159.26,854369.543,,,,,,,,,,,,,,,,,,,,,,,,
17,908.0,908.0,002437.SZ,20220317.0,2.88,3.17,2.84,3.17,2.88,0.29,10.0694,1716963.58,536136.846,,,,,,,,,,,,,,,,,,,,,,,,
18,977.0,977.0,002508.SZ,20220317.0,26.89,28.9,26.68,28.9,26.27,2.63,10.0114,124906.31,349706.265,,,,,,,,,,,,,,,,,,,,,,,,
20,1008.0,1008.0,002541.SZ,20220317.0,39.4,42.63,39.22,42.63,38.75,3.88,10.0129,76784.78,317246.281,,,,,,,,,,,,,,,,,,,,,,,,
21,1022.0,1022.0,002555.SZ,20220317.0,20.7,21.48,20.7,21.48,19.53,1.95,9.9846,346145.81,741614.144,,,,,,,,,,,,,,,,,,,,,,,,
22,1066.0,1066.0,002599.SZ,20220317.0,5.21,5.69,5.19,5.69,5.17,0.52,10.058,200179.66,111651.191,,,,,,,,,,,,,,,,,,,,,,,,
23,1071.0,1071.0,002605.SZ,20220317.0,18.35,19.59,18.11,19.59,17.81,1.78,9.9944,63418.27,121971.197,,,,,,,,,,,,,,,,,,,,,,,,
24,1078.0,1078.0,002612.SZ,20220317.0,22.77,24.67,22.77,24.67,22.43,2.24,9.9866,245003.02,594122.571,,,,,,,,,,,,,,,,,,,,,,,,
26,1090.0,1090.0,002624.SZ,20220317.0,12.02,12.9,12.0,12.9,11.73,1.17,9.9744,403125.8,512108.288,,,,,,,,,,,,,,,,,,,,,,,,
27,1105.0,1105.0,002639.SZ,20220317.0,10.06,10.98,10.0,10.98,9.98,1.0,10.02,1201959.06,1276439.61,,,,,,,,,,,,,,,,,,,,,,,,
28,1133.0,1133.0,002667.SZ,20220317.0,19.45,20.89,19.06,20.89,18.99,1.9,10.0053,149851.2,307238.948,,,,,,,,,,,,,,,,,,,,,,,,
31,1210.0,1210.0,002750.SZ,20220317.0,12.71,13.98,12.42,13.98,12.71,1.27,9.9921,540147.6,736011.691,,,,,,,,,,,,,,,,,,,,,,,,
33,1243.0,1243.0,002786.SZ,20220317.0,6.19,6.74,6.15,6.74,6.13,0.61,9.9511,97912.0,64296.911,,,,,,,,,,,,,,,,,,,,,,,,
34,1248.0,1248.0,002791.SZ,20220317.0,89.1,95.71,89.1,95.71,87.01,8.7,9.9989,38678.64,361201.841,,,,,,,,,,,,,,,,,,,,,,,,
35,1264.0,1264.0,002809.SZ,20220317.0,10.13,11.07,10.13,11.07,10.06,1.01,10.0398,35988.76,38832.846,,,,,,,,,,,,,,,,,,,,,,,,
39,1362.0,1362.0,002915.SZ,20220317.0,20.46,22.23,20.45,22.23,20.21,2.02,9.9951,26803.16,58692.776,,,,,,,,,,,,,,,,,,,,,,,,
40,1388.0,1388.0,002943.SZ,20220317.0,28.41,31.25,28.41,31.25,28.41,2.84,9.9965,49836.0,151621.154,,,,,,,,,,,,,,,,,,,,,,,,
41,1407.0,1407.0,002965.SZ,20220317.0,25.37,25.37,25.37,25.37,23.06,2.31,10.0173,3480.0,8828.76,,,,,,,,,,,,,,,,,,,,,,,,
42,1480.0,1480.0,003043.SZ,20220317.0,58.0,61.6,58.0,61.6,56.0,5.6,10.0,12587.53,76218.44,,,,,,,,,,,,,,,,,,,,,,,,
43,2034.0,2034.0,300566.SZ,20220317.0,20.8,22.48,20.6,22.3,20.28,2.02,9.9606,34194.3,73326.262,,,,,,,,,,,,,,,,,,,,,,,,
45,2654.0,2654.0,600067.SH,20220317.0,3.11,3.34,3.11,3.34,3.04,0.3,9.8684,126284.2,41219.27,,,,,,,,,,,,,,,,,,,,,,,,
47,2734.0,2734.0,600162.SH,20220317.0,2.03,2.19,2.03,2.19,1.99,0.2,10.0503,671173.29,144446.305,,,,,,,,,,,,,,,,,,,,,,,,
