,Unnamed: 0,Unnamed: 0.1,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Unnamed: 0_x,Unnamed: 0.1_x,trade_date_x,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,Unnamed: 0_y,Unnamed: 0.1_y,trade_date_y,open_y,high_y,low_y,close_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y
68,2829.0,2829.0,600277.SH,20220316.0,6.62,7.05,6.19,7.05,6.41,0.64,9.9844,3682829.86,2452877.065,,,,,,,,,,,,,,,,,,,,,,,,
69,2864.0,2864.0,600318.SH,20220316.0,11.03,11.88,10.88,11.88,10.8,1.08,10.0,337483.71,388058.961,,,,,,,,,,,,,,,,,,,,,,,,
70,2892.0,2892.0,600353.SH,20220316.0,6.54,7.1,6.54,7.1,6.45,0.65,10.0775,180556.0,124010.577,,,,,,,,,,,,,,,,,,,,,,,,
72,2896.0,2896.0,600358.SH,20220316.0,7.71,8.03,7.58,8.03,7.3,0.73,10.0,845000.92,670338.68,,,,,,,,,,,,,,,,,,,,,,,,
73,2917.0,2917.0,600381.SH,20220316.0,12.18,13.09,11.66,13.09,11.9,1.19,10.0,643971.75,802406.382,,,,,,,,,,,,,,,,,,,,,,,,
74,3017.0,3017.0,600522.SH,20220316.0,17.69,19.03,17.4,19.03,17.3,1.73,10.0,1397624.51,2558712.672,,,,,,,,,,,,,,,,,,,,,,,,
75,3035.0,3035.0,600545.SH,20220316.0,3.03,3.33,3.03,3.33,3.03,0.3,9.901,511469.69,164019.153,,,,,,,,,,,,,,,,,,,,,,,,
76,3042.0,3042.0,600552.SH,20220316.0,9.71,10.4,9.17,10.4,9.45,0.95,10.0529,301279.93,296928.211,,,,,,,,,,,,,,,,,,,,,,,,
77,3087.0,3087.0,600602.SH,20220316.0,7.85,8.43,7.5,8.43,7.66,0.77,10.0522,1027457.93,841119.676,,,,,,,,,,,,,,,,,,,,,,,,
78,3104.0,3104.0,600621.SH,20220316.0,12.12,13.05,11.87,13.05,11.86,1.19,10.0337,425237.37,536566.212,,,,,,,,,,,,,,,,,,,,,,,,
79,3154.0,3154.0,600684.SH,20220316.0,3.6,3.88,3.59,3.88,3.53,0.35,9.915,380341.4,142484.51,,,,,,,,,,,,,,,,,,,,,,,,
80,3173.0,3173.0,600706.SH,20220316.0,11.5,11.87,11.36,11.87,10.79,1.08,10.0093,278440.93,326801.086,,,,,,,,,,,,,,,,,,,,,,,,
81,3201.0,3201.0,600736.SH,20220316.0,4.95,5.42,4.91,5.42,4.93,0.49,9.9391,933652.54,485745.011,,,,,,,,,,,,,,,,,,,,,,,,
82,3213.0,3213.0,600749.SH,20220316.0,12.3,13.07,12.3,13.07,11.88,1.19,10.0168,237444.29,302255.309,,,,,,,,,,,,,,,,,,,,,,,,
83,3262.0,3262.0,600804.SH,20220316.0,7.01,7.54,6.74,7.54,6.85,0.69,10.073,2003345.81,1444147.701,,,,,,,,,,,,,,,,,,,,,,,,
84,3275.0,3275.0,600819.SH,20220316.0,4.87,5.26,4.83,5.26,4.78,0.48,10.0418,158559.0,82113.532,,,,,,,,,,,,,,,,,,,,,,,,
85,3286.0,3286.0,600830.SH,20220316.0,5.74,6.22,5.74,6.22,5.65,0.57,10.0885,426122.27,259735.426,,,,,,,,,,,,,,,,,,,,,,,,
86,3411.0,3411.0,601007.SH,20220316.0,6.22,6.59,6.18,6.59,5.99,0.6,10.0167,185658.73,118959.235,,,,,,,,,,,,,,,,,,,,,,,,
87,3439.0,3439.0,601111.SH,20220316.0,8.79,9.26,8.79,9.26,8.42,0.84,9.9762,675176.43,621982.051,,,,,,,,,,,,,,,,,,,,,,,,
88,3445.0,3445.0,601127.SH,20220316.0,40.0,43.41,39.6,43.41,39.46,3.95,10.0101,287954.77,1194331.527,,,,,,,,,,,,,,,,,,,,,,,,
89,3519.0,3519.0,601599.SH,20220316.0,3.09,3.34,3.07,3.34,3.04,0.3,9.8684,240562.0,77439.485,,,,,,,,,,,,,,,,,,,,,,,,
90,3543.0,3543.0,601689.SH,20220316.0,56.05,59.47,54.8,59.47,54.06,5.41,10.0074,209398.02,1196332.832,,,,,,,,,,,,,,,,,,,,,,,,
91,3544.0,3544.0,601696.SH,20220316.0,12.35,14.08,11.9,14.08,12.8,1.28,10.0,1918089.72,2518744.95,,,,,,,,,,,,,,,,,,,,,,,,
92,3559.0,3559.0,601799.SH,20220316.0,141.62,151.25,139.5,151.25,137.5,13.75,10.0,30314.48,445143.681,,,,,,,,,,,,,,,,,,,,,,,,
96,3693.0,3693.0,603099.SH,20220316.0,8.44,9.1,8.41,9.1,8.27,0.83,10.0363,94178.0,83160.935,,,,,,,,,,,,,,,,,,,,,,,,
97,3720.0,3720.0,603136.SH,20220316.0,18.5,19.25,18.14,19.25,17.5,1.75,10.0,52944.66,99336.237,,,,,,,,,,,,,,,,,,,,,,,,
98,3754.0,3754.0,603199.SH,20220316.0,21.5,23.3,21.5,23.3,21.18,2.12,10.0094,47482.98,107117.688,,,,,,,,,,,,,,,,,,,,,,,,
99,3785.0,3785.0,603261.SH,20220316.0,31.21,31.21,31.21,31.21,28.37,2.84,10.0106,876.53,2735.65,,,,,,,,,,,,,,,,,,,,,,,,
100,3786.0,3786.0,603266.SH,20220316.0,11.79,12.83,11.76,12.83,11.66,1.17,10.0343,72016.8,88455.662,,,,,,,,,,,,,,,,,,,,,,,,
101,3791.0,3791.0,603278.SH,20220316.0,8.35,9.09,8.24,9.09,8.26,0.83,10.0484,52295.03,45240.161,,,,,,,,,,,,,,,,,,,,,,,,
102,3797.0,3797.0,603290.SH,20220316.0,375.5,405.31,370.88,405.31,368.46,36.85,10.0011,27884.01,1068361.553,,,,,,,,,,,,,,,,,,,,,,,,
103,3798.0,3798.0,603297.SH,20220316.0,113.0,121.17,110.17,121.17,110.15,11.02,10.0045,18901.65,219304.294,,,,,,,,,,,,,,,,,,,,,,,,
104,3815.0,3815.0,603320.SH,20220316.0,15.45,16.53,15.1,16.53,15.03,1.5,9.98,180422.29,284987.816,,,,,,,,,,,,,,,,,,,,,,,,
105,3816.0,3816.0,603321.SH,20220316.0,7.31,8.07,7.31,8.07,7.34,0.73,9.9455,255750.91,203670.782,,,,,,,,,,,,,,,,,,,,,,,,
106,3820.0,3820.0,603326.SH,20220316.0,10.54,11.04,10.07,11.04,10.04,1.0,9.9602,139331.22,150725.867,,,,,,,,,,,,,,,,,,,,,,,,
107,3881.0,3881.0,603501.SH,20220316.0,198.89,214.5,196.35,214.5,195.0,19.5,10.0,126305.75,2579536.561,,,,,,,,,,,,,,,,,,,,,,,,
109,3924.0,3924.0,603596.SH,20220316.0,72.32,78.35,72.28,78.35,71.23,7.12,9.9958,62862.55,476254.861,,,,,,,,,,,,,,,,,,,,,,,,
110,3932.0,3932.0,603606.SH,20220316.0,52.99,57.05,52.21,57.05,51.86,5.19,10.0077,204139.8,1119114.662,,,,,,,,,,,,,,,,,,,,,,,,
111,3946.0,3946.0,603628.SH,20220316.0,13.22,14.27,13.22,14.27,12.97,1.3,10.0231,125617.0,176173.549,,,,,,,,,,,,,,,,,,,,,,,,
113,3993.0,3993.0,603707.SH,20220316.0,30.29,32.87,29.32,32.87,29.88,2.99,10.0067,58778.08,181782.398,,,,,,,,,,,,,,,,,,,,,,,,
114,4038.0,4038.0,603806.SH,20220316.0,121.0,129.67,116.6,129.67,117.88,11.79,10.0017,63015.56,768040.625,,,,,,,,,,,,,,,,,,,,,,,,
116,4073.0,4073.0,603876.SH,20220316.0,33.98,36.65,32.9,36.65,33.32,3.33,9.994,99429.51,347940.808,,,,,,,,,,,,,,,,,,,,,,,,
117,4083.0,4083.0,603887.SH,20220316.0,9.98,10.79,9.55,10.79,9.81,0.98,9.9898,465807.76,486303.796,,,,,,,,,,,,,,,,,,,,,,,,
118,4093.0,4093.0,603900.SH,20220316.0,8.46,9.17,8.41,9.17,8.34,0.83,9.952,130032.77,117633.23,,,,,,,,,,,,,,,,,,,,,,,,
119,4151.0,4151.0,603999.SH,20220316.0,5.65,6.14,5.62,6.14,5.58,0.56,10.0358,350153.52,211994.741,,,,,,,,,,,,,,,,,,,,,,,,
120,4164.0,4164.0,605033.SH,20220316.0,18.65,20.21,18.41,20.21,18.37,1.84,10.0163,98628.44,191120.871,,,,,,,,,,,,,,,,,,,,,,,,
121,4189.0,4189.0,605123.SH,20220316.0,127.83,139.71,126.22,139.71,127.01,12.7,9.9992,21452.97,285616.707,,,,,,,,,,,,,,,,,,,,,,,,
122,4553.0,4553.0,688556.SH,20220316.0,70.84,77.46,69.4,75.92,69.1,6.82,9.8698,49646.13,364152.808,,,,,,,,,,,,,,,,,,,,,,,,
