trade_date,ts_code,open,close,high,low,volume,money,MA5,MA10,MA20,MA30
2022-05-27,603068.XSHG,30.2,29.64,30.46,29.38,1650292.0,49334992.0,30.18,30.15,29.68,30.31
2022-05-26,603068.XSHG,29.79,30.05,30.2,29.06,1532528.0,45488762.0,30.44,30.17,29.55,30.42
2022-05-25,603068.XSHG,29.79,29.8,30.33,29.5,1816121.0,54143487.0,30.54,30.18,29.48,30.46
2022-05-24,603068.XSHG,31.65,29.85,32.05,29.8,2296400.0,71138201.0,30.59,30.18,29.57,30.59
2022-05-23,603068.XSHG,30.99,31.55,31.56,30.9,1754109.0,54840074.0,30.56,30.11,29.7,30.73
2022-05-20,603068.XSHG,30.44,30.95,31.05,30.44,1771417.0,54486760.0,30.12,29.78,29.79,30.87
2022-05-19,603068.XSHG,29.56,30.54,30.55,29.56,2014322.0,60843888.0,29.91,29.52,29.91,31.03
2022-05-18,603068.XSHG,29.72,30.07,30.65,29.58,1590936.0,47965824.0,29.83,29.43,30.07,31.21
2022-05-17,603068.XSHG,29.13,29.68,29.87,29.06,1434464.0,42293297.0,29.77,29.44,30.19,31.43
2022-05-16,603068.XSHG,30.18,29.36,30.65,29.18,1572710.0,46770523.0,29.66,29.29,30.29,31.65
2022-05-13,603068.XSHG,30.3,29.88,30.43,29.55,1592622.0,47704465.0,29.44,29.21,30.4,31.92
2022-05-12,603068.XSHG,29.5,30.14,30.36,29.5,1567433.0,47019526.0,29.14,28.92,30.54,32.2
2022-05-11,603068.XSHG,29.43,29.81,31.15,29.05,2747695.0,83410444.0,29.04,28.78,30.61,32.48
2022-05-10,603068.XSHG,28.0,29.09,29.42,27.72,1941944.0,56092761.0,29.1,28.96,30.79,32.8
2022-05-09,603068.XSHG,28.45,28.29,29.11,27.96,1753100.0,50018345.0,28.93,29.3,31.04,33.14
2022-05-06,603068.XSHG,28.74,28.35,29.18,28.33,1477300.0,42326659.0,28.98,29.79,31.41,33.52
2022-05-05,603068.XSHG,29.84,29.65,30.26,29.48,1905347.0,56846605.0,28.71,30.3,31.78,33.89
2022-04-29,603068.XSHG,28.74,30.13,30.54,28.38,2146167.0,63502394.0,28.53,30.71,32.09,34.21
2022-04-28,603068.XSHG,28.24,28.22,28.75,27.7,1705158.0,48057263.0,28.83,30.94,32.43,34.5
2022-04-27,603068.XSHG,26.38,28.53,28.67,26.38,2209113.0,60795371.0,29.67,31.29,32.83,34.81
2022-04-26,603068.XSHG,28.5,27.0,28.98,26.92,2219270.0,62266523.0,30.61,31.58,33.28,35.21
2022-04-25,603068.XSHG,30.45,28.78,31.0,28.64,2615244.0,77575388.0,31.89,32.16,33.83,35.69
2022-04-22,603068.XSHG,32.78,31.6,32.88,31.33,1433334.0,45672434.0,32.89,32.43,34.32,36.11
2022-04-21,603068.XSHG,32.99,32.43,34.09,32.28,2070208.0,68844089.0,33.05,32.62,34.71,36.42
2022-04-20,603068.XSHG,33.2,33.24,34.0,33.1,1731226.0,58088155.0,32.92,32.78,35.06,36.72
2022-04-19,603068.XSHG,33.41,33.38,33.82,33.1,1982265.0,66159503.0,32.56,33.02,35.38,37.02
2022-04-18,603068.XSHG,32.3,33.8,33.88,31.7,2890453.0,96157148.0,32.43,33.26,35.69,37.39
2022-04-15,603068.XSHG,31.54,32.42,32.77,30.96,2801312.0,89753692.0,31.97,33.48,35.96,37.78
2022-04-14,603068.XSHG,31.7,31.75,32.12,31.43,2222628.0,70689766.0,32.19,33.91,36.28,38.25
2022-04-13,603068.XSHG,32.47,31.44,32.51,31.28,2992633.0,95272008.0,32.65,34.36,36.57,38.75
2022-04-12,603068.XSHG,31.25,32.74,32.83,31.2,3633804.0,116447050.0,33.49,34.97,37.02,39.26
2022-04-11,603068.XSHG,33.54,31.48,33.66,31.26,2902979.0,93140201.0,34.1,35.51,37.46,39.76
2022-04-08,603068.XSHG,34.13,33.54,34.4,33.3,2156818.0,72702572.0,34.99,36.22,37.95,40.27
2022-04-07,603068.XSHG,35.53,34.05,35.68,33.92,2393611.0,82711669.0,35.64,36.81,38.31,40.75
2022-04-06,603068.XSHG,35.78,35.65,35.98,35.2,1370626.0,48753391.0,36.06,37.34,38.69,41.17
2022-04-01,603068.XSHG,36.0,35.78,36.21,35.12,1642000.0,58512776.0,36.45,37.73,39.01,41.57
2022-03-31,603068.XSHG,36.84,35.91,36.85,35.78,1845246.0,66807868.0,36.92,38.11,39.45,41.93
2022-03-30,603068.XSHG,36.2,36.8,36.86,36.16,1859756.0,68097101.0,37.45,38.44,39.92,42.29
2022-03-29,603068.XSHG,37.65,36.18,37.79,36.01,1605600.0,58896861.0,37.97,38.64,40.42,42.62
2022-03-28,603068.XSHG,37.68,37.59,38.19,36.71,1258400.0,47218004.0,38.62,38.79,40.94,42.96
2022-03-25,603068.XSHG,38.96,38.1,39.28,38.03,916100.0,35393859.0,39.01,39.07,41.41,43.25
2022-03-24,603068.XSHG,39.37,38.57,39.37,38.42,1002400.0,38753079.0,39.3,39.41,41.88,43.53
2022-03-23,603068.XSHG,39.5,39.43,39.79,39.1,692956.0,27316943.0,39.44,39.69,42.3,43.83
2022-03-22,603068.XSHG,39.43,39.42,39.86,38.92,967900.0,38127395.0,39.31,39.82,42.73,44.12
2022-03-21,603068.XSHG,39.6,39.52,39.98,38.91,1191802.0,47000662.0,38.96,40.03,43.09,44.36
2022-03-18,603068.XSHG,39.0,39.54,40.0,38.5,1277051.0,50471790.0,39.12,40.29,43.48,44.61
2022-03-17,603068.XSHG,38.8,39.28,39.75,38.79,1779602.0,70199319.0,39.52,40.8,43.84,44.81
2022-03-16,603068.XSHG,38.26,38.77,38.83,35.5,2294247.0,86795329.0,39.94,41.41,44.21,45.05
2022-03-15,603068.XSHG,40.2,37.7,40.2,37.69,1879846.0,73360286.0,40.33,42.19,44.61,45.33
2022-03-14,603068.XSHG,41.25,40.32,41.25,40.28,980700.0,39989787.0,41.1,43.09,45.05,45.61
2022-03-11,603068.XSHG,40.8,41.54,41.55,40.01,1204500.0,49100676.0,41.46,43.75,45.34,45.89
2022-03-10,603068.XSHG,41.0,41.35,42.19,41.0,1692547.0,70408648.0,42.08,44.35,45.59,46.15
2022-03-09,603068.XSHG,41.58,40.73,41.9,39.0,1901381.0,77404059.0,42.88,44.91,45.9,46.48
2022-03-08,603068.XSHG,42.09,41.58,42.25,41.0,1333376.0,55702362.0,44.06,45.64,46.26,46.86
2022-03-07,603068.XSHG,44.51,42.1,44.65,41.8,2252956.0,96250827.0,45.07,46.15,46.52,47.23
2022-03-04,603068.XSHG,45.0,44.64,45.9,44.5,1398338.0,63080209.0,46.04,46.68,46.77,47.56
2022-03-03,603068.XSHG,46.62,45.33,47.17,45.28,1751990.0,80495190.0,46.62,46.88,46.81,47.77
2022-03-02,603068.XSHG,46.55,46.63,46.75,46.0,1050899.0,48870795.0,46.94,47.02,46.86,47.99
2022-03-01,603068.XSHG,46.97,46.66,47.28,46.33,1190929.0,55573550.0,47.23,47.03,46.9,48.19
2022-02-28,603068.XSHG,47.54,46.96,47.86,46.75,1017188.0,47871057.0,47.22,47.01,46.88,48.37
2022-02-25,603068.XSHG,47.3,47.54,48.22,47.3,1116981.0,53355523.0,47.31,46.93,46.96,48.57
2022-02-24,603068.XSHG,47.8,46.91,48.34,46.3,1818400.0,86088546.0,47.14,46.83,47.05,48.74
2022-02-23,603068.XSHG,46.97,48.07,48.55,46.82,2071326.0,99244481.0,47.09,46.9,47.26,48.95
2022-02-22,603068.XSHG,47.5,46.63,47.5,46.0,1157915.0,53872309.0,46.83,46.89,47.47,49.11
2022-02-21,603068.XSHG,46.8,47.38,47.69,46.73,1077378.0,51004324.0,46.79,46.9,47.77,49.34
2022-02-18,603068.XSHG,46.52,46.69,46.79,46.1,647900.0,30072656.0,46.55,46.86,48.01,49.54
2022-02-17,603068.XSHG,47.03,46.69,47.5,46.27,1191208.0,55807384.0,46.53,46.74,48.21,49.77
