trade_date,ts_code,open,close,high,low,volume,money,MA5,MA10,MA20,MA30
2022-05-27,001210.XSHE,25.76,25.86,26.1,25.6,397100.0,10277924.0,26.02,26.1,25.12,25.07
2022-05-26,001210.XSHE,25.95,25.9,26.29,25.42,471336.0,12151399.0,26.15,26.14,24.87,25.07
2022-05-25,001210.XSHE,25.75,25.89,25.98,25.4,538292.0,13840654.0,26.22,26.11,24.73,25.04
2022-05-24,001210.XSHE,26.97,25.6,26.99,25.6,785903.0,20633632.0,26.32,26.07,24.72,25.04
2022-05-23,001210.XSHE,26.34,26.84,26.97,26.34,626800.0,16801590.0,26.36,26.07,24.81,25.06
2022-05-20,001210.XSHE,26.14,26.53,26.78,26.14,610868.0,16193557.0,26.19,25.9,24.79,25.08
2022-05-19,001210.XSHE,26.12,26.23,26.45,26.08,609700.0,15977707.0,26.13,25.82,24.73,25.09
2022-05-18,001210.XSHE,25.79,26.38,26.95,25.66,1230500.0,32558094.0,26.0,25.53,24.67,25.13
2022-05-17,001210.XSHE,25.81,25.8,26.08,25.5,648200.0,16661381.0,25.82,25.14,24.61,25.15
2022-05-16,001210.XSHE,26.2,25.99,26.56,25.7,749711.0,19467918.0,25.78,24.61,24.58,25.17
2022-05-13,001210.XSHE,26.03,26.24,26.62,25.68,1533217.0,40132609.0,25.62,24.15,24.56,25.19
2022-05-12,001210.XSHE,25.41,25.59,26.53,25.35,1153700.0,29858434.0,25.5,23.6,24.53,25.23
2022-05-11,001210.XSHE,25.67,25.46,25.95,25.28,1660145.0,42412878.0,25.05,23.35,24.51,25.31
2022-05-10,001210.XSHE,24.88,25.62,26.38,24.87,2405320.0,61261004.0,24.47,23.37,24.53,25.41
2022-05-09,001210.XSHE,26.0,25.17,27.35,25.16,2660098.0,69330906.0,23.44,23.54,24.56,25.51
2022-05-06,001210.XSHE,22.75,25.67,25.67,22.61,1630768.0,39948717.0,22.67,23.69,24.66,25.67
2022-05-05,001210.XSHE,23.0,23.34,23.92,22.53,1504424.0,34982994.0,21.7,23.64,24.73,25.76
2022-04-29,001210.XSHE,21.6,22.53,22.53,20.88,831300.0,18239560.0,21.65,23.82,24.93,25.84
2022-04-28,001210.XSHE,21.01,20.48,21.59,20.3,595300.0,12393875.0,22.27,24.07,25.15,25.93
2022-04-27,001210.XSHE,19.8,21.35,21.49,19.8,741929.0,15293350.0,23.65,24.56,25.45,26.07
2022-04-26,001210.XSHE,22.81,20.82,22.81,20.75,1215533.0,26298842.0,24.7,24.98,25.71,26.24
2022-04-25,001210.XSHE,25.08,23.06,25.1,23.06,1481580.0,35408217.0,25.57,25.46,26.04,26.46
2022-04-22,001210.XSHE,26.99,25.62,28.2,25.58,1645922.0,43351322.0,25.99,25.67,26.28,26.6
2022-04-21,001210.XSHE,26.39,27.4,27.65,26.09,1962414.0,52715192.0,25.88,25.69,26.43,26.63
2022-04-20,001210.XSHE,25.36,26.6,27.5,25.07,1258664.0,32909767.0,25.47,25.58,26.5,26.63
2022-04-19,001210.XSHE,25.08,25.18,25.44,24.91,242411.0,6094393.0,25.25,25.64,26.66,26.72
