,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
96,96,000498.SZ,20220426,8.47,9.43,8.43,9.43,8.57,0.86,10.035,587894.73,542811.836
142,142,000555.SZ,20220426,9.69,10.44,9.64,10.44,9.49,0.95,10.0105,185174.38,188608.91
186,186,000615.SZ,20220426,8.81,9.61,8.48,9.61,8.74,0.87,9.9542,929000.77,868672.987
254,254,000715.SZ,20220426,9.24,9.24,9.01,9.24,8.4,0.84,10.0,460070.48,424991.468
261,261,000722.SZ,20220426,11.35,11.35,10.98,11.35,10.32,1.03,9.9806,483326.05,547469.36
281,281,000756.SZ,20220426,9.44,10.32,9.22,10.32,9.38,0.94,10.0213,481838.59,478973.405
284,284,000759.SZ,20220426,4.79,4.99,4.69,4.99,4.54,0.45,9.9119,79925.0,39760.871
337,337,000839.SZ,20220426,2.32,2.73,2.32,2.73,2.48,0.25,10.0806,2921776.05,774268.394
457,457,001215.SZ,20220426,40.29,45.32,40.21,45.32,41.2,4.12,10.0,18540.24,80996.85
526,526,002050.SZ,20220426,13.79,14.66,13.73,14.65,13.33,1.32,9.9025,488857.1,701638.946
660,660,002187.SZ,20220426,10.8,11.17,10.54,11.17,10.15,1.02,10.0493,261914.94,290916.805
678,678,002205.SZ,20220426,11.13,12.18,11.0,12.18,11.07,1.11,10.0271,613196.35,727836.94
699,699,002227.SZ,20220426,10.05,11.06,9.86,11.06,10.05,1.01,10.0498,29820.01,31601.994
798,798,002328.SZ,20220426,4.8,5.19,4.75,5.19,4.72,0.47,9.9576,699311.3,358771.479
834,834,002365.SZ,20220426,10.18,11.18,9.98,11.18,10.16,1.02,10.0394,216014.03,236945.558
872,872,002403.SZ,20220426,6.94,7.63,6.78,7.63,6.94,0.69,9.9424,186858.74,140986.99
1015,1015,002550.SZ,20220426,5.58,5.96,5.44,5.96,5.42,0.54,9.9631,1409961.15,806175.945
1026,1026,002561.SZ,20220426,8.0,8.53,8.0,8.53,7.75,0.78,10.0645,72065.72,61001.787
1087,1087,002624.SZ,20220426,12.4,13.15,12.26,13.15,11.95,1.2,10.0418,939098.67,1217279.14
1109,1109,002646.SZ,20220426,16.15,16.15,16.15,16.15,14.68,1.47,10.0136,38832.76,62714.907
1155,1155,002693.SZ,20220426,3.97,4.7,3.91,4.7,4.27,0.43,10.0703,209582.74,89487.246
1217,1217,002761.SZ,20220426,21.7,23.1,21.51,23.1,21.0,2.1,10.0,419580.78,952262.783
1471,1471,003037.SZ,20220426,10.38,11.31,10.25,11.31,10.28,1.03,10.0195,105772.34,115858.106
2782,2782,600196.SH,20220426,40.86,44.94,39.5,44.94,40.85,4.09,10.0122,910527.87,3877933.997
3025,3025,600511.SH,20220426,25.11,27.57,24.55,27.57,25.06,2.51,10.016,152180.0,397232.133
3180,3180,600693.SH,20220426,4.05,4.33,4.05,4.33,3.94,0.39,9.8985,749558.57,320343.217
3195,3195,600712.SH,20220426,3.99,4.28,3.94,4.28,3.89,0.39,10.0257,220435.46,92487.401
3259,3259,600785.SH,20220426,15.82,15.82,15.82,15.82,14.38,1.44,10.0139,18016.24,28501.692
3507,3507,601368.SH,20220426,5.26,5.67,5.22,5.67,5.15,0.52,10.0971,205783.78,113949.82
3683,3683,603066.SH,20220426,8.94,9.81,8.93,9.81,8.92,0.89,9.9776,143530.35,138241.953
3826,3826,603317.SH,20220426,17.54,18.12,17.35,18.12,16.47,1.65,10.0182,33733.81,60666.309
3847,3847,603345.SH,20220426,115.3,123.74,115.3,123.74,112.49,11.25,10.0009,71046.78,874739.408
3849,3849,603351.SH,20220426,18.37,20.33,18.37,20.33,18.48,1.85,10.0108,26247.15,51245.11
3881,3881,603421.SH,20220426,5.99,6.39,5.99,6.39,5.81,0.58,9.9828,39835.22,25288.278
3906,3906,603520.SH,20220426,39.05,41.7,38.3,41.7,37.91,3.79,9.9974,28428.54,115004.947
3937,3937,603595.SH,20220426,26.51,28.28,26.06,28.28,25.71,2.57,9.9961,52252.33,144181.607
4118,4118,603919.SH,20220426,26.0,27.53,25.52,27.53,25.03,2.5,9.988,71330.25,193111.244
4147,4147,603978.SH,20220426,16.9,17.82,16.5,17.82,16.2,1.62,10.0,36471.93,63958.088
4277,4277,605598.SH,20220426,17.59,18.98,15.61,18.98,17.25,1.73,10.029,282884.13,503829.173
