,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
107,107,000514.SZ,20220414,6.1,6.8,6.1,6.8,6.18,0.62,10.0324,1039346.77,686797.18
184,184,000615.SZ,20220414,7.6,8.33,7.58,8.33,7.57,0.76,10.0396,284970.35,230001.269
209,209,000656.SZ,20220414,4.58,4.94,4.51,4.94,4.49,0.45,10.0223,1976286.2,932586.444
225,225,000679.SZ,20220414,5.63,6.02,5.43,6.02,5.47,0.55,10.0548,475157.71,274960.683
229,229,000683.SZ,20220414,9.47,10.3,9.21,10.3,9.36,0.94,10.0427,1386780.09,1370464.948
248,248,000710.SZ,20220414,17.3,18.61,16.98,18.61,16.92,1.69,9.9882,414125.38,752825.943
258,258,000721.SZ,20220414,5.0,5.41,4.93,5.41,4.92,0.49,9.9593,1058973.67,560744.793
270,270,000736.SZ,20220414,21.54,22.2,20.6,22.2,20.18,2.02,10.0099,775191.71,1699764.548
271,271,000737.SZ,20220414,6.35,7.01,6.25,7.01,6.37,0.64,10.0471,213271.5,144242.364
324,324,000822.SZ,20220414,7.75,8.47,7.61,8.47,7.7,0.77,10.0,932520.18,748630.171
398,398,000933.SZ,20220414,14.11,15.38,13.85,15.38,13.98,1.4,10.0143,1126187.27,1646621.207
420,420,000968.SZ,20220414,8.41,8.5,8.41,8.5,7.73,0.77,9.9612,137786.21,117003.82
440,440,000995.SZ,20220414,17.55,19.31,17.5,19.31,17.55,1.76,10.0285,371667.66,698354.188
602,602,002128.SZ,20220414,17.25,18.82,16.81,18.82,17.11,1.71,9.9942,498918.61,903012.506
657,657,002184.SZ,20220414,11.03,11.07,11.03,11.07,10.06,1.01,10.0398,80535.12,89132.193
710,710,002238.SZ,20220414,5.58,6.07,5.52,6.07,5.52,0.55,9.9638,133428.49,79812.188
723,723,002251.SZ,20220414,9.0,9.23,8.5,9.23,8.39,0.84,10.0119,1476077.82,1337766.9
819,819,002349.SZ,20220414,16.2,17.51,15.92,17.51,15.92,1.59,9.9874,1165100.43,1962162.664
834,834,002365.SZ,20220414,10.56,10.56,10.56,10.56,9.6,0.96,10.0,46117.01,48699.562
901,901,002432.SZ,20220414,90.0,90.11,86.2,90.11,81.92,8.19,9.9976,366868.11,3261109.797
1049,1049,002584.SZ,20220414,8.52,9.25,8.35,9.25,8.41,0.84,9.9881,601638.38,538231.252
1068,1068,002603.SZ,20220414,36.85,39.99,36.4,39.99,36.35,3.64,10.0138,1445546.54,5591306.341
1109,1109,002646.SZ,20220414,15.9,17.64,15.81,17.64,16.04,1.6,9.9751,202936.41,353235.088
1151,1151,002689.SZ,20220414,3.59,3.89,3.56,3.89,3.54,0.35,9.887,264374.9,100758.662
1176,1176,002717.SZ,20220414,3.44,3.78,3.42,3.78,3.44,0.34,9.8837,1966825.66,731401.473
1207,1207,002750.SZ,20220414,13.13,14.34,13.13,14.34,13.04,1.3,9.9693,153477.63,214297.606
1257,1257,002805.SZ,20220414,29.36,30.36,28.65,30.36,27.6,2.76,10.0,54586.95,163519.258
1336,1336,002889.SZ,20220414,28.3,30.13,27.17,30.13,27.39,2.74,10.0037,130934.13,384763.318
1349,1349,002903.SZ,20220414,16.5,17.17,15.59,17.17,15.61,1.56,9.9936,267814.44,450254.271
1375,1375,002932.SZ,20220414,115.01,116.81,112.1,116.81,106.19,10.62,10.0009,50606.54,583267.459
1382,1382,002940.SZ,20220414,36.95,40.65,36.6,40.65,36.95,3.7,10.0135,53852.91,215299.667
1383,1383,002941.SZ,20220414,16.77,18.41,16.77,18.41,16.74,1.67,9.9761,521825.75,931717.626
1444,1444,003007.SZ,20220414,24.99,27.49,24.94,27.49,24.99,2.5,10.004,69780.41,187666.123
1462,1462,003027.SZ,20220414,22.3,22.35,22.3,22.35,20.32,2.03,9.9902,26743.25,59702.871
1471,1471,003037.SZ,20220414,11.11,12.24,10.96,12.24,11.13,1.11,9.973,140923.92,165870.645
1474,1474,003040.SZ,20220414,23.6,26.25,23.18,26.25,23.86,2.39,10.0168,432823.62,1076654.33
2710,2710,600119.SH,20220414,9.0,9.9,8.68,9.9,9.0,0.9,10.0,576299.64,546475.977
2776,2776,600197.SH,20220414,28.31,30.91,28.09,30.91,28.1,2.81,10.0,425926.23,1275061.818
2790,2790,600213.SH,20220414,7.2,7.81,7.1,7.81,7.1,0.71,10.0,86165.67,66568.825
2813,2813,600238.SH,20220414,14.19,15.6,13.84,15.59,14.18,1.41,9.9436,574758.9,861401.608
2877,2877,600318.SH,20220414,7.13,7.68,7.12,7.68,6.98,0.7,10.0287,744628.02,552182.062
2889,2889,600331.SH,20220414,3.62,4.04,3.61,4.04,3.67,0.37,10.0817,2078153.17,801532.332
3101,3101,600603.SH,20220414,6.28,6.28,6.28,6.28,5.71,0.57,9.9825,1137871.68,714583.415
3114,3114,600618.SH,20220414,13.85,14.88,13.65,14.88,13.53,1.35,9.9778,636204.4,914480.755
3146,3146,600657.SH,20220414,6.05,6.68,6.05,6.67,6.07,0.6,9.8847,1765215.31,1127785.471
3160,3160,600675.SH,20220414,3.99,4.4,3.92,4.4,4.0,0.4,10.0,1548599.34,671618.599
3166,3166,600683.SH,20220414,5.38,5.86,5.38,5.86,5.33,0.53,9.9437,156517.59,89726.215
3175,3175,600693.SH,20220414,6.57,6.57,6.41,6.57,5.97,0.6,10.0503,1447342.98,949659.572
3217,3217,600740.SH,20220414,6.86,7.55,6.78,7.55,6.86,0.69,10.0583,1803846.44,1302800.222
3244,3244,600770.SH,20220414,6.61,7.23,6.57,7.23,6.57,0.66,10.0457,243341.58,169360.994
3262,3262,600791.SH,20220414,6.22,6.22,6.22,6.22,5.65,0.57,10.0885,107030.88,66573.207
3337,3337,600874.SH,20220414,7.32,8.05,7.32,8.05,7.32,0.73,9.9727,301630.47,236675.721
3377,3377,600936.SH,20220414,3.53,3.85,3.52,3.85,3.5,0.35,10.0,247314.29,93687.699
3423,3423,601007.SH,20220414,8.05,9.25,8.03,9.25,8.41,0.84,9.9881,424692.39,369625.233
3447,3447,601101.SH,20220414,10.43,11.31,10.18,11.31,10.28,1.03,10.0195,1031847.81,1107784.193
3524,3524,601567.SH,20220414,9.88,10.74,9.88,10.74,9.76,0.98,10.041,148067.18,156532.856
3548,3548,601666.SH,20220414,15.4,17.22,15.35,17.22,15.65,1.57,10.0319,769762.74,1274585.457
3691,3691,603078.SH,20220414,28.28,30.05,28.18,30.05,27.32,2.73,9.9927,144714.31,418499.346
3724,3724,603122.SH,20220414,14.2,15.52,14.12,15.52,14.11,1.41,9.9929,154752.61,229251.391
3798,3798,603261.SH,20220414,45.49,50.31,45.31,50.31,45.74,4.57,9.9913,95206.32,463394.737
3799,3799,603266.SH,20220414,13.29,14.5,13.26,14.5,13.18,1.32,10.0152,92522.78,132124.178
3846,3846,603345.SH,20220414,107.99,118.82,107.99,118.82,108.02,10.8,9.9981,43851.03,507581.049
3888,3888,603486.SH,20220414,98.72,108.59,98.71,108.59,98.72,9.87,9.998,32628.45,340836.955
3924,3924,603569.SH,20220414,11.7,11.83,11.31,11.83,10.75,1.08,10.0465,118091.92,138942.687
3943,3943,603603.SH,20220414,4.41,4.42,4.28,4.42,4.02,0.4,9.9502,86538.0,38226.039
3967,3967,603648.SH,20220414,12.6,13.34,12.05,13.34,12.13,1.21,9.9753,766079.52,994300.73
4012,4012,603716.SH,20220414,12.95,14.25,12.83,14.25,12.95,1.3,10.0386,46401.5,64086.456
4039,4039,603779.SH,20220414,6.22,6.84,6.22,6.84,6.22,0.62,9.9678,44282.25,29624.113
4056,4056,603813.SH,20220414,16.89,18.77,16.1,18.77,17.06,1.71,10.0234,43508.95,76177.607
4075,4075,603856.SH,20220414,14.33,15.57,14.33,15.57,14.15,1.42,10.0353,171330.8,264230.134
4145,4145,603977.SH,20220414,9.01,10.1,9.01,10.1,9.18,0.92,10.0218,202504.8,193000.23
