,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
8,8,000010.SZ,20220509,2.82,3.09,2.81,3.09,2.81,0.28,9.9644,197260.1,59544.033
40,40,000056.SZ,20220509,5.5,5.83,5.47,5.83,5.3,0.53,10.0,689484.8,393605.277
94,94,000488.SZ,20220509,5.21,5.54,5.2,5.54,5.04,0.5,9.9206,536560.39,295746.548
105,105,000514.SZ,20220509,5.23,5.53,5.18,5.53,5.03,0.5,9.9404,482720.74,260072.491
108,108,000518.SZ,20220509,2.92,3.22,2.92,3.22,2.93,0.29,9.8976,226764.2,71038.863
113,113,000524.SZ,20220509,8.3,8.89,8.21,8.89,8.08,0.81,10.0248,172316.12,147254.872
168,168,000595.SZ,20220509,2.97,3.22,2.94,3.22,2.93,0.29,9.8976,127685.0,40051.275
187,187,000620.SZ,20220509,2.71,3.0,2.68,3.0,2.73,0.27,9.8901,766820.55,226080.849
196,196,000631.SZ,20220509,3.26,3.6,3.26,3.6,3.27,0.33,10.0917,190195.38,66836.077
212,212,000663.SZ,20220509,5.61,6.24,5.61,6.24,5.67,0.57,10.0529,32290.73,19643.101
218,218,000671.SZ,20220509,2.31,2.54,2.29,2.54,2.31,0.23,9.9567,1853136.65,457226.834
238,238,000701.SZ,20220509,6.73,7.02,6.69,7.02,6.38,0.64,10.0313,559586.41,384551.717
245,245,000710.SZ,20220509,13.65,15.17,13.58,15.17,13.79,1.38,10.0073,147167.35,211889.34
246,246,000711.SZ,20220509,2.62,2.88,2.61,2.88,2.62,0.26,9.9237,333030.54,93465.624
256,256,000722.SZ,20220509,17.84,19.25,16.71,19.25,17.5,1.75,10.0,984932.01,1768525.364
276,276,000756.SZ,20220509,18.28,18.28,18.28,18.28,16.62,1.66,9.988,11285.31,20629.546
282,282,000766.SZ,20220509,4.35,4.73,4.31,4.73,4.3,0.43,10.0,307685.58,143054.755
301,301,000797.SZ,20220509,3.22,3.55,3.21,3.55,3.23,0.32,9.9071,1229573.92,427521.386
315,315,000815.SZ,20220509,12.05,12.41,11.73,12.41,11.28,1.13,10.0177,713109.91,871308.857
