,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
4,4,000006.SZ,20220513,4.06,4.48,4.04,4.48,4.07,0.41,10.0737,580754.66,249473.528
9,9,000011.SZ,20220513,11.26,12.21,11.0,12.21,11.1,1.11,10.0,252572.46,294635.847
11,11,000014.SZ,20220513,10.55,11.85,10.32,11.85,10.77,1.08,10.0279,371563.76,416242.441
17,17,000023.SZ,20220513,10.58,11.43,10.36,11.43,10.39,1.04,10.0096,46806.02,51495.968
18,18,000025.SZ,20220513,11.73,12.64,11.46,12.64,11.49,1.15,10.0087,87554.34,106666.492
22,22,000029.SZ,20220513,8.98,9.85,8.92,9.85,8.95,0.9,10.0559,333463.47,315354.93
28,28,000036.SZ,20220513,3.95,4.33,3.89,4.33,3.94,0.39,9.8985,594688.83,249517.247
29,29,000037.SZ,20220513,6.06,6.81,5.97,6.81,6.19,0.62,10.0162,197573.35,126441.81
33,33,000042.SZ,20220513,8.8,9.34,8.56,9.34,8.49,0.85,10.0118,119659.22,107536.886
49,49,000068.SZ,20220513,3.1,3.45,3.1,3.45,3.14,0.31,9.8726,803556.31,269566.801
55,55,000090.SZ,20220513,7.1,7.76,7.09,7.76,7.05,0.71,10.0709,1475342.23,1122043.91
104,104,000514.SZ,20220513,5.44,5.97,5.24,5.97,5.43,0.54,9.9448,1367466.9,779324.545
106,106,000517.SZ,20220513,3.35,3.73,3.35,3.73,3.39,0.34,10.0295,1040977.38,375191.956
133,133,000548.SZ,20220513,5.78,5.78,5.78,5.78,5.25,0.53,10.0952,61454.5,35520.701
134,134,000550.SZ,20220513,12.89,14.18,12.72,14.18,12.89,1.29,10.0078,134302.93,186875.594
143,143,000560.SZ,20220513,2.61,2.87,2.6,2.87,2.61,0.26,9.9617,857064.07,238267.676
184,184,000619.SZ,20220513,5.73,6.28,5.66,6.28,5.71,0.57,9.9825,176380.5,106549.845
188,188,000625.SZ,20220513,11.96,13.16,11.84,13.16,11.96,1.2,10.0334,3869386.93,4886107.632
195,195,000632.SZ,20220513,5.18,5.58,4.56,5.58,5.07,0.51,10.0592,1650904.49,847910.502
207,207,000657.SZ,20220513,10.34,11.32,10.25,11.32,10.29,1.03,10.0097,267590.47,291089.069
222,222,000680.SZ,20220513,4.87,5.24,4.8,5.24,4.76,0.48,10.084,1519259.81,767814.078
274,274,000756.SZ,20220513,24.01,26.76,22.88,26.76,24.33,2.43,9.9877,1048978.28,2602019.76
331,331,000838.SZ,20220513,8.02,8.46,7.61,8.46,7.69,0.77,10.013,715312.29,572851.052
384,384,000922.SZ,20220513,7.51,8.28,7.5,8.28,7.53,0.75,9.9602,126785.21,100645.553
387,387,000926.SZ,20220513,6.3,6.5,6.28,6.5,5.91,0.59,9.9831,1139760.24,737776.464
394,394,000933.SZ,20220513,12.65,13.18,11.4,13.18,11.98,1.2,10.0167,2157054.19,2644942.284
404,404,000953.SZ,20220513,6.41,6.97,6.41,6.97,6.34,0.63,9.9369,90838.01,62144.402
406,406,000957.SZ,20220513,4.4,4.77,4.39,4.77,4.34,0.43,9.9078,163101.87,76914.284
434,434,000990.SZ,20220513,12.2,12.44,12.01,12.44,11.31,1.13,9.9912,328926.0,407243.508
444,444,001205.SZ,20220513,17.99,19.95,17.69,19.95,18.14,1.81,9.9779,86495.31,163520.362
469,469,001319.SZ,20220513,23.58,23.58,23.58,23.58,21.44,2.14,9.9813,2313.82,5455.987
473,473,001914.SZ,20220513,16.79,18.36,16.73,18.36,16.69,1.67,10.006,156165.57,276908.828
489,489,002015.SZ,20220513,16.55,17.88,16.14,17.88,16.25,1.63,10.0308,378120.68,653989.218
490,490,002016.SZ,20220513,5.9,6.37,5.75,6.37,5.79,0.58,10.0173,166315.32,102424.798
555,555,002084.SZ,20220513,4.37,4.77,4.37,4.77,4.34,0.43,9.9078,174014.64,81590.568
582,582,002111.SZ,20220513,10.69,10.69,10.69,10.69,9.72,0.97,9.9794,107452.09,114866.284
602,602,002132.SZ,20220513,4.81,5.27,4.81,5.27,4.79,0.48,10.0209,666150.05,341419.283
611,611,002141.SZ,20220513,4.06,4.42,4.05,4.42,4.02,0.4,9.9502,269545.07,115196.957
651,651,002183.SZ,20220513,7.65,7.65,7.44,7.65,6.95,0.7,10.0719,1375772.42,1051374.91
710,710,002243.SZ,20220513,8.1,8.42,8.1,8.42,7.65,0.77,10.0654,32297.0,27053.722
751,751,002285.SZ,20220513,3.08,3.39,3.05,3.39,3.08,0.31,10.0649,1002540.72,327721.57
864,864,002399.SZ,20220513,15.68,16.89,15.56,16.89,15.35,1.54,10.0326,296521.1,482622.92
882,882,002418.SZ,20220513,2.73,2.99,2.72,2.99,2.72,0.27,9.9265,275194.08,80880.243
954,954,002496.SZ,20220513,2.97,3.11,2.93,3.11,2.83,0.28,9.894,460296.82,140988.249
967,967,002510.SZ,20220513,3.41,3.74,3.41,3.74,3.4,0.34,10.0,627222.75,225797.406
1054,1054,002598.SZ,20220513,7.72,8.46,7.72,8.46,7.69,0.77,10.013,88982.6,73727.531
1068,1068,002613.SZ,20220513,6.66,6.99,6.5,6.99,6.35,0.64,10.0787,1816883.0,1238494.504
1136,1136,002686.SZ,20220513,6.81,7.03,5.75,7.03,6.39,0.64,10.0156,920036.74,610841.83
1162,1162,002715.SZ,20220513,13.49,13.5,13.49,13.5,12.27,1.23,10.0244,18770.5,25336.723
1209,1209,002766.SZ,20220513,5.58,5.58,5.58,5.58,5.07,0.51,10.0592,3908.0,2180.664
1213,1213,002771.SZ,20220513,9.41,10.67,9.22,10.67,9.7,0.97,10.0,225158.1,221292.011
1220,1220,002779.SZ,20220513,22.0,24.37,21.98,24.37,22.15,2.22,10.0226,20199.5,47972.192
1249,1249,002811.SZ,20220513,9.14,9.6,9.0,9.6,8.73,0.87,9.9656,42461.5,40257.342
1316,1316,002883.SZ,20220513,14.65,14.78,13.57,14.78,13.44,1.34,9.9702,351535.27,512956.938
2633,2633,600037.SH,20220513,8.9,9.69,8.83,9.69,8.81,0.88,9.9886,705686.13,671347.033
2667,2667,600084.SH,20220513,5.27,5.86,5.25,5.86,5.33,0.53,9.9437,311105.29,178216.478
2717,2717,600149.SH,20220513,4.72,5.19,4.7,5.19,4.72,0.47,9.9576,102074.91,51130.292
2762,2762,600200.SH,20220513,8.59,8.75,8.12,8.75,7.95,0.8,10.0629,1486655.3,1281479.717
2772,2772,600213.SH,20220513,6.22,6.81,6.19,6.81,6.19,0.62,10.0162,78793.75,52552.212
2827,2827,600281.SH,20220513,4.6,4.82,4.53,4.82,4.38,0.44,10.0457,57307.46,27278.082
2854,2854,600313.SH,20220513,9.45,10.34,9.45,10.34,9.4,0.94,10.0,2186698.71,2180940.785
2858,2858,600319.SH,20220513,5.5,6.11,5.44,6.11,5.55,0.56,10.0901,150698.56,89513.933
2863,2863,600325.SH,20220513,7.26,7.9,7.19,7.9,7.18,0.72,10.0279,931455.85,713088.517
2926,2926,600400.SH,20220513,3.36,3.67,3.36,3.67,3.34,0.33,9.8802,519880.74,188328.785
2972,2972,600479.SH,20220513,10.35,10.37,10.34,10.37,9.43,0.94,9.9682,139915.61,145039.8
3042,3042,600565.SH,20220513,2.3,2.45,2.29,2.45,2.23,0.22,9.8655,647287.28,156903.573
3145,3145,600686.SH,20220513,4.99,5.43,4.99,5.43,4.94,0.49,9.919,86609.22,46357.994
3147,3147,600689.SH,20220513,10.59,10.59,10.1,10.59,9.63,0.96,9.9688,360536.39,377929.722
3155,3155,600698.SH,20220513,4.31,4.7,4.25,4.7,4.27,0.43,10.0703,880276.36,402365.719
3174,3174,600720.SH,20220513,12.95,12.95,12.95,12.95,11.77,1.18,10.0255,52295.16,67722.232
3180,3180,600727.SH,20220513,7.55,8.25,7.52,8.25,7.5,0.75,10.0,219823.67,178626.583
3256,3256,600812.SH,20220513,6.73,7.39,6.64,7.39,6.72,0.67,9.9702,247246.16,174959.004
3329,3329,600898.SH,20220513,7.12,7.98,7.05,7.98,7.25,0.73,10.069,206805.42,157746.776
3429,3429,601127.SH,20220513,39.61,43.24,39.57,43.24,39.31,3.93,9.9975,289665.71,1228740.818
3465,3465,601279.SH,20220513,5.18,5.68,5.18,5.68,5.16,0.52,10.0775,128136.56,69921.106
