,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
156,156,000573.SZ,20220127,3.26,3.72,3.23,3.72,3.38,0.34,10.0592,1365982.28,492558.424
464,464,001227.SZ,20220127,5.07,5.83,4.93,5.83,5.3,0.53,10.0,2189809.92,1187870.596
512,512,002037.SZ,20220127,10.13,10.13,9.4,10.13,9.21,0.92,9.9891,389968.91,391247.471
884,884,002417.SZ,20220127,6.56,7.1,5.97,7.1,6.45,0.65,10.0775,781303.29,527019.497
886,886,002419.SZ,20220127,6.84,7.26,6.82,7.26,6.6,0.66,10.0,670161.71,478280.375
1203,1203,002748.SZ,20220127,11.5,11.5,11.5,11.5,10.45,1.05,10.0478,25370.05,29175.557
1272,1272,002824.SZ,20220127,43.5,46.98,43.5,46.98,42.71,4.27,9.9977,109914.52,510180.573
2618,2618,600055.SH,20220127,23.0,24.93,23.0,24.93,22.66,2.27,10.0177,222777.91,544869.66
2876,2876,600361.SH,20220127,6.11,6.19,6.0,6.19,5.63,0.56,9.9467,57723.75,35554.294
3379,3379,600996.SH,20220127,6.62,6.62,6.62,6.62,6.02,0.6,9.9668,86348.76,57162.879
3673,3673,603102.SH,20220127,73.43,73.43,73.43,73.43,66.75,6.68,10.0075,2583.05,18967.336
3748,3748,603229.SH,20220127,39.3,43.25,38.3,43.25,39.32,3.93,9.9949,137471.91,575112.634
