,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
321,321,000815.SZ,20220222,8.8,8.8,8.8,8.8,8.0,0.8,10.0,31797.01,27981.368
366,366,000889.SZ,20220222,4.4,4.84,4.31,4.84,4.4,0.44,10.0,1480807.95,681890.407
470,470,001313.SZ,20220222,11.35,11.35,11.35,11.35,10.32,1.03,9.9806,42822.26,48603.265
513,513,002037.SZ,20220222,16.2,17.89,16.02,17.89,16.26,1.63,10.0246,1254801.31,2201790.535
578,578,002104.SZ,20220222,15.59,16.65,15.27,16.65,15.14,1.51,9.9736,2662853.61,4323434.952
590,590,002116.SZ,20220222,11.48,11.73,11.04,11.73,10.66,1.07,10.0375,217232.28,250964.579
635,635,002162.SZ,20220222,6.02,6.02,6.02,6.02,5.47,0.55,10.0548,141023.74,84896.291
651,651,002178.SZ,20220222,6.39,6.39,6.39,6.39,5.81,0.58,9.9828,158650.75,101377.829
670,670,002197.SZ,20220222,14.14,15.72,13.5,15.72,14.29,1.43,10.007,1578365.65,2322646.245
843,843,002374.SZ,20220222,6.08,6.78,6.01,6.78,6.16,0.62,10.0649,2379665.54,1524746.894
963,963,002497.SZ,20220222,32.49,32.49,32.49,32.49,29.54,2.95,9.9865,151638.34,492672.966
1084,1084,002621.SZ,20220222,7.19,7.37,7.03,7.37,6.7,0.67,10.0,559911.92,408938.286
1174,1174,002715.SZ,20220222,12.69,14.0,12.69,14.0,12.73,1.27,9.9764,34614.07,47044.027
1214,1214,002758.SZ,20220222,16.1,16.9,15.42,16.9,15.36,1.54,10.026,503580.65,824094.999
1225,1225,002771.SZ,20220222,13.44,13.44,13.44,13.44,12.22,1.22,9.9836,152353.73,204763.413
1251,1251,002799.SZ,20220222,11.92,13.1,11.61,13.1,11.91,1.19,9.9916,136549.48,173867.525
1320,1320,002873.SZ,20220222,22.37,24.46,21.18,24.46,22.24,2.22,9.982,189594.89,434333.156
1360,1360,002917.SZ,20220222,11.35,12.4,10.99,12.4,11.27,1.13,10.0266,170436.09,198056.251
1443,1443,003007.SZ,20220222,23.48,24.33,22.21,24.33,22.12,2.21,9.991,169742.38,409119.445
2630,2630,600055.SH,20220222,31.55,34.71,30.89,34.71,31.55,3.16,10.0158,287465.82,952133.959
2754,2754,600199.SH,20220222,22.0,23.07,21.48,23.07,20.97,2.1,10.0143,985860.61,2201394.53
2783,2783,600232.SH,20220222,5.9,6.6,5.88,6.6,6.0,0.6,10.0,256898.47,161501.599
2871,2871,600338.SH,20220222,34.0,34.95,33.87,34.95,31.77,3.18,10.0094,725029.55,2519819.198
2995,2995,600510.SH,20220222,10.6,10.93,10.23,10.93,9.94,0.99,9.9598,1344403.12,1441966.082
3050,3050,600575.SH,20220222,2.87,2.87,2.87,2.87,2.61,0.26,9.9617,53130.0,15248.31
3076,3076,600602.SH,20220222,8.61,8.61,8.33,8.61,7.83,0.78,9.9617,925285.79,795730.942
3245,3245,600797.SH,20220222,8.42,8.42,8.16,8.42,7.65,0.77,10.0654,1341865.43,1129073.594
3269,3269,600824.SH,20220222,4.02,4.4,3.98,4.4,4.0,0.4,10.0,615401.94,266254.901
3354,3354,600936.SH,20220222,3.56,3.77,3.4,3.77,3.43,0.34,9.9125,652851.27,233228.7
3391,3391,600996.SH,20220222,9.31,9.31,9.31,9.31,8.46,0.85,10.0473,37721.22,35118.456
3418,3418,601069.SH,20220222,14.53,15.22,14.34,15.22,13.84,1.38,9.9711,519595.96,771514.629
3547,3547,601789.SH,20220222,7.58,7.58,7.58,7.58,6.89,0.69,10.0145,84606.35,64131.613
3700,3700,603122.SH,20220222,8.82,8.82,8.82,8.82,8.02,0.8,9.9751,20970.87,18496.307
3750,3750,603215.SH,20220222,21.78,21.78,21.78,21.78,19.8,1.98,10.0,64227.2,139886.842
3799,3799,603316.SH,20220222,11.03,11.03,11.03,11.03,10.03,1.0,9.9701,24771.19,27322.623
3824,3824,603353.SH,20220222,22.58,24.32,22.39,24.32,22.11,2.21,9.9955,64916.34,154501.205
3849,3849,603393.SH,20220222,24.5,26.32,24.14,26.32,23.93,2.39,9.9875,444373.16,1146300.561
3929,3929,603616.SH,20220222,10.8,11.74,10.76,11.74,10.67,1.07,10.0281,1156669.59,1319879.007
4087,4087,603912.SH,20220222,20.9,20.9,20.9,20.9,19.0,1.9,10.0,9526.75,19910.908
4172,4172,605111.SH,20220222,150.88,167.21,149.03,167.21,152.01,15.2,9.9993,74196.35,1200705.869
4189,4189,605169.SH,20220222,16.65,18.04,16.37,18.04,16.4,1.64,10.0,159853.88,282354.459
