,Unnamed: 0,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
91,91,000426.SZ,20220120,7.74,8.31,7.67,8.31,7.55,0.76,10.0662,1057657.69,855758.372
165,165,000590.SZ,20220120,9.74,10.77,9.74,10.77,9.79,0.98,10.0102,87435.6,93412.382
190,190,000620.SZ,20220120,2.95,3.29,2.91,3.29,2.99,0.3,10.0334,1614962.2,509677.187
216,216,000665.SZ,20220120,11.61,12.32,10.94,12.31,11.2,1.11,9.9107,3411019.54,4043951.689
307,307,000798.SZ,20220120,7.96,8.64,7.91,8.64,7.85,0.79,10.0637,105529.02,90015.013
349,349,000862.SZ,20220120,8.06,8.91,7.74,8.91,8.1,0.81,10.0,1018719.86,872945.369
465,465,001227.SZ,20220120,6.49,6.84,5.75,6.84,6.22,0.62,9.9678,3347307.2,2163390.045
466,466,001234.SZ,20220120,45.0,46.39,45.0,46.39,42.17,4.22,10.0071,91841.5,423402.593
705,705,002235.SZ,20220120,6.58,6.58,6.58,6.58,5.98,0.6,10.0334,74878.22,49269.868
784,784,002316.SZ,20220120,8.37,8.37,8.05,8.37,7.61,0.76,9.9869,437132.64,364924.23
798,798,002330.SZ,20220120,12.08,12.98,12.07,12.98,11.8,1.18,10.0,812270.09,1035613.592
817,817,002349.SZ,20220120,20.81,20.81,20.16,20.81,18.92,1.89,9.9894,1018204.75,2115529.229
837,837,002370.SZ,20220120,7.55,8.57,7.42,8.57,7.79,0.78,10.0128,1626934.0,1328496.054
886,886,002419.SZ,20220120,7.78,7.78,7.78,7.78,7.07,0.71,10.0424,92319.82,71824.819
899,899,002432.SZ,20220120,73.6,77.66,72.1,77.66,70.6,7.06,10.0,648203.03,4917675.985
993,993,002530.SZ,20220120,11.8,11.8,11.8,11.8,10.73,1.07,9.972,162968.71,192303.077
1000,1000,002537.SZ,20220120,8.19,9.01,7.91,9.01,8.19,0.82,10.0122,1411840.54,1186197.854
1013,1013,002550.SZ,20220120,7.12,8.06,7.04,8.06,7.33,0.73,9.9591,1708753.69,1346410.992
1119,1119,002657.SZ,20220120,14.25,15.28,13.96,15.28,13.89,1.39,10.0072,520929.91,775242.371
1202,1202,002746.SZ,20220120,10.27,10.97,10.27,10.97,9.97,1.0,10.0301,337065.37,363314.774
1206,1206,002750.SZ,20220120,18.98,20.33,18.02,20.33,18.48,1.85,10.0108,578958.47,1126225.24
1385,1385,002945.SZ,20220120,13.12,14.34,12.9,14.34,13.04,1.3,9.9693,592049.94,810797.931
1407,1407,002969.SZ,20220120,5.94,5.94,5.74,5.94,5.4,0.54,10.0,238061.82,140769.201
1438,1438,003002.SZ,20220120,14.6,16.01,14.57,16.01,14.55,1.46,10.0344,188761.6,297147.505
1474,1474,003042.SZ,20220120,40.15,44.17,38.11,44.17,40.15,4.02,10.0125,166897.99,690351.203
2499,2499,301065.SZ,20220120,53.62,61.66,53.62,59.3,53.92,5.38,9.9777,44320.25,258601.015
2797,2797,600272.SH,20220120,13.1,14.64,12.54,14.64,13.31,1.33,9.9925,408701.86,573590.802
3180,3180,600743.SH,20220120,2.15,2.33,2.14,2.33,2.12,0.21,9.9057,1203671.49,278404.188
3272,3272,600847.SH,20220120,21.54,21.54,21.54,21.54,19.58,1.96,10.0102,8581.17,18483.84
3667,3667,603101.SH,20220120,6.21,6.88,6.2,6.88,6.25,0.63,10.08,214926.8,146781.735
3682,3682,603123.SH,20220120,18.0,19.43,17.01,19.43,17.66,1.77,10.0227,1344389.93,2511378.045
3690,3690,603138.SH,20220120,27.59,29.95,25.9,29.95,27.23,2.72,9.989,217595.07,619359.921
3705,3705,603176.SH,20220120,8.5,8.5,8.5,8.5,7.73,0.77,9.9612,41531.25,35301.563
3809,3809,603363.SH,20220120,15.18,16.94,15.18,16.94,15.4,1.54,10.0,251799.93,413056.616
3830,3830,603399.SH,20220120,10.3,11.53,10.3,11.53,10.48,1.05,10.0191,470465.63,518286.547
3891,3891,603598.SH,20220120,18.8,20.19,17.15,20.19,18.35,1.84,10.0272,690625.5,1298771.585
3990,3990,603777.SH,20220120,15.18,16.6,15.18,16.6,15.09,1.51,10.0066,374737.63,611556.643
4088,4088,603958.SH,20220120,8.0,8.0,7.5,8.0,7.27,0.73,10.0413,111257.99,88093.013
4142,4142,605086.SH,20220120,24.33,26.97,24.33,26.97,24.52,2.45,9.9918,99630.43,265370.202
4221,4221,605507.SH,20220120,31.3,32.9,31.3,32.9,29.91,2.99,9.9967,192654.83,629772.27
